"No.of.Valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.of.Valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.tendered.votes"
"1"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"2"	"1"	"272"	"33"	"5"	"2"	"1"	"2"	"6"	"1"	"1"	"2"	"1"	"0"	"4"	"4"	"1"	"7"	"342"	"0"	"342"	"0"
"3"	"2"	"335"	"41"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"377"	"0"	"377"	"0"
"4"	"3"	"109"	"122"	"17"	"6"	"4"	"5"	"7"	"3"	"5"	"7"	"7"	"10"	"6"	"6"	"5"	"12"	"331"	"0"	"331"	"0"
"5"	"4"	"182"	"163"	"6"	"8"	"5"	"6"	"2"	"2"	"1"	"4"	"1"	"7"	"2"	"0"	"3"	"3"	"395"	"0"	"395"	"0"
"6"	"5"	"241"	"83"	"21"	"6"	"6"	"6"	"7"	"4"	"2"	"7"	"4"	"6"	"0"	"2"	"4"	"11"	"410"	"0"	"410"	"0"
"7"	"6"	"340"	"44"	"13"	"2"	"3"	"1"	"6"	"1"	"1"	"2"	"1"	"0"	"1"	"2"	"2"	"16"	"435"	"0"	"435"	"0"
"8"	"7"	"178"	"229"	"3"	"1"	"10"	"1"	"5"	"2"	"1"	"0"	"3"	"3"	"5"	"0"	"10"	"12"	"463"	"0"	"463"	"0"
"9"	"8"	"107"	"122"	"15"	"3"	"4"	"2"	"4"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"262"	"0"	"262"	"0"
"10"	"9"	"218"	"174"	"12"	"1"	"3"	"1"	"26"	"5"	"1"	"5"	"3"	"11"	"2"	"2"	"7"	"10"	"481"	"0"	"481"	"0"
"11"	"10"	"102"	"224"	"14"	"5"	"2"	"1"	"7"	"0"	"1"	"2"	"1"	"1"	"2"	"1"	"5"	"6"	"374"	"0"	"374"	"0"
"12"	"11"	"296"	"47"	"14"	"1"	"4"	"2"	"6"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"2"	"377"	"0"	"377"	"0"
"13"	"12"	"11"	"241"	"2"	"2"	"2"	"2"	"0"	"0"	"0"	"2"	"1"	"2"	"0"	"3"	"9"	"3"	"280"	"0"	"280"	"0"
"14"	"13"	"125"	"58"	"1"	"1"	"2"	"1"	"20"	"3"	"2"	"3"	"3"	"8"	"6"	"5"	"18"	"32"	"288"	"0"	"288"	"0"
"15"	"14"	"294"	"199"	"27"	"6"	"13"	"5"	"17"	"5"	"6"	"8"	"5"	"10"	"7"	"6"	"19"	"34"	"661"	"0"	"661"	"0"
"16"	"Round Total"	"2810"	"1780"	"151"	"44"	"59"	"35"	"113"	"27"	"22"	"43"	"31"	"60"	"37"	"32"	"84"	"148"	"5476"	"0"	"5476"	"0"
"17"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"18"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"19"	"15"	"59"	"67"	"24"	"2"	"15"	"0"	"7"	"2"	"4"	"2"	"7"	"13"	"7"	"13"	"19"	"29"	"270"	"0"	"270"	"0"
"20"	"16"	"58"	"335"	"5"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"406"	"0"	"406"	"0"
"21"	"17"	"22"	"244"	"6"	"0"	"15"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"2"	"297"	"0"	"297"	"0"
"22"	"18"	"119"	"132"	"13"	"1"	"3"	"0"	"5"	"0"	"1"	"0"	"2"	"3"	"2"	"0"	"10"	"7"	"298"	"0"	"298"	"0"
"23"	"19"	"93"	"194"	"11"	"2"	"11"	"3"	"3"	"4"	"5"	"2"	"1"	"10"	"6"	"5"	"23"	"5"	"378"	"0"	"378"	"0"
"24"	"20"	"458"	"41"	"29"	"2"	"1"	"1"	"3"	"1"	"3"	"0"	"2"	"6"	"1"	"1"	"3"	"8"	"560"	"0"	"560"	"0"
"25"	"21"	"273"	"110"	"39"	"10"	"16"	"8"	"3"	"5"	"9"	"9"	"9"	"10"	"3"	"3"	"6"	"19"	"532"	"0"	"532"	"0"
"26"	"22"	"346"	"68"	"17"	"5"	"4"	"1"	"4"	"2"	"0"	"9"	"5"	"4"	"3"	"8"	"10"	"35"	"521"	"0"	"521"	"0"
"27"	"23"	"154"	"196"	"3"	"4"	"6"	"3"	"8"	"0"	"1"	"2"	"2"	"5"	"1"	"7"	"11"	"16"	"419"	"0"	"419"	"0"
"28"	"24"	"166"	"356"	"10"	"2"	"9"	"7"	"6"	"2"	"0"	"6"	"1"	"12"	"2"	"0"	"5"	"4"	"588"	"0"	"588"	"0"
"29"	"25"	"112"	"211"	"10"	"20"	"8"	"5"	"3"	"1"	"1"	"3"	"1"	"5"	"2"	"0"	"12"	"1"	"395"	"0"	"395"	"0"
"30"	"26"	"178"	"46"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"229"	"0"	"229"	"0"
"31"	"27"	"111"	"178"	"7"	"2"	"4"	"0"	"2"	"0"	"0"	"0"	"2"	"4"	"0"	"0"	"1"	"0"	"311"	"0"	"311"	"0"
"32"	"28"	"113"	"117"	"12"	"0"	"5"	"1"	"4"	"2"	"0"	"2"	"1"	"8"	"1"	"1"	"21"	"14"	"302"	"0"	"302"	"0"
"33"	"Round Total"	"2262"	"2295"	"189"	"50"	"101"	"29"	"52"	"19"	"25"	"36"	"33"	"81"	"30"	"39"	"125"	"140"	"5506"	"0"	"5506"	"0"
"34"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"35"	"Booth No."	"UMASHANKER SINGH"	"DAMODAR SINGH"	"SHIVDHARI DUBEY"	"ASHOK KUMAR SHARMA"	"ANANDI DEVI"	"CHANDRA GOKHULA PRASAD"	"RAMESH KUMAR TIWARI"	"ATISH SINGH"	"ASHOK KUMAR PASWAN"	"ASHOK RAM"	"DEVDHARI RAM"	"BANARSI RAM"	"VISHUNDEV RAM"	"SHIVCHAND RAM"	"SAYED SHAHBUDDIN"	"SURENDERA RAM"	""	""	""	""
"36"	"29"	"282"	"131"	"12"	"4"	"5"	"0"	"6"	"2"	"3"	"2"	"1"	"15"	"3"	"4"	"11"	"24"	"505"	"0"	"505"	"0"
"37"	"30"	"267"	"93"	"6"	"0"	"4"	"3"	"1"	"0"	"0"	"1"	"2"	"6"	"3"	"3"	"6"	"10"	"405"	"0"	"405"	"0"
"38"	"31"	"170"	"254"	"7"	"8"	"4"	"4"	"11"	"1"	"1"	"3"	"2"	"12"	"2"	"2"	"14"	"10"	"505"	"0"	"505"	"0"
"39"	"32"	"75"	"136"	"2"	"2"	"2"	"0"	"3"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"4"	"4"	"231"	"0"	"231"	"0"
