"No.of.Valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"Total.of.Valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.tendered.votes"
"1"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"2"	"1"	"56"	"309"	"7"	"43"	"0"	"0"	"5"	"0"	""	"2"	"2"	"8"	"432"	"0"	"432"	"0"
"3"	"2"	"45"	"186"	"13"	"116"	"11"	"10"	"12"	"9"	""	"4"	"12"	"46"	"464"	"0"	"464"	"0"
"4"	"3"	"32"	"255"	"17"	"15"	"5"	"2"	"4"	"2"	""	"0"	"6"	"9"	"347"	"0"	"347"	"0"
"5"	"4"	"23"	"192"	"13"	"114"	"8"	"1"	"13"	"9"	""	"7"	"12"	"38"	"430"	"0"	"430"	"0"
"6"	"5"	"7"	"35"	"12"	"481"	"7"	"8"	"4"	"36"	""	"3"	"1"	"14"	"608"	"0"	"608"	"0"
"7"	"6"	"48"	"212"	"28"	"53"	"4"	"1"	"5"	"4"	""	"4"	"12"	"13"	"384"	"0"	"384"	"0"
"8"	"7"	"65"	"116"	"3"	"67"	"4"	"2"	"1"	"5"	""	"6"	"2"	"28"	"299"	"0"	"299"	"0"
"9"	"8"	"60"	"203"	"28"	"93"	"19"	"11"	"11"	"5"	""	"6"	"14"	"34"	"484"	"0"	"484"	"0"
"10"	"9"	"37"	"212"	"64"	"144"	"15"	"9"	"10"	"11"	""	"5"	"6"	"15"	"528"	"0"	"528"	"0"
"11"	"10"	"80"	"234"	"66"	"181"	"9"	"6"	"7"	"7"	""	"8"	"18"	"30"	"646"	"0"	"646"	"0"
"12"	"11"	"29"	"197"	"19"	"51"	"9"	"2"	"9"	"3"	""	"5"	"8"	"18"	"350"	"0"	"350"	"0"
"13"	"12"	"61"	"273"	"33"	"95"	"3"	"2"	"4"	"8"	""	"1"	"0"	"6"	"486"	"0"	"486"	"0"
"14"	"13"	"31"	"119"	"110"	"142"	"3"	"4"	"9"	"6"	""	"7"	"6"	"22"	"459"	"0"	"459"	"0"
"15"	"14"	"44"	"169"	"24"	"135"	"3"	"4"	"10"	"8"	""	"5"	"7"	"16"	"425"	"0"	"425"	"0"
"16"	"Round
Total"	"618"	"2712"	"437"	"1730"	"100"	"62"	"104"	"113"	""	"63"	"106"	"297"	"6342"	"0"	"6342"	"0"
"17"	"Date : 27-2-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"Time:………………………….                                                                                                                                     Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"Place: Siwan                                                                                                                                            27-Basantpur Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"21"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"22"	"15"	"32"	"210"	"25"	"144"	"9"	"13"	"9"	"37"	""	"12"	"13"	"62"	"566"	"0"	"566"	"0"
"23"	"16"	"1"	"2"	"1"	"114"	"4"	"4"	"3"	"0"	""	"1"	"2"	"15"	"147"	"0"	"147"	"0"
"24"	"17"	"30"	"264"	"25"	"57"	"5"	"10"	"8"	"38"	""	"6"	"8"	"20"	"471"	"0"	"471"	"0"
"25"	"18"	"51"	"174"	"71"	"38"	"7"	"6"	"14"	"5"	""	"4"	"9"	"16"	"395"	"0"	"395"	"0"
"26"	"19"	"94"	"187"	"41"	"82"	"3"	"6"	"8"	"8"	""	"10"	"22"	"41"	"502"	"0"	"502"	"0"
"27"	"20"	"72"	"196"	"10"	"136"	"6"	"6"	"7"	"11"	""	"1"	"15"	"10"	"470"	"0"	"470"	"0"
"28"	"21"	"59"	"271"	"31"	"96"	"7"	"5"	"7"	"3"	""	"1"	"1"	"4"	"485"	"0"	"485"	"0"
"29"	"22"	"16"	"326"	"9"	"104"	"4"	"1"	"1"	"2"	""	"0"	"2"	"6"	"471"	"0"	"471"	"0"
"30"	"23"	"54"	"319"	"20"	"15"	"4"	"1"	"4"	"7"	""	"2"	"6"	"26"	"458"	"0"	"458"	"0"
"31"	"24"	"52"	"164"	"15"	"181"	"11"	"7"	"15"	"17"	""	"6"	"6"	"24"	"498"	"0"	"498"	"0"
"32"	"25"	"37"	"163"	"8"	"30"	"0"	"2"	"2"	"0"	""	"0"	"1"	"7"	"250"	"0"	"250"	"0"
"33"	"26"	"30"	"160"	"15"	"113"	"8"	"5"	"9"	"13"	""	"4"	"13"	"30"	"400"	"0"	"400"	"0"
"34"	"27"	"8"	"91"	"11"	"64"	"5"	"2"	"4"	"6"	""	"3"	"6"	"23"	"223"	"0"	"223"	"0"
"35"	"28"	"71"	"101"	"6"	"427"	"9"	"5"	"16"	"10"	""	"1"	"4"	"16"	"666"	"0"	"666"	"0"
"36"	"Round
Total"	"607"	"2628"	"288"	"1601"	"82"	"73"	"107"	"157"	""	"51"	"108"	"300"	"6002"	"0"	"6002"	"0"
"37"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"38"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"39"	"29"	"7"	"26"	"10"	"281"	"4"	"7"	"1"	"11"	""	"1"	"0"	"6"	"354"	"0"	"354"	"0"
"40"	"30"	"40"	"289"	"14"	"33"	"6"	"2"	"10"	"64"	""	"10"	"7"	"17"	"492"	"0"	"492"	"0"
"41"	"31"	"22"	"563"	"22"	"44"	"1"	"3"	"5"	"51"	""	"1"	"2"	"6"	"720"	"0"	"720"	"0"
"42"	"32"	"11"	"127"	"4"	"43"	"1"	"1"	"2"	"210"	""	"2"	"2"	"6"	"409"	"0"	"409"	"0"
"43"	"33"	"63"	"341"	"35"	"190"	"18"	"9"	"18"	"14"	""	"5"	"5"	"33"	"731"	"0"	"731"	"0"
"44"	"34"	"4"	"27"	"6"	"286"	"0"	"0"	"1"	"16"	""	"0"	"0"	"0"	"340"	"0"	"340"	"0"
"45"	"35"	"36"	"243"	"20"	"39"	"2"	"5"	"9"	"2"	""	"2"	"6"	"12"	"376"	"0"	"376"	"0"
"46"	"36"	"4"	"7"	"4"	"535"	"1"	"6"	"1"	"10"	""	"0"	"1"	"1"	"570"	"0"	"570"	"0"
"47"	"37"	"36"	"172"	"12"	"44"	"5"	"10"	"6"	"24"	""	"7"	"7"	"22"	"345"	"0"	"345"	"0"
"48"	"38"	"29"	"122"	"14"	"236"	"11"	"6"	"9"	"8"	""	"3"	"12"	"15"	"465"	"0"	"465"	"0"
"49"	"39"	"53"	"229"	"15"	"55"	"2"	"1"	"7"	"15"	""	"3"	"7"	"17"	"404"	"0"	"404"	"0"
"50"	"40"	"60"	"373"	"16"	"98"	"7"	"4"	"2"	"8"	""	"2"	"6"	"19"	"595"	"0"	"595"	"0"
"51"	"41"	"22"	"70"	"8"	"35"	"3"	"1"	"0"	"5"	""	"2"	"5"	"8"	"159"	"0"	"159"	"0"
"52"	"42"	"47"	"343"	"25"	"31"	"13"	"5"	"5"	"20"	""	"5"	"5"	"7"	"506"	"0"	"506"	"0"
"53"	"Round
Total"	"434"	"2932"	"205"	"1950"	"74"	"60"	"76"	"458"	""	"43"	"65"	"169"	"6466"	"0"	"6466"	"0"
"54"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"55"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	"RAKESH SINGH"	""	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"56"	"43"	"84"	"144"	"13"	"58"	"11"	"6"	"8"	"3"	"2"	""	"1"	"21"	"351"	"0"	"351"	"0"
"57"	"44"	"90"	"135"	"19"	"138"	"11"	"7"	"11"	"2"	"5"	""	"11"	"23"	"452"	"0"	"452"	"0"
"58"	"45"	"33"	"286"	"9"	"13"	"4"	"1"	"3"	"4"	"4"	""	"5"	"20"	"382"	"0"	"382"	"0"
"59"	"46"	"54"	"377"	"9"	"228"	"6"	"16"	"15"	"17"	"3"	""	"6"	"20"	"751"	"0"	"751"	"0"
"60"	"47"	"63"	"180"	"18"	"44"	"3"	"7"	"7"	"60"	"6"	""	"13"	"47"	"448"	"0"	"448"	"0"
"61"	"48"	"28"	"155"	"10"	"147"	"3"	"4"	"4"	"1"	"6"	""	"11"	"11"	"380"	"0"	"380"	"0"
"62"	"49"	"51"	"122"	"14"	"126"	"6"	"2"	"8"	"25"	"1"	""	"4"	"9"	"368"	"0"	"368"	"0"
"63"	"50"	"35"	"185"	"12"	"90"	"6"	"5"	"7"	"3"	"1"	""	"1"	"14"	"359"	"0"	"359"	"0"
"64"	"51"	"42"	"217"	"43"	"52"	"6"	"5"	"6"	"5"	"4"	""	"2"	"11"	"393"	"0"	"393"	"0"
"65"	"52"	"21"	"224"	"8"	"110"	"5"	"2"	"3"	"11"	"1"	""	"10"	"7"	"402"	"0"	"402"	"0"
"66"	"53"	"30"	"174"	"24"	"41"	"4"	"3"	"5"	"2"	"3"	""	"10"	"15"	"311"	"0"	"311"	"0"
"67"	"54"	"12"	"42"	"6"	"300"	"3"	"1"	"5"	"30"	"1"	""	"2"	"5"	"407"	"0"	"407"	"0"
"68"	"55"	"31"	"265"	"13"	"112"	"3"	"5"	"4"	"8"	"4"	""	"3"	"18"	"466"	"0"	"466"	"0"
"69"	"56"	"26"	"207"	"30"	"159"	"3"	"5"	"9"	"1"	"2"	""	"5"	"8"	"455"	"0"	"455"	"0"
"70"	"Round
Total"	"600"	"2713"	"228"	"1618"	"74"	"69"	"95"	"172"	"43"	""	"84"	"229"	"5925"	"0"	"5925"	"0"
"71"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"72"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"73"	"57"	"9"	"35"	"10"	"44"	"2"	"25"	"5"	"1"	""	"1"	"1"	"5"	"138"	"0"	"138"	"0"
"74"	"58"	"50"	"299"	"44"	"124"	"10"	"8"	"18"	"18"	""	"10"	"21"	"15"	"617"	"0"	"617"	"0"
"75"	"59"	"15"	"616"	"16"	"21"	"2"	"1"	"0"	"2"	""	"0"	"2"	"6"	"681"	"0"	"681"	"0"
"76"	"60"	"18"	"210"	"15"	"263"	"7"	"3"	"4"	"21"	""	"2"	"5"	"17"	"565"	"0"	"565"	"0"
"77"	"61"	"37"	"197"	"16"	"112"	"3"	"1"	"9"	"5"	""	"1"	"5"	"15"	"401"	"0"	"401"	"0"
"78"	"62"	"17"	"179"	"10"	"20"	"0"	"2"	"3"	"1"	""	"1"	"5"	"7"	"245"	"0"	"245"	"0"
"79"	"63"	"32"	"296"	"27"	"81"	"11"	"6"	"13"	"16"	""	"7"	"19"	"48"	"556"	"0"	"556"	"0"
"80"	"64"	"12"	"111"	"3"	"150"	"2"	"5"	"4"	"6"	""	"1"	"20"	"6"	"320"	"0"	"320"	"0"
"81"	"65"	"16"	"117"	"4"	"108"	"0"	"4"	"7"	"3"	""	"1"	"6"	"15"	"281"	"0"	"281"	"0"
"82"	"66"	"37"	"324"	"10"	"19"	"6"	"3"	"15"	"0"	""	"1"	"1"	"14"	"430"	"0"	"430"	"0"
"83"	"67"	"7"	"410"	"5"	"62"	"4"	"2"	"2"	"5"	""	"0"	"2"	"6"	"505"	"0"	"505"	"0"
"84"	"68"	"2"	"87"	"9"	"163"	"1"	"1"	"0"	"2"	""	"0"	"2"	"4"	"271"	"0"	"271"	"0"
"85"	"69"	"48"	"188"	"26"	"284"	"20"	"14"	"21"	"16"	""	"7"	"12"	"36"	"672"	"0"	"672"	"0"
"86"	"70"	"57"	"151"	"13"	"107"	"5"	"4"	"6"	"1"	""	"5"	"8"	"37"	"394"	"0"	"394"	"0"
"87"	"Round
Total"	"357"	"3220"	"208"	"1558"	"73"	"79"	"107"	"97"	""	"37"	"109"	"231"	"6076"	"0"	"6076"	"0"
"88"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"89"	"Booth No."	"KAMALDEV NARAYAN SHUKLA"	"MANIK CHAND RAI"	"RAMAYAN SINGH"	"SHRI SATAYDEV PRASAD SINGH"	"NAYER HUSSAIN"	"RITESH SINGH"	"YOGUL KISHORE UPADHAYA"	"RAKESH MISHRA"	""	"RAKESH SINGH"	"SHAMBHU NATH PANDEY"	"HEMANT KUMAR SINGH"	""	""	""	""
"90"	"71"	"17"	"320"	"11"	"128"	"6"	"7"	"6"	"11"	""	"3"	"13"	"20"	"542"	"0"	"542"	"0"
"91"	"72"	"32"	"170"	"12"	"220"	"10"	"6"	"7"	"11"	""	"6"	"6"	"12"	"492"	"0"	"492"	"0"
"92"	"73"	"46"	"279"	"23"	"88"	"7"	"3"	"6"	"6"	""	"3"	"3"	"12"	"476"	"0"	"476"	"0"
"93"	"74"	"17"	"205"	"25"	"296"	"10"	"5"	"2"	"10"	""	"4"	"6"	"20"	"600"	"0"	"600"	"0"
"94"	"75"	"12"	"260"	"4"	"56"	"0"	"3"	"0"	"16"	""	"0"	"0"	"3"	"354"	"0"	"354"	"0"
"95"	"76"	"19"	"143"	"7"	"116"	"3"	"22"	"9"	"9"	""	"1"	"5"	"14"	"348"	"0"	"348"	"0"
"96"	"77"	"20"	"277"	"7"	"78"	"5"	"2"	"16"	"39"	""	"7"	"3"	"12"	"466"	"0"	"466"	"0"
