"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 165-KHAGARIA ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used both for parliamentary and assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No.- 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Elector in Assembly Constituency/Segment: 218249"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"No. and Name of the Assembly/segment- 165-KHAGARIA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(in the Case of Election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"9"	""	"CHANDRAMUKHI DEVI"	"YOGENDRA SINGH"	"MD. HARUN RASHID"	"UMESH THAKUR"	"POONAM DEVI (YADAV)"	"BARSHA RANI"	"MITHILESH CHANDRA MUKUL"	"RANJIT KUMAR SAH"	"RAM GULAM SAHNI"	"DHARMENDRA KUMAR"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"11"	"1"	"21"	"14"	"1"	"6"	"205"	"12"	"5"	"2"	"6"	"21"	"293"	""	"293"	""
"12"	"2"	"32"	"73"	"3"	"7"	"75"	"6"	"5"	"9"	"3"	"52"	"265"	""	"265"	""
"13"	"3"	"170"	"12"	"10"	"7"	"249"	"15"	"10"	"8"	"8"	"111"	"600"	""	"600"	""
