"PS.NO"	"ARVIND.KUMAR.SINGH"	"MD..JAMAL"	"MAHENDRA.SAHNI"	"AJIT.KUMAR"	"M.D..QUASIM"	"SHASHI.BHUSHAN.SINGH"	"ASHOK.BAITHA"	"GANESH.PASWAN"	"DEVENDAR.RAM"	"MUKESH.KUMAR"	"MD..HAIDAR.AZAD"	"RAMJI.PASWAN"	"LAKHICHANDRA.RAY"	"LOK.NATH.DAS"	"SHASHI.KUMAR.SINGH"	"SUDHIR.KUMAR"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"1"	1	81	131	16	157	7	2	0	4	6	4	12	11	11	7	18	34	-501	""	""
"2"	2	88	107	3	84	5	2	3	2	3	4	8	15	7	5	8	18	-362	""	""
"3"	3	15	81	9	83	4	2	0	1	1	3	4	3	3	3	4	11	-227	""	""
"4"	4	30	185	7	156	7	4	3	0	4	10	9	14	5	2	11	14	-461	""	""
"5"	5	17	191	10	145	4	1	3	0	1	2	4	14	2	4	7	9	-414	""	""
"6"	6	3	896	2	14	0	0	0	0	0	1	0	0	0	0	1	1	-918	""	""
"7"	7	108	49	3	236	12	4	6	1	4	12	11	19	26	3	14	30	-538	""	""
"8"	8	8	101	2	564	2	0	1	0	1	5	1	8	1	2	1	4	-701	""	""
"9"	9	28	199	18	41	3	1	2	1	3	8	4	9	7	7	13	17	-361	""	""
"10"	10	23	390	64	166	23	2	0	1	1	5	3	22	12	10	16	16	-754	""	""
"11"	11	39	345	19	233	4	0	0	0	1	1	7	7	5	2	6	11	-680	""	""
"12"	12	33	100	12	196	7	4	3	0	6	13	6	37	25	9	6	16	-473	""	""
"13"	13	49	89	5	194	8	7	1	3	6	12	7	28	31	4	16	32	-492	""	""
"14"	14	17	233	13	51	2	1	0	1	1	2	3	2	9	6	7	6	-354	""	""
"15"	15	17	246	10	100	7	3	0	0	2	4	5	9	10	2	15	13	-443	""	""
"16"	16	4	514	3	51	7	0	0	1	0	3	1	0	0	0	1	1	-586	""	""
"17"	17	25	319	11	37	18	2	1	0	2	3	4	7	5	3	11	8	-456	""	""
"18"	18	56	113	11	315	7	3	2	1	3	4	3	14	10	1	4	5	-552	""	""
"19"	19	71	47	12	310	13	16	1	3	5	5	4	11	10	2	7	16	-533	""	""
"20"	20	12	38	5	380	6	31	0	0	0	2	2	4	1	0	2	3	-486	""	""
"21"	21	22	237	5	86	8	3	0	0	1	3	1	7	7	0	3	9	-392	""	""
"22"	22	57	105	5	115	2	4	0	0	2	6	0	0	6	1	6	4	-313	""	""
"23"	23	45	82	5	240	4	0	0	3	0	1	3	4	3	0	1	2	-393	""	""
"24"	24	46	64	4	112	6	3	3	3	4	3	6	7	15	4	5	18	-303	""	""
"25"	25	37	8	0	330	1	0	0	0	0	0	0	0	1	0	0	0	-377	""	""
"26"	26	24	36	26	115	5	2	0	1	4	5	6	16	6	2	5	20	-273	""	""
"27"	27	126	81	8	63	2	2	3	1	2	4	6	2	0	2	5	3	-310	""	""
"28"	28	67	4	0	228	1	0	0	0	0	0	0	0	1	1	1	0	-303	""	""
"29"	29	37	143	14	202	11	8	3	6	12	4	14	38	58	13	18	21	-602	""	""
"30"	30	33	61	54	139	4	1	3	1	4	8	9	11	17	6	12	31	-394	""	""
"31"	31	59	51	2	200	7	3	1	0	0	5	1	17	14	8	9	15	-392	""	""
"32"	32	55	109	3	275	8	6	2	1	3	6	11	19	27	3	12	23	-563	""	""
"33"	33	37	108	9	213	15	4	0	3	1	14	8	25	22	6	23	40	-528	""	""
"34"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"35"	34	39	361	16	83	9	7	4	6	5	2	7	17	12	7	13	23	-611	""	""
"36"	35	20	198	18	143	6	2	3	3	5	7	9	19	17	7	12	17	-486	""	""
"37"	36	2	15	6	188	2	1	1	0	0	1	3	2	2	0	0	2	-225	""	""
"38"	37	20	120	9	167	9	6	1	4	3	12	6	10	6	1	4	8	-386	""	""
"39"	38	81	80	10	180	9	9	1	1	1	5	5	4	4	0	3	3	-396	""	""
"40"	39	25	88	15	195	4	3	1	0	1	1	1	10	18	1	2	2	-367	""	""
"41"	40	45	201	13	286	14	7	2	5	3	10	7	6	7	4	8	12	-630	""	""
"42"	41	25	113	9	230	10	4	1	0	3	4	1	7	19	3	11	16	-456	""	""
"43"	42	27	155	14	380	3	4	2	2	4	8	7	7	10	3	5	2	-633	""	""
"44"	43	92	133	11	169	4	6	1	1	7	1	10	21	129	1	8	10	-604	""	""
"45"	44	25	11	0	574	1	0	0	0	0	2	0	2	4	0	2	3	-624	""	""
"46"	45	104	121	6	178	2	3	3	1	2	3	2	9	4	3	1	14	-456	""	""
"47"	46	28	150	17	328	4	2	2	1	2	6	8	7	10	7	14	14	-600	""	""
"48"	47	76	149	12	189	55	6	1	2	1	12	7	9	15	3	11	16	-564	""	""
"49"	48	13	5	2	412	27	0	0	0	0	0	0	0	6	0	0	0	-465	""	""
"50"	49	3	82	8	237	3	1	0	0	0	3	0	1	40	0	0	1	-379	""	""
"51"	50	72	97	7	235	5	4	2	5	1	15	5	25	9	3	8	13	-506	""	""
"52"	51	20	84	6	111	5	2	0	2	0	1	1	2	2	1	4	2	-243	""	""
"53"	52	0	1	0	213	1	1	0	0	0	4	0	0	97	0	0	1	-318	""	""
"54"	53	20	338	12	197	6	4	2	0	3	5	4	18	23	2	10	7	-651	""	""
"55"	54	17	152	10	144	6	4	2	0	0	1	3	4	35	0	2	4	-384	""	""
"56"	55	9	501	11	21	15	2	1	1	1	0	3	3	37	2	6	10	-623	""	""
"57"	56	19	152	2	348	3	1	0	0	0	0	1	4	44	0	0	2	-576	""	""
"58"	57	39	124	7	168	1	3	2	2	2	1	2	8	108	2	5	16	-490	""	""
"59"	58	118	306	17	271	1	6	3	3	1	5	4	11	60	8	11	9	-834	""	""
"60"	59	43	316	8	389	4	2	1	0	0	0	0	3	25	0	2	3	-796	""	""
"61"	60	12	0	0	550	2	1	0	0	0	0	0	0	0	0	0	0	-565	""	""
"62"	61	18	142	7	125	5	3	2	2	2	5	7	4	35	3	1	7	-368	""	""
"63"	62	8	157	43	212	1	2	0	0	1	7	5	6	6	0	7	3	-458	""	""
"64"	63	23	275	7	306	8	3	4	4	4	12	16	18	31	8	33	39	-791	""	""
"65"	64	26	252	27	168	5	2	3	5	1	3	6	23	14	11	17	35	-598	""	""
"66"	65	23	177	5	108	0	1	0	0	2	0	1	8	11	1	7	4	-348	""	""
"67"	66	35	102	4	197	11	2	1	2	3	5	1	12	6	4	4	7	-396	""	""
"68"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"69"	67	10	2	0	307	1	0	0	0	0	0	0	0	1	0	0	0	-321	""	""
"70"	68	27	196	6	313	1	2	2	1	1	5	2	4	6	1	0	7	-574	""	""
"71"	69	38	334	157	134	3	2	2	2	2	8	6	6	4	0	9	7	-714	""	""
"72"	70	32	243	8	181	5	0	3	1	3	4	1	5	3	2	3	2	-496	""	""
"73"	71	17	294	14	453	4	1	1	4	2	5	4	15	17	6	9	9	-855	""	""
"74"	72	29	97	14	309	11	6	3	2	5	13	3	23	20	5	10	18	-568	""	""
"75"	73	16	228	11	210	5	2	2	2	2	6	4	17	8	2	4	6	-525	""	""
"76"	74	60	239	19	114	5	2	1	2	2	2	3	10	9	8	8	30	-514	""	""
