"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.valid.votes"	"No.of.votes"	"Total"	"No..of.Tendered.votes"
"1"	""	"Abhay Kumar Singh"	"Arun Kumar"	"Kamli Mahto"	"Bhola Singh"	"Rajendra Prasad Singh"	"Laxmi Sahu"	"Sanjay Kumar"	"Chandra Bhushan Paswan"	"Narayan Prasad Hisaria"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"3"	"1"	"110"	"12"	"83"	"169"	"19"	"5"	"0"	"2"	"0"	"400"	"0"	"400"	"0"
"4"	"2"	"109"	"9"	"168"	"173"	"37"	"7"	"1"	"3"	"2"	"509"	"0"	"509"	"0"
"5"	"3"	"145"	"13"	"99"	"242"	"44"	"5"	"4"	"6"	"2"	"560"	"0"	"560"	"0"
"6"	"4"	"126"	"9"	"365"	"191"	"52"	"18"	"12"	"3"	"14"	"790"	"0"	"790"	"0"
"7"	"5"	"76"	"8"	"314"	"188"	"47"	"14"	"3"	"3"	"30"	"683"	"0"	"683"	"0"
"8"	"6"	"178"	"24"	"166"	"137"	"38"	"15"	"7"	"4"	"9"	"578"	"0"	"578"	"0"
"9"	"7"	"63"	"0"	"115"	"313"	"32"	"12"	"6"	"5"	"14"	"560"	"0"	"560"	"0"
"10"	"8"	"72"	"3"	"136"	"364"	"19"	"3"	"2"	"0"	"1"	"600"	"0"	"600"	"0"
"11"	"9"	"59"	"4"	"108"	"227"	"25"	"1"	"4"	"0"	"3"	"431"	"0"	"431"	"0"
"12"	"10"	"113"	"7"	"200"	"111"	"29"	"7"	"15"	"3"	"5"	"490"	"0"	"490"	"0"
"13"	"11"	"115"	"2"	"119"	"121"	"36"	"7"	"8"	"2"	"8"	"418"	"0"	"418"	"0"
