"X.Statutory.Rules.and.Order..........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"6"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"8"	"1"	"1"	"40"	"16"	"12"	"0"	"1"	"3"	"14"	"463"	"3"	"3"	"8"	"564"	""	"564"	""
"9"	"2"	"3"	"1"	"16"	"3"	"0"	"3"	"0"	"14"	"505"	"5"	"1"	"4"	"555"	""	"555"	""
"10"	"3"	"7"	"6"	"101"	"4"	"0"	"3"	"0"	"4"	"384"	"3"	"0"	"0"	"512"	""	"512"	""
"11"	"4"	"5"	"5"	"113"	"6"	"3"	"3"	"4"	"13"	"420"	"1"	"0"	"5"	"578"	""	"578"	""
"12"	"5"	"6"	"580"	"23"	"79"	"2"	"5"	"3"	"2"	"106"	"6"	"0"	"4"	"816"	""	"816"	""
"13"	"6"	"13"	"155"	"36"	"30"	"2"	"9"	"269"	"24"	"202"	"13"	"3"	"15"	"771"	""	"771"	""
"14"	"7"	"25"	"178"	"37"	"200"	"8"	"8"	"221"	"22"	"70"	"4"	"6"	"15"	"794"	""	"794"	""
"15"	"8"	"20"	"334"	"14"	"46"	"7"	"9"	"116"	"14"	"103"	"13"	"13"	"27"	"716"	""	"716"	""
"16"	"9"	"5"	"152"	"56"	"57"	"3"	"4"	"136"	"8"	"22"	"3"	"2"	"1"	"449"	""	"449"	""
"17"	"10"	"8"	"209"	"7"	"149"	"3"	"4"	"17"	"2"	"7"	"1"	"3"	"4"	"414"	""	"414"	""
"18"	"11"	"10"	"66"	"148"	"403"	"15"	"10"	"9"	"8"	"32"	"5"	"1"	"4"	"711"	""	"711"	""
"19"	"12"	"5"	"28"	"77"	"335"	"6"	"7"	"2"	"12"	"82"	"9"	"6"	"10"	"579"	""	"579"	""
"20"	"13"	"23"	"240"	"42"	"365"	"11"	"10"	"8"	"24"	"174"	"7"	"3"	"7"	"914"	""	"914"	""
"21"	"14"	"11"	"22"	"15"	"496"	"8"	"9"	"1"	"5"	"125"	"3"	"1"	"5"	"701"	""	"701"	""
"22"	"Current Round Total"	"142"	"2016"	"701"	"2185"	"68"	"85"	"789"	"166"	"2695"	"76"	"42"	"109"	"9074"	"0"	"9074"	"0"
"23"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"130-ARARIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"(Statutory Rules and Order)                                                         ROUND : SECOND"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendere d"
"31"	""	"DEVI LAL MAHTO"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"VIJAY KUMAR MANDAL"	"JAGDISH PRASAD JAISWAL"	"SURYANAN D SINGH"	"JAYANTA KUMAR GUPTA"	"DINANATH BHAGAT"	"WAJHUL QUAMAR"	"SRIDEO JHA"	"SAMUNA KHATOON"	"SAKIR"	""	""	""	""
"32"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"33"	"15"	"30"	"459"	"47"	"44"	"6"	"4"	"2"	"12"	"94"	"6"	"6"	"6"	"716"	""	"716"	""
"34"	"16"	"22"	"550"	"36"	"89"	"9"	"5"	"13"	"3"	"13"	"5"	"2"	"13"	"760"	""	"760"	""
"35"	"17"	"4"	"258"	"36"	"124"	"5"	"1"	"3"	"6"	"106"	"4"	"0"	"5"	"552"	""	"552"	""
"36"	"18"	"43"	"92"	"152"	"181"	"4"	"5"	"5"	"21"	"84"	"7"	"5"	"6"	"605"	""	"605"	""
"37"	"19"	"4"	"160"	"10"	"75"	"4"	"4"	"3"	"4"	"104"	"4"	"1"	"3"	"376"	""	"376"	""
"38"	"20"	"2"	"130"	"6"	"81"	"4"	"0"	"1"	"7"	"118"	"0"	"0"	"0"	"349"	""	"349"	""
"39"	"21"	"15"	"180"	"52"	"190"	"19"	"7"	"8"	"11"	"183"	"11"	"6"	"20"	"702"	""	"702"	""
"40"	"22"	"24"	"188"	"99"	"264"	"5"	"3"	"5"	"6"	"99"	"6"	"7"	"13"	"719"	""	"719"	""
"41"	"23"	"6"	"59"	"230"	"153"	"3"	"5"	"4"	"15"	"332"	"10"	"7"	"14"	"838"	""	"838"	""
"42"	"24"	"24"	"78"	"24"	"508"	"18"	"9"	"15"	"8"	"108"	"7"	"5"	"11"	"815"	""	"815"	""
"43"	"25"	"16"	"183"	"14"	"671"	"14"	"8"	"2"	"22"	"9"	"7"	"5"	"4"	"955"	""	"955"	""
"44"	"26"	"64"	"208"	"9"	"212"	"3"	"3"	"3"	"7"	"33"	"5"	"3"	"7"	"557"	""	"557"	""
"45"	"27"	"63"	"455"	"8"	"159"	"5"	"4"	"1"	"10"	"7"	"5"	"4"	"7"	"728"	""	"728"	""
