"Election.to.the.Bihar.Legislative.Assembly.from.the.235.Bodhgaya..SC..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"
"1"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Round No. ……        1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	"No. of"	""	""	"Total no."	""	"Total No."	""	""	""	""
"4"	"of"	"ANIL KUMAR PRASAD"	"PHOOLCHAN D MANJHI"	""	"SHERMILA BHARTI"	""	"KISHORE PASWAN"	""	"DHARMENDR A KUMAR NIRALA"	""	""	"MAUJI  RAM"	""	""	"KALI PRASAD"	""	"TILESHWAR
CHAUDHARY ALIAS TALKESHWA R CHAUDHARY"	""	""	"NIRANJAN RAM"	""	"BALCHAND CHAUDHARY"	"MAMTA KUMARI"	""	"RAJKUMAR PASWAN"	""	""	"RAJENDRA MANJHI"	""	"RAM UDAY PRASAD"	""	"SURESH CHAUDHARY"	""	""	"SAUDAGAR DAS"	""	""	"No. of"	""	""	"rejected"	""	""	"of votes"	""	"of tendered"	""	""	""	""
"5"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	"votes"	""	""	""	""	"votes"	""	""	""	""
"6"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	""	"7"	""	""	"8"	""	"9"	""	""	"10"	""	"11"	"12"	""	"13"	""	""	"14"	""	"15"	""	"16"	""	""	"17"	""	""	"18"	""	""	"19"	""	""	"20"	""	"21"	""	""	""	""
"8"	"1"	"71"	"240"	""	"2"	""	"1"	""	"0"	""	""	"12"	""	""	"5"	""	"3"	""	""	"3"	""	"1"	"58"	""	"1"	""	""	"2"	""	"1"	""	"2"	""	""	"0"	""	""	"402"	""	""	"0"	""	""	"402"	""	""	""	""	""	""
"9"	"2"	"37"	"198"	""	"16"	""	"6"	""	"4"	""	""	"53"	""	""	"9"	""	"11"	""	""	"8"	""	"7"	"320"	""	"4"	""	""	"5"	""	"5"	""	"3"	""	""	"8"	""	""	"694"	""	""	"0"	""	""	"694"	""	""	""	""	""	""
"10"	"3"	"590"	"64"	""	"19"	""	"0"	""	"0"	""	""	"3"	""	""	"0"	""	"0"	""	""	"2"	""	"0"	"13"	""	"0"	""	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"691"	""	""	"0"	""	""	"691"	""	""	""	""	""	""
"11"	"4"	"628"	"266"	""	"1"	""	"0"	""	"0"	""	""	"1"	""	""	"1"	""	"0"	""	""	"1"	""	"1"	"44"	""	"2"	""	""	"1"	""	"2"	""	"0"	""	""	"2"	""	""	"950"	""	""	"0"	""	""	"950"	""	""	""	""	""	""
"12"	"5"	"125"	"39"	""	"2"	""	"0"	""	"0"	""	""	"2"	""	""	"1"	""	"6"	""	""	"694"	""	"1"	"16"	""	"2"	""	""	"4"	""	"6"	""	"4"	""	""	"9"	""	""	"911"	""	""	"0"	""	""	"911"	""	""	""	""	""	""
"13"	"6"	"225"	"78"	""	"9"	""	"6"	""	"3"	""	""	"137"	""	""	"5"	""	"8"	""	""	"2"	""	"5"	"10"	""	"0"	""	""	"2"	""	"25"	""	"1"	""	""	"4"	""	""	"520"	""	""	"0"	""	""	"520"	""	""	""	""	""	""
"14"	"7"	"6"	"336"	""	"5"	""	"2"	""	"0"	""	""	"58"	""	""	"5"	""	"2"	""	""	"2"	""	"0"	"89"	""	"0"	""	""	"1"	""	"2"	""	"0"	""	""	"2"	""	""	"510"	""	""	"0"	""	""	"510"	""	""	""	""	""	""
