"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"Nawal Kishore"	"Bhola Rai"	"Surendra Baitha"	"Ashok Sah"	"Azam Hussain Anwar"	"Rajendra Prasad Sah"	"Rajesh Kumar Chaudhary"	"Ahmad Reza Ale"	"Ram Krishna Kumar"	"Vijay Kumar Yadav"	""	""	""	""
"2"	"1"	"34"	"69"	"12"	"5"	"158"	"16"	"117"	"7"	"6"	"11"	"435"	""	"435"	""
"3"	"2"	"11"	"266"	"6"	"6"	"114"	"4"	"27"	"1"	"0"	"5"	"440"	""	"440"	""
"4"	"3"	"35"	"206"	"13"	"6"	"144"	"18"	"197"	"14"	"13"	"19"	"665"	""	"665"	""
"5"	"4"	"44"	"29"	"0"	"3"	"103"	"24"	"206"	"5"	"6"	"7"	"427"	""	"427"	""
"6"	"5"	"25"	"222"	"6"	"4"	"63"	"6"	"155"	"4"	"4"	"2"	"491"	""	"491"	""
"7"	"6"	"29"	"245"	"16"	"7"	"139"	"13"	"24"	"6"	"8"	"9"	"496"	""	"496"	""
"8"	"7"	"19"	"66"	"8"	"4"	"138"	"11"	"62"	"4"	"5"	"10"	"327"	""	"327"	""
"9"	"8"	"8"	"74"	"7"	"2"	"88"	"7"	"158"	"0"	"1"	"3"	"348"	""	"348"	""
"10"	"9"	"99"	"143"	"14"	"6"	"171"	"17"	"173"	"6"	"6"	"10"	"645"	""	"645"	""
"11"	"10"	"9"	"53"	"3"	"10"	"105"	"15"	"69"	"4"	"3"	"19"	"290"	""	"290"	""
"12"	"11"	"12"	"139"	"9"	"13"	"149"	"2"	"60"	"2"	"0"	"2"	"388"	""	"388"	""
"13"	"12"	"13"	"119"	"9"	"2"	"258"	"11"	"53"	"4"	"3"	"12"	"484"	""	"484"	""
"14"	"13"	"10"	"115"	"8"	"7"	"178"	"10"	"64"	"1"	"1"	"10"	"404"	""	"404"	""
