"Total.No..of.Electors.in.Assembly.Constituency.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Name of the Assembly :- 87 - BAHERI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(c)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"6"	""	""	"Rama Nand Singh"	"Bishwanath Mandal"	"Hare Krishna Yadav"	"Krishna Kumar Lal Deo"	"Nawal Kishor Singh"	"Mohan Choudhary"	"Satya Narain Mukhiya"	"Sushil Kumar Choudhary"	"Daroga Prasad Rai"	"Lakshmi Kumar Karn"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"8"	"1"	"1"	"31"	"23"	"201"	"14"	"11"	"285"	"3"	"10"	"6"	"28"	"612"	"-"	"612"	""
"9"	"2"	"2"	"23"	"6"	"152"	"21"	"13"	"206"	"16"	"10"	"5"	"18"	"470"	"-"	"470"	""
"10"	"3"	"3"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"-"	"3"	""
"11"	"4"	"4"	"4"	"2"	"413"	"3"	"3"	"23"	"13"	"0"	"2"	"5"	"468"	"-"	"468"	""
"12"	"5"	"5"	"23"	"13"	"412"	"22"	"9"	"66"	"7"	"3"	"2"	"4"	"561"	"-"	"561"	""
"13"	"6"	"6"	"17"	"67"	"294"	"17"	"5"	"66"	"12"	"11"	"2"	"9"	"500"	"-"	"500"	""
"14"	"7"	"7"	"16"	"7"	"550"	"5"	"4"	"52"	"19"	"4"	"7"	"6"	"670"	"-"	"670"	""
"15"	"8"	"8"	"22"	"14"	"144"	"13"	"3"	"166"	"46"	"10"	"9"	"33"	"460"	"-"	"460"	""
"16"	"9"	"9"	"9"	"3"	"69"	"2"	"0"	"174"	"19"	"2"	"3"	"5"	"286"	"-"	"286"	""
"17"	"10"	"10"	"6"	"4"	"152"	"5"	"3"	"232"	"4"	"4"	"0"	"3"	"413"	"-"	"413"	""
"18"	"11"	"11"	"3"	"0"	"385"	"18"	"0"	"82"	"1"	"3"	"1"	"5"	"498"	"-"	"498"	""
"19"	"12"	"12"	"4"	"2"	"320"	"6"	"0"	"44"	"0"	"1"	"0"	"3"	"380"	"-"	"380"	""
"20"	"13"	"13"	"21"	"12"	"148"	"14"	"13"	"261"	"14"	"14"	"4"	"26"	"527"	"-"	"527"	""
"21"	"14"	"14"	"24"	"8"	"461"	"8"	"3"	"129"	"4"	"0"	"6"	"7"	"650"	"-"	"650"	""
"22"	"15"	"15"	"0"	"0"	"714"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"721"	"-"	"721"	""
"23"	"16"	"16"	"3"	"2"	"585"	"4"	"0"	"12"	"2"	"0"	"0"	"1"	"609"	"-"	"609"	""
"24"	"17"	"17"	"13"	"5"	"558"	"2"	"2"	"21"	"3"	"0"	"0"	"0"	"604"	"-"	"604"	""
"25"	"18"	"18"	"9"	"10"	"366"	"13"	"5"	"10"	"3"	"9"	"3"	"13"	"441"	"-"	"441"	""
"26"	"19"	"19"	"34"	"11"	"212"	"18"	"4"	"85"	"9"	"8"	"2"	"7"	"390"	"-"	"390"	""
"27"	"20"	"20"	"38"	"7"	"127"	"17"	"10"	"131"	"8"	"14"	"15"	"39"	"406"	"-"	"406"	""
"28"	"21"	"21"	"2"	"0"	"921"	"3"	"0"	"4"	"5"	"0"	"0"	"0"	"935"	"-"	"935"	""
"29"	"22"	"22"	"0"	"0"	"786"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"791"	"-"	"791"	""
"30"	"23"	"23"	"4"	"0"	"621"	"0"	"1"	"4"	"1"	"0"	"1"	"0"	"632"	"-"	"632"	""
"31"	"24"	"24"	"71"	"6"	"114"	"2"	"2"	"240"	"6"	"1"	"1"	"4"	"447"	"-"	"447"	""
"32"	"25"	"25"	"33"	"11"	"183"	"11"	"14"	"94"	"10"	"18"	"13"	"34"	"421"	"-"	"421"	""
"33"	"26"	"26"	"153"	"15"	"332"	"13"	"9"	"96"	"9"	"12"	"12"	"17"	"668"	"-"	"668"	""
"34"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
