"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"2"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	"L"	"M"	""	""	""	""
"3"	"1"	"24"	"163"	"4"	"23"	"107"	"12"	"92"	"11"	"11"	"34"	"19"	"25"	"38"	"563"	""	"563"	""
"4"	"2"	"19"	"54"	"2"	"8"	"241"	"13"	"104"	"11"	"24"	"16"	"21"	"31"	"33"	"577"	""	"577"	""
"5"	"3"	"18"	"29"	"4"	"16"	"190"	"10"	"113"	"11"	"7"	"15"	"12"	"15"	"54"	"494"	""	"494"	""
"6"	"4"	"8"	"197"	"5"	"18"	"234"	"14"	"92"	"10"	"5"	"20"	"13"	"12"	"12"	"640"	""	"640"	""
"7"	"5"	"6"	"23"	"0"	"11"	"223"	"4"	"39"	"1"	"2"	"3"	"1"	"6"	"5"	"324"	""	"324"	""
"8"	"6"	"13"	"57"	"4"	"3"	"158"	"11"	"84"	"7"	"1"	"13"	"5"	"7"	"12"	"375"	""	"375"	""
"9"	"7"	"16"	"81"	"2"	"19"	"155"	"4"	"117"	"4"	"5"	"7"	"11"	"11"	"4"	"436"	""	"436"	""
"10"	"8"	"2"	"46"	"1"	"6"	"313"	"19"	"67"	"5"	"3"	"2"	"4"	"2"	"11"	"481"	""	"481"	""
"11"	"9"	"28"	"52"	"1"	"13"	"200"	"10"	"52"	"9"	"2"	"6"	"3"	"9"	"9"	"394"	""	"394"	""
"12"	"10"	"4"	"1"	"1"	"8"	"301"	"8"	"58"	"0"	"2"	"2"	"1"	"2"	"5"	"393"	""	"393"	""
"13"	"11"	"5"	"3"	"0"	"7"	"654"	"11"	"90"	"7"	"4"	"3"	"9"	"2"	"6"	"801"	""	"801"	""
"14"	"12"	"11"	"138"	"7"	"13"	"187"	"18"	"137"	"9"	"11"	"16"	"21"	"22"	"37"	"627"	""	"627"	""
"15"	"13"	"15"	"41"	"4"	"4"	"57"	"4"	"62"	"6"	"2"	"4"	"5"	"1"	"4"	"209"	""	"209"	""
"16"	"14"	"9"	"226"	"5"	"9"	"155"	"7"	"115"	"4"	"6"	"21"	"6"	"7"	"10"	"580"	""	"580"	""
"17"	"Page Total"	"178"	"1111"	"40"	"158"	"3175"	"145"	"1222"	"95"	"85"	"162"	"131"	"152"	"240"	"6894"	"0"	"6894"	"0"
"18"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"Serial No.of Polling Station*"	"Gangasag ar
Ram"	"Gajendra Prasad Himanshu"	"Rajnikant Jha"	"Sheela Singh"	"Sunil Kumar Pushpam"	"Ghooran Mukhia"	"Ramnar ayan Mandal"	"Santo sh Kuma r Suma n"	"Surendra Mohan Yadav"	"Jamu n Pasw an"	"Dinesh Kumar"	"Ramc handra Mallik"	"Rudra Naraya n Prasad Dinkar"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
