"FORM....20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"BOOTH    NO"	"AMIT KUMAR BHARTI"	"DINESH PASWAN"	"NEPALI RAJAK"	"UMANAND PASWAN"	"BAIDHYA NATH PASWA"	"UPENDRA NARAYAN HAZRA"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLE"
"2"	"1"	"160"	"4"	"113"	"5"	"6"	"3"	"291"	"0"	"0"	"291"	"0"
"3"	"2"	"263"	"16"	"103"	"7"	"16"	"2"	"407"	"0"	"0"	"407"	"0"
"4"	"3"	"221"	"6"	"87"	"19"	"18"	"29"	"380"	"0"	"0"	"380"	"0"
"5"	"4"	"215"	"16"	"169"	"82"	"81"	"74"	"637"	"0"	"0"	"637"	"0"
"6"	"5"	"267"	"26"	"137"	"18"	"25"	"68"	"541"	"0"	"0"	"541"	"0"
"7"	"6"	"239"	"10"	"116"	"11"	"29"	"11"	"416"	"0"	"0"	"416"	"0"
"8"	"7"	"261"	"14"	"198"	"25"	"20"	"58"	"576"	"0"	"0"	"576"	"0"
"9"	"8"	"74"	"26"	"211"	"21"	"54"	"84"	"470"	"0"	"0"	"470"	"0"
"10"	"9"	"72"	"268"	"85"	"12"	"25"	"33"	"495"	"0"	"0"	"495"	"0"
"11"	"10"	"45"	"9"	"237"	"14"	"16"	"19"	"340"	"0"	"0"	"340"	"0"
"12"	"11"	"0"	"3"	"160"	"5"	"6"	"2"	"176"	"0"	"0"	"176"	"0"
"13"	"12"	"58"	"6"	"46"	"6"	"44"	"45"	"205"	"0"	"0"	"205"	"0"
"14"	"13"	"34"	"10"	"254"	"16"	"27"	"25"	"366"	"0"	"0"	"366"	"0"
"15"	"14"	"130"	"40"	"172"	"18"	"15"	"35"	"410"	"0"	"0"	"410"	"0"
"16"	"ROUND 1"	"2039"	"454"	"2088"	"259"	"382"	"488"	"5710"	"0"	"0"	"5710"	"0"
"17"	"15"	"45"	"1"	"132"	"15"	"9"	"16"	"218"	"0"	"0"	"218"	"0"
"18"	"16"	"221"	"13"	"208"	"14"	"77"	"17"	"550"	"0"	"0"	"550"	"0"
"19"	"17"	"148"	"19"	"243"	"31"	"48"	"23"	"512"	"0"	"0"	"512"	"0"
"20"	"18"	"86"	"8"	"92"	"10"	"25"	"45"	"266"	"0"	"0"	"266"	"0"
"21"	"19"	"154"	"13"	"88"	"9"	"49"	"9"	"322"	"0"	"0"	"322"	"0"
"22"	"20"	"147"	"16"	"92"	"5"	"41"	"19"	"320"	"0"	"0"	"320"	"0"
"23"	"21"	"105"	"17"	"290"	"15"	"37"	"12"	"476"	"0"	"0"	"476"	"0"
"24"	"22"	"111"	"8"	"149"	"10"	"14"	"18"	"310"	"0"	"0"	"310"	"0"
"25"	"23"	"152"	"5"	"100"	"12"	"266"	"46"	"581"	"0"	"0"	"581"	"0"
"26"	"24"	"170"	"24"	"117"	"16"	"94"	"80"	"501"	"0"	"0"	"501"	"0"
"27"	"25"	"277"	"11"	"175"	"13"	"21"	"9"	"506"	"0"	"0"	"506"	"0"
"28"	"26"	"84"	"18"	"103"	"20"	"46"	"23"	"294"	"0"	"0"	"294"	"0"
"29"	"27"	"108"	"5"	"86"	"12"	"21"	"112"	"344"	"0"	"0"	"344"	"0"
"30"	"28"	"115"	"3"	"78"	"6"	"7"	"53"	"262"	"0"	"0"	"262"	"0"
"31"	"BOOTH    NO"	"AMIT KUMAR BHARTI"	"DINESH PASWAN"	"NEPALI RAJAK"	"UMANAND PASWAN"	"BAIDHYA NATH PASWA"	"UPENDRA NARAYAN HAZRA"	"TOTAL VALID VOTES POLLED"	"TOTAL REJECTED VOTES"	"POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLE"
"32"	"ROUND 2"	"1923"	"161"	"1953"	"188"	"755"	"482"	"5462"	"0"	"0"	"5462"	"0"
"33"	"29"	"58"	"8"	"69"	"11"	"40"	"194"	"380"	"0"	"0"	"380"	"0"
"34"	"30"	"18"	"5"	"40"	"6"	"14"	"67"	"150"	"0"	"0"	"150"	"0"
"35"	"31"	"58"	"24"	"199"	"13"	"73"	"32"	"399"	"0"	"0"	"399"	"0"
"36"	"32"	"130"	"22"	"158"	"15"	"32"	"32"	"389"	"0"	"0"	"389"	"0"
"37"	"33"	"249"	"52"	"75"	"14"	"20"	"26"	"436"	"0"	"0"	"436"	"0"
"38"	"34"	"178"	"15"	"43"	"13"	"106"	"20"	"375"	"0"	"0"	"375"	"0"
"39"	"35"	"224"	"15"	"73"	"19"	"23"	"21"	"375"	"0"	"0"	"375"	"0"
"40"	"36"	"54"	"19"	"191"	"15"	"52"	"16"	"347"	"0"	"0"	"347"	"0"
"41"	"37"	"177"	"12"	"57"	"4"	"34"	"17"	"301"	"0"	"0"	"301"	"0"
"42"	"38"	"141"	"22"	"110"	"58"	"30"	"51"	"412"	"0"	"0"	"412"	"0"
"43"	"39"	"180"	"48"	"260"	"20"	"22"	"22"	"552"	"0"	"0"	"552"	"0"
