"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"FINAL RESULT SHEET [SEE RULE 56(2) ( C ) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 29 PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency/Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"162- KHARAGPUR (VOTERS)"	""	""	"GENERAL VOTERS"	""	""	""	""	"SERVICE VOTERS"	""	""	""	""	"TOTAL"	""	""	""	""	""	""
"7"	""	""	""	"MEN           WOMEN
127123              108126"	""	""	"TOTAL 235249"	""	"MEN           WOMEN
93                     49"	""	""	"TOTAL
142"	""	"235391"	""	""	""	""	""	""
"8"	"Name of Assembly Segment:- 162-Kharagpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of Election form a Parlementary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	""	"TOTAL"	"NO. OF TEDR VOTES"	""	""
"11"	""	"OM PRAKASH SAHNI"	"ANANTA KUMAR SATYARTHI"	"SHANTI DEVI"	"SHAMSHER JUNG BAHADUR SINGH"	"ANITA DEVI"	""	"ASHOK YADAV"	""	"DEVENDRA RAGHAV"	"SUMAN PASWAN"	""	"TOTAL OF VALID VOTES"	""	""	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	""	"8"	"9"	""	"10"	""	"11"	""	"12"	"13"	""	""
"13"	"1"	"9"	"179"	"310"	"57"	"19"	""	"23"	""	"9"	"55"	""	"661"	""	"0"	""	"661"	"0"	""	""
"14"	"2"	"10"	"114"	"152"	"93"	"10"	""	"10"	""	"7"	"12"	""	"408"	""	"0"	""	"408"	"0"	""	""
"15"	"3"	"2"	"86"	"163"	"56"	"6"	""	"12"	""	"2"	"3"	""	"330"	""	"0"	""	"330"	"0"	""	""
"16"	"4"	"2"	"185"	"37"	"243"	"9"	""	"10"	""	"4"	"3"	""	"493"	""	"0"	""	"493"	"0"	""	""
"17"	"5"	"8"	"33"	"222"	"85"	"4"	""	"9"	""	"5"	"8"	""	"374"	""	"0"	""	"374"	"0"	""	""
"18"	"6"	"3"	"19"	"74"	"202"	"5"	""	"2"	""	"5"	"2"	""	"312"	""	"0"	""	"312"	"0"	""	""
"19"	"7"	"2"	"5"	"50"	"199"	"2"	""	"0"	""	"8"	"1"	""	"267"	""	"0"	""	"267"	"0"	""	""
"20"	"8"	"2"	"143"	"85"	"83"	"7"	""	"11"	""	"10"	"9"	""	"350"	""	"0"	""	"350"	"0"	""	""
"21"	"9"	"14"	"171"	"289"	"77"	"7"	""	"12"	""	"6"	"6"	""	"582"	""	"0"	""	"582"	"0"	""	""
"22"	"10"	"4"	"71"	"220"	"23"	"7"	""	"6"	""	"9"	"11"	""	"351"	""	"0"	""	"351"	"0"	""	""
"23"	"11"	"3"	"135"	"137"	"29"	"9"	""	"4"	""	"8"	"19"	""	"344"	""	"0"	""	"344"	"0"	""	""
"24"	"12"	"20"	"424"	"92"	"8"	"1"	""	"8"	""	"0"	"5"	""	"558"	""	"0"	""	"558"	"0"	""	""
"25"	"13"	"10"	"58"	"138"	"113"	"8"	""	"2"	""	"9"	"6"	""	"344"	""	"0"	""	"344"	"0"	""	""
"26"	"14"	"1"	"18"	"255"	"67"	"2"	""	"1"	""	"4"	"3"	""	"351"	""	"0"	""	"351"	"0"	""	""
"27"	"TOTAL"	"90"	"1641"	"2224"	"1335"	"96"	""	"110"	""	"86"	"143"	""	"5725"	""	"0"	""	"5725"	"0"	""	""
"28"	"ROUND - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	""	"TOTAL"	"NO. OF TEDR VOTES"	""	""
"31"	""	"OM PRAKASH SAHNI"	"ANANTA KUMAR SATYARTHI"	"SHANTI DEVI"	"SHAMSHER JUNG BAHADUR SINGH"	"ANITA DEVI"	""	"ASHOK YADAV"	""	"DEVENDRA RAGHAV"	"SUMAN PASWAN"	""	"TOTAL OF VALID VOTES"	""	""	""	""	""	""	""
"32"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	""	"8"	"9"	""	"10"	""	"11"	""	"12"	"13"	""	""
"33"	"B/F"	"90"	"1641"	"2224"	"1335"	"96"	""	"110"	""	"86"	"143"	""	"5725"	""	"0"	""	"5725"	"0"	""	""
