"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 238-Atri  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"6"	""	""	"CHHITIS MOHAN SINGH"	""	""	"JANARDAN SINGH"	""	"RAJENDRA PRASAD YADAV"	""	""	"RANJEET SINGH"	""	""	"RAMASHRA Y PD. SINGH"	""	""	"PRAMOD KUMAR YADAV"	""	"MD. MOIN AKHTAR"	""	"RAVINDRA PRASAD"	""	"VIRENDRA SINGH"	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""
"8"	"1"	""	"1"	""	""	"1"	""	"1052"	""	""	"3"	""	""	"21"	""	""	"1"	""	"0"	""	"1"	""	"0"	""	"1"	""	"1081"	""	""	"0"	""	""	"1081"	""	""	""	""	""	""	""	""	""
"9"	"2"	""	"3"	""	""	"5"	""	"641"	""	""	"5"	""	""	"68"	""	""	"1"	""	"0"	""	"0"	""	"0"	""	"2"	""	"725"	""	""	"0"	""	""	"725"	""	""	""	""	""	""	""	""	""
"10"	"3"	""	"16"	""	""	"4"	""	"71"	""	""	"5"	""	""	"323"	""	""	"7"	""	"3"	""	"3"	""	"0"	""	"5"	""	"437"	""	""	"0"	""	""	"437"	""	""	""	""	""	""	""	""	""
"11"	"4"	""	"0"	""	""	"0"	""	"511"	""	""	"1"	""	""	"13"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"525"	""	""	"0"	""	""	"525"	""	""	""	""	""	""	""	""	""
"12"	"5"	""	"0"	""	""	"0"	""	"62"	""	""	"4"	""	""	"678"	""	""	"4"	""	"2"	""	"0"	""	"0"	""	"0"	""	"750"	""	""	"0"	""	""	"750"	""	""	""	""	""	""	""	""	""
"13"	"6"	""	"0"	""	""	"0"	""	"712"	""	""	"2"	""	""	"19"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"733"	""	""	"0"	""	""	"733"	""	""	""	""	""	""	""	""	""
"14"	"7"	""	"4"	""	""	"1"	""	"748"	""	""	"1"	""	""	"72"	""	""	"4"	""	"1"	""	"2"	""	"0"	""	"0"	""	"833"	""	""	"0"	""	""	"833"	""	""	""	""	""	""	""	""	""
"15"	"8"	""	"0"	""	""	"2"	""	"363"	""	""	"0"	""	""	"1"	""	""	"1"	""	"0"	""	"7"	""	"0"	""	"0"	""	"374"	""	""	"0"	""	""	"374"	""	""	""	""	""	""	""	""	""
