"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"Annexure.XLI..CHAPTER.XIV.PARA.26.9."	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""
"2"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 202-RAJPUR (SC) CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"175821+418=176239
202 RAJPUR (SC)"	""	""	""	""	""	""	""	""	""
"4"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendere d Votes"
"5"	""	""	"Chhedi Lal Ram"	"Shyam Pyari Devi"	"Santosh Kumar Nirala"	"Arun Kumar Mushar"	"Arjun Ram"	"Daroga Ram"	"Birbal Rajak"	"Yogendra Kumar Ram"	"Ram Pasad Ram"	"Amar Paswan"	"Madhavi Devi"	"Rameswar Ram"	""	""	""	""
"6"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	""	""	""	""
"7"	"R
o u n d
1"	"1"	"60"	"218"	"57"	"19"	"6"	"9"	"66"	"5"	"1"	"3"	"1"	"8"	"-453"	"0"	"-453"	"0"
"8"	""	"1A"	"1"	"40"	"228"	"10"	"1"	"0"	"0"	"0"	"1"	"14"	"1"	"0"	"-296"	"0"	"-296"	"0"
"9"	""	"2"	"150"	"90"	"74"	"4"	"46"	"5"	"174"	"6"	"4"	"4"	"6"	"9"	"-572"	"0"	"-572"	"0"
"10"	""	"3"	"229"	"185"	"122"	"5"	"40"	"4"	"17"	"5"	"6"	"27"	"6"	"12"	"-658"	"0"	"-658"	"0"
"11"	""	"4"	"7"	"427"	"8"	"0"	"0"	"1"	"4"	"0"	"0"	"1"	"0"	"3"	"-451"	"0"	"-451"	"0"
"12"	""	"5"	"68"	"37"	"342"	"6"	"2"	"5"	"172"	"6"	"1"	"1"	"1"	"0"	"-641"	"0"	"-641"	"0"
"13"	""	"6"	"52"	"107"	"101"	"1"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"-271"	"0"	"-271"	"0"
"14"	""	"7"	"129"	"188"	"5"	"0"	"4"	"19"	"53"	"0"	"1"	"3"	"1"	"3"	"-406"	"0"	"-406"	"0"
"15"	""	"8"	"41"	"101"	"187"	"3"	"2"	"2"	"1"	"0"	"4"	"5"	"0"	"13"	"-359"	"0"	"-359"	"0"
"16"	""	"9"	"0"	"149"	"51"	"3"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"6"	"-212"	"0"	"-212"	"0"
