"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"[ SEE RULE 56C (2) © ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 178 - Nalanda   ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[ To be used both for Parliamentary And Assembly Election ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment  :-  2005 Name of the Assembly Segment     :-          178   Nalanda"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of Postal votes"	"Total"	"No.of total voter"	"%"
"8"	""	"Anil Kumar"	"Shiv Shankar Prasad"	"Sarwan Kumar  Vill- Khaddi"	"Sarwan Kumar Vill- Ben"	"Ajit Kumar"	"Ramkesh war Prasad"	"Ram Naresh Singh"	"Ram Pyare Prasad"	"Ajay Kumar"	"Arbind Kumar"	"Ashok Kumar"	"Raj Kumar Paswan"	"Shiv Kumar Prasad"	"Shiv Kumar Mandal"	"Satish Mahto"	"Surendra Kumar"	""	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"10"	"1"	"33"	"13"	"40"	"262"	"5"	"1"	"190"	"2"	"1"	"1"	"2"	"3"	"12"	"4"	"11"	"19"	"599"	"0"	"599"	"599"	""
"11"	"2"	"2"	"2"	"47"	"32"	"0"	"4"	"569"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"662"	"0"	"662"	""	""
"12"	"3"	"51"	"6"	"72"	"212"	"3"	"2"	"108"	"0"	"1"	"1"	"0"	"3"	"3"	"2"	"1"	"2"	"467"	"0"	"467"	""	""
"13"	"4"	"100"	"5"	"30"	"297"	"4"	"1"	"23"	"5"	"1"	"1"	"1"	"2"	"12"	"4"	"11"	"9"	"506"	"0"	"506"	""	""
"14"	"5"	"1"	"33"	"37"	"121"	"1"	"1"	"202"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"400"	"0"	"400"	""	""
"15"	"6"	"3"	"1"	"100"	"88"	"4"	"1"	"46"	"2"	"2"	"0"	"2"	"0"	"12"	"13"	"1"	"13"	"288"	"0"	"288"	""	""
"16"	"7"	"5"	"0"	"53"	"88"	"3"	"0"	"186"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"337"	"0"	"337"	""	""
"17"	"8"	"3"	"0"	"19"	"88"	"2"	"1"	"131"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"250"	"0"	"250"	""	""
"18"	"9"	"4"	"3"	"49"	"97"	"2"	"0"	"120"	"1"	"2"	"0"	"1"	"2"	"9"	"0"	"1"	"2"	"293"	"0"	"293"	""	""
"19"	"10"	"12"	"61"	"42"	"252"	"0"	"2"	"124"	"2"	"1"	"0"	"5"	"0"	"1"	"0"	"1"	"0"	"503"	"0"	"503"	""	""
"20"	"11"	"4"	"0"	"63"	"329"	"4"	"1"	"35"	"0"	"0"	"0"	"0"	"1"	"4"	"3"	"2"	"6"	"452"	"0"	"452"	""	""
"21"	"12"	"40"	"5"	"1"	"49"	"2"	"2"	"283"	"7"	"3"	"4"	"1"	"4"	"6"	"2"	"1"	"5"	"415"	"0"	"415"	""	""
"22"	"13"	"7"	"8"	"74"	"256"	"2"	"1"	"126"	"1"	"0"	"1"	"2"	"1"	"9"	"3"	"2"	"4"	"497"	"0"	"497"	""	""
"23"	"14"	"4"	"18"	"53"	"284"	"4"	"2"	"108"	"1"	"1"	"0"	"0"	"2"	"4"	"2"	"3"	"2"	"488"	"0"	"488"	""	""
"24"	"Round -1"	"269"	"155"	"680"	"2455"	"36"	"19"	"2251"	"25"	"13"	"10"	"16"	"19"	"74"	"33"	"37"	"65"	"6157"	"0"	"6157"	""	""
"25"	"15"	"1"	"1"	"24"	"194"	"1"	"0"	"89"	"0"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"315"	"0"	"315"	""	""
"26"	"16"	"9"	"2"	"47"	"251"	"0"	"3"	"144"	"1"	"5"	"3"	"11"	"7"	"6"	"6"	"5"	"24"	"524"	"0"	"524"	""	""
"27"	"17"	"14"	"17"	"36"	"398"	"1"	"3"	"77"	"4"	"6"	"1"	"2"	"8"	"19"	"3"	"8"	"11"	"608"	"0"	"608"	""	""
"28"	"18"	"3"	"2"	"15"	"196"	"7"	"1"	"104"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"6"	"0"	"338"	"0"	"338"	""	""
"29"	"19"	"18"	"5"	"111"	"118"	"4"	"0"	"31"	"1"	"1"	"2"	"0"	"2"	"7"	"14"	"3"	"4"	"321"	"0"	"321"	""	""
"30"	"20"	"4"	"18"	"103"	"199"	"3"	"2"	"57"	"3"	"1"	"1"	"0"	"1"	"4"	"3"	"5"	"2"	"406"	"0"	"406"	""	""
"31"	"21"	"51"	"2"	"167"	"270"	"8"	"4"	"46"	"3"	"1"	"2"	"1"	"7"	"12"	"5"	"6"	"9"	"594"	"0"	"594"	""	""
"32"	"22"	"23"	"0"	"84"	"164"	"0"	"1"	"55"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"331"	"0"	"331"	""	""
"33"	"23"	"10"	"22"	"99"	"151"	"0"	"0"	"10"	"0"	"1"	"2"	"0"	"1"	"0"	"2"	"0"	"1"	"299"	"0"	"299"	""	""
"34"	"24"	"5"	"1"	"126"	"89"	"3"	"0"	"3"	"3"	"1"	"3"	"1"	"1"	"10"	"15"	"2"	"6"	"269"	"0"	"269"	""	""
"35"	"25"	"25"	"4"	"95"	"320"	"4"	"0"	"11"	"0"	"1"	"0"	"2"	"0"	"3"	"1"	"0"	"0"	"466"	"0"	"466"	""	""
"36"	"26"	"4"	"4"	"93"	"4"	"1"	"3"	"109"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"220"	"0"	"220"	""	""
"37"	"27"	"13"	"9"	"100"	"284"	"3"	"0"	"8"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"0"	"4"	"426"	"0"	"426"	""	""
"38"	"28"	"31"	"13"	"18"	"176"	"2"	"2"	"205"	"2"	"1"	"0"	"0"	"1"	"5"	"2"	"3"	"5"	"466"	"0"	"466"	""	""
"39"	"Round -2"	"480"	"255"	"1798"	"5269"	"73"	"38"	"3200"	"43"	"36"	"26"	"33"	"49"	"144"	"88"	"77"	"131"	"11740"	"0"	"11740"	""	""
"40"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of Postal votes"	"Total"	"No.of total voter"	"%"
"41"	""	"Anil Kumar"	"Shiv Shankar Prasad"	"Sarwan Kumar  Vill- Khaddi"	"Sarwan Kumar Vill- Ben"	"Ajit Kumar"	"Ramkesh war Prasad"	"Ram Naresh Singh"	"Ram Pyare Prasad"	"Ajay Kumar"	"Arbind Kumar"	"Ashok Kumar"	"Raj Kumar Paswan"	"Shiv Kumar Prasad"	"Shiv Kumar Mandal"	"Satish Mahto"	"Surendra Kumar"	""	""	""	""	""
"42"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"43"	"29"	"43"	"88"	"62"	"367"	"12"	"6"	"117"	"2"	"5"	"3"	"6"	"29"	"7"	"1"	"4"	"5"	"757"	"0"	"757"	""	""
"44"	"30"	"18"	"4"	"53"	"249"	"2"	"0"	"38"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"368"	"0"	"368"	""	""
"45"	"31"	"8"	"2"	"53"	"49"	"1"	"0"	"144"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"261"	"0"	"261"	""	""
"46"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"47"	"33"	"44"	"2"	"20"	"241"	"35"	"1"	"21"	"1"	"4"	"3"	"0"	"5"	"11"	"5"	"3"	"5"	"401"	"0"	"401"	""	""
"48"	"34"	"35"	"7"	"71"	"176"	"3"	"0"	"21"	"3"	"10"	"1"	"0"	"0"	"2"	"0"	"2"	"0"	"331"	"0"	"331"	""	""
"49"	"35"	"230"	"8"	"46"	"178"	"4"	"1"	"13"	"3"	"5"	"5"	"3"	"1"	"9"	"4"	"4"	"16"	"530"	"0"	"530"	""	""
"50"	"36"	"20"	"1"	"33"	"301"	"2"	"0"	"14"	"2"	"1"	"2"	"0"	"2"	"2"	"0"	"2"	"0"	"382"	"0"	"382"	""	""
"51"	"37"	"193"	"4"	"121"	"89"	"22"	"1"	"40"	"0"	"3"	"2"	"2"	"0"	"4"	"0"	"2"	"10"	"493"	"0"	"493"	""	""
"52"	"38"	"3"	"2"	"78"	"214"	"1"	"1"	"77"	"1"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"381"	"0"	"381"	""	""
"53"	"39"	"7"	"12"	"19"	"300"	"2"	"2"	"67"	"2"	"1"	"2"	"19"	"2"	"7"	"1"	"1"	"2"	"446"	"0"	"446"	""	""
"54"	"40"	"24"	"1"	"21"	"217"	"3"	"0"	"46"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"315"	"0"	"315"	""	""
"55"	"41"	"16"	"30"	"77"	"105"	"5"	"4"	"169"	"4"	"4"	"3"	"4"	"1"	"4"	"1"	"3"	"2"	"432"	"0"	"432"	""	""
