"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"7"	"1"	"92"	"16"	"21"	"7"	"327"	"10"	"6"	"4"	"80"	"2"	"1"	"0"	"2"	"1"	"2"	"6"	"2"	"1"	"0"	"580"	"0"	"580"	"0"	""
"8"	"2"	"37"	"33"	"6"	"2"	"384"	"16"	"16"	"2"	"17"	"1"	"6"	"13"	"0"	"6"	"2"	"2"	"4"	"0"	"1"	"548"	"0"	"548"	"0"	""
"9"	"3"	"100"	"37"	"3"	"4"	"214"	"6"	"1"	"1"	"31"	"2"	"1"	"7"	"5"	"3"	"8"	"7"	"42"	"2"	"1"	"475"	"0"	"475"	"0"	""
"10"	"4"	"451"	"10"	"8"	"2"	"145"	"3"	"5"	"0"	"10"	"0"	"3"	"1"	"1"	"0"	"1"	"7"	"9"	"2"	"0"	"658"	"0"	"658"	"0"	""
"11"	"5"	"269"	"19"	"3"	"0"	"40"	"2"	"1"	"1"	"2"	"0"	"3"	"5"	"5"	"3"	"2"	"17"	"2"	"1"	"1"	"376"	"0"	"376"	"0"	""
"12"	"6"	"350"	"12"	"2"	"4"	"83"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"0"	"3"	"6"	"3"	"1"	"471"	"0"	"471"	"0"	""
"13"	"7"	"31"	"5"	"8"	"0"	"151"	"2"	"3"	"4"	"2"	"2"	"2"	"0"	"2"	"1"	"12"	"7"	"16"	"0"	"0"	"248"	"0"	"248"	"0"	""
"14"	"8"	"8"	"1"	"13"	"6"	"501"	"3"	"2"	"1"	"5"	"0"	"2"	"2"	"0"	"2"	"2"	"4"	"4"	"0"	"1"	"557"	"0"	"557"	"0"	""
"15"	"9"	"12"	"22"	"15"	"7"	"454"	"9"	"2"	"5"	"20"	"2"	"6"	"9"	"3"	"4"	"4"	"10"	"4"	"2"	"2"	"592"	"0"	"592"	"0"	""
"16"	"10"	"5"	"1"	"1"	"3"	"526"	"3"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"542"	"0"	"542"	"0"	""
"17"	"11"	"9"	"6"	"0"	"4"	"542"	"0"	"1"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"3"	"0"	"0"	"587"	"0"	"587"	"0"	""
"18"	"12"	"22"	"4"	"39"	"5"	"421"	"7"	"2"	"6"	"30"	"0"	"0"	"3"	"1"	"0"	"4"	"0"	"5"	"0"	"3"	"552"	"0"	"552"	"0"	""
"19"	"13"	"17"	"6"	"21"	"0"	"448"	"1"	"0"	"4"	"33"	"1"	"1"	"2"	"1"	"19"	"19"	"2"	"67"	"1"	"1"	"644"	"0"	"644"	"0"	""
"20"	"14"	"54"	"19"	"15"	"1"	"140"	"3"	"1"	"7"	"87"	"0"	"0"	"5"	"2"	"3"	"7"	"1"	"45"	"2"	"0"	"392"	"0"	"392"	"0"	""
"21"	";ksx"	"1457"	"191"	"155"	"45"	"4376"	"65"	"41"	"36"	"339"	"10"	"26"	"49"	"23"	"44"	"65"	"66"	"209"	"14"	"11"	"7222"	"0"	"7222"	"0"	""
"22"	"izi=  &  20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"7&puifV;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 212618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"ernku dsUnz la0"	"d`\".k dqekj feJ"	"izeksn dqekj flag"	"Hkjr jk;"	"egEen
ft;kmfíu"	"lrh'k pUnz nwcs"	"nkjksxk izlkn
xqIrk"	"clar izlkn flag"	"fcfiu frokjh"	"'kjQqíhu 'ks[k"	"d`\".k dqekj jke"	"NksVs yky izlkn"	"tVk'kadj jke"	"uanykyjke"	"eksrh lkg"	"jfo yky dqekj"	"jkts'k eka>h"	"fo'oukFk izlkn
dq'kokgk"	"o`tfd'kksj oSBk"	"f'ko dqekj 'kekZ"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"28"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	""
"29"	"15"	"23"	"5"	"20"	"4"	"404"	"6"	"2"	"1"	"45"	"2"	"3"	"3"	"2"	"8"	"5"	"0"	"17"	"1"	"1"	"552"	"0"	"552"	"0"	""
"30"	"16"	"49"	"34"	"5"	"5"	"107"	"5"	"5"	"3"	"291"	"4"	"5"	"3"	"3"	"4"	"4"	"6"	"77"	"4"	"5"	"619"	"0"	"619"	"0"	""
"31"	"17"	"6"	"40"	"13"	"3"	"66"	"2"	"1"	"5"	"236"	"5"	"1"	"2"	"3"	"3"	"3"	"5"	"3"	"0"	"0"	"397"	"0"	"397"	"0"	""
"32"	"18"	"10"	"33"	"8"	"2"	"320"	"4"	"1"	"3"	"18"	"1"	"0"	"3"	"0"	"28"	"1"	"0"	"12"	"1"	"1"	"446"	"0"	"446"	"0"	""
"33"	"19"	"92"	"4"	"4"	"0"	"164"	"3"	"0"	"2"	"34"	"0"	"1"	"0"	"1"	"6"	"1"	"1"	"4"	"1"	"0"	"318"	"0"	"318"	"0"	""
"34"	"20"	"10"	"12"	"3"	"1"	"393"	"0"	"2"	"0"	"0"	"26"	"0"	"0"	"2"	"0"	"2"	"0"	"4"	"1"	"1"	"457"	"0"	"457"	"0"	""
"35"	"21"	"58"	"36"	"6"	"2"	"189"	"9"	"3"	"2"	"70"	"5"	"4"	"4"	"2"	"4"	"1"	"0"	"3"	"4"	"1"	"403"	"0"	"403"	"0"	""
"36"	"22"	"10"	"4"	"12"	"2"	"260"	"1"	"0"	"1"	"23"	"2"	"1"	"2"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"323"	"0"	"323"	"0"	""
"37"	"23"	"2"	"0"	"2"	"0"	"277"	"3"	"0"	"0"	"21"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"308"	"0"	"308"	"0"	""
