"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Election to the Vidhan Sabha from the 152-Bihpur Assembly constituency: Total No. of Electors in Assembly constituency:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"PART -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"S. No. of
Polling"	"ASHOK KUMAR
SHARM"	"KANCHA N SINGH"	"SHALAISH KUMAR
ALIAS BULO"	"MADHUK AR
YADAV"	"SHAILESH PRASAD
SINGH"	"AJAY KUMAR
DAS"	"MAHENDR A SINGH"	"RAJENDR A
MANDAL"	"VIJAY KUMA
R"	"BINDES HWARI
PD."	"SURES H
PANDI"	"Total No. of
valid"	"No. of rejected
botes"	"Total"	"No. of tendered
votes"
"5"	"1"	"133"	"86"	"79"	"16"	"308"	"7"	"17"	"27"	"14"	"8"	"10"	""	""	"705"	""
"6"	"2"	"59"	"16"	"18"	"9"	"240"	"14"	"10"	"11"	"1"	"5"	"10"	""	""	"393"	""
"7"	"3"	"61"	"23"	"142"	"13"	"277"	"7"	"3"	"21"	"5"	"2"	"6"	""	""	"560"	""
"8"	"4"	"42"	"26"	"10"	"2"	"327"	"15"	"19"	"19"	"3"	"6"	"23"	""	""	"492"	""
"9"	"5"	"9"	"10"	"28"	"3"	"215"	"4"	"5"	"8"	"2"	"2"	"7"	""	""	"293"	""
"10"	"6"	"53"	"12"	"196"	"4"	"361"	"9"	"8"	"21"	"5"	"6"	"6"	""	""	"681"	""
"11"	"7"	"28"	"5"	"69"	"6"	"200"	"7"	"12"	"13"	"2"	"3"	"26"	""	""	"371"	""
"12"	"8"	"92"	"13"	"201"	"2"	"14"	"1"	"0"	"0"	"2"	"0"	"1"	""	""	"326"	""
"13"	"9"	"99"	"5"	"240"	"9"	"14"	"0"	"3"	"4"	"2"	"1"	"8"	""	""	"385"	""
"14"	"10"	"53"	"5"	"770"	"16"	"22"	"1"	"3"	"0"	"4"	"1"	"7"	""	""	"882"	""
"15"	"11"	"103"	"3"	"633"	"7"	"18"	"0"	"2"	"1"	"0"	"3"	"6"	""	""	"776"	""
"16"	"12"	"167"	"12"	"162"	"3"	"9"	"1"	"0"	"1"	"2"	"0"	"1"	""	""	"358"	""
"17"	"13"	"97"	"2"	"580"	"1"	"32"	"1"	"1"	"0"	"1"	"0"	"0"	""	""	"715"	""
"18"	"14"	"31"	"0"	"768"	"2"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	""	""	"806"	""
"19"	"15"	"50"	"10"	"319"	"22"	"47"	"12"	"5"	"5"	"16"	"3"	"52"	""	""	"541"	""
"20"	"16"	"471"	"27"	"57"	"1"	"164"	"4"	"17"	"8"	"4"	"1"	"12"	""	""	"766"	""
"21"	"17"	"388"	"46"	"14"	"2"	"15"	"1"	"2"	"2"	"0"	"0"	"1"	""	""	"471"	""
"22"	"18"	"651"	"48"	"14"	"2"	"164"	"3"	"0"	"2"	"1"	"0"	"2"	""	""	"887"	""
"23"	"19"	"539"	"3"	"21"	"2"	"120"	"0"	"0"	"2"	"1"	"0"	"1"	""	""	"689"	""
"24"	"20"	"594"	"8"	"10"	"1"	"12"	"0"	"0"	"0"	"1"	"2"	"3"	""	""	"631"	""
"25"	"21"	"81"	"48"	"32"	"7"	"475"	"21"	"23"	"35"	"12"	"6"	"26"	""	""	"766"	""
"26"	"22"	"8"	"6"	"7"	"1"	"1092"	"4"	"4"	"33"	"0"	"1"	"4"	""	""	"1160"	""
"27"	"23"	"12"	"3"	"867"	"2"	"0"	"1"	"0"	"1"	"14"	"0"	"3"	""	""	"903"	""
"28"	"24"	"8"	"2"	"794"	"1"	"3"	"0"	"0"	"0"	"2"	"0"	"0"	""	""	"810"	""
"29"	"C F"	"3829"	"419"	"6031"	"134"	"4133"	"113"	"134"	"215"	"94"	"50"	"215"	""	""	"15367"	""
"30"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"No. of Polling Station"	"KUMAR SHARM A"	"KANCHA N SINGH"	"KUMAR ALIAS BULO MANDAL"	"MADHUK AR YADAV"	"SHAILESH PRASAD SINGH"	"AJAY KUMAR DAS"	"MAHENDR A SINGH"	"RAJENDR A MANDAL"	"VIJAY KUMA R"	"HWARI PD. SINGH"	"H PANDI T"	"No. of valid votes"	"No. of rejected botes"	"Total"	"No. of tendered votes"
"32"	"B F"	"3829"	"419"	"6031"	"134"	"4133"	"113"	"134"	"215"	"94"	"50"	"215"	""	""	"15367"	""
"33"	"25"	"10"	"0"	"527"	"3"	"6"	"1"	"0"	"0"	"0"	"2"	"0"	""	""	"549"	""
"34"	"26"	"12"	"3"	"502"	"3"	"4"	"0"	"0"	"1"	"2"	"0"	"1"	""	""	"528"	""
"35"	"27"	"279"	"36"	"152"	"14"	"148"	"6"	"4"	"24"	"7"	"3"	"7"	""	""	"680"	""
"36"	"28"	"190"	"11"	"133"	"12"	"187"	"5"	"4"	"13"	"7"	"8"	"19"	""	""	"589"	""
"37"	"29"	"252"	"10"	"28"	"3"	"186"	"7"	"0"	"5"	"2"	"0"	"8"	""	""	"501"	""
"38"	"30"	"109"	"21"	"379"	"11"	"104"	"3"	"9"	"9"	"7"	"1"	"18"	""	""	"671"	""
"39"	"31"	"175"	"14"	"160"	"15"	"237"	"10"	"11"	"19"	"11"	"10"	"43"	""	""	"705"	""
"40"	"32"	"141"	"9"	"270"	"6"	"64"	"4"	"2"	"3"	"5"	"1"	"10"	""	""	"515"	""
"41"	"33"	"156"	"8"	"304"	"8"	"137"	"3"	"2"	"5"	"2"	"3"	"16"	""	""	"644"	""
"42"	"34"	"32"	"0"	"44"	"0"	"215"	"1"	"0"	"1"	"0"	"0"	"0"	""	""	"293"	""
"43"	"35"	"277"	"3"	"23"	"2"	"40"	"1"	"0"	"3"	"2"	"2"	"6"	""	""	"359"	""
"44"	"36"	"204"	"30"	"98"	"11"	"136"	"12"	"5"	"15"	"2"	"0"	"2"	""	""	"515"	""
"45"	"37"	"96"	"156"	"178"	"10"	"16"	"2"	"2"	"4"	"2"	"1"	"3"	""	""	"470"	""
"46"	"38"	"125"	"258"	"81"	"2"	"10"	"1"	"1"	"1"	"2"	"4"	"7"	""	""	"492"	""
"47"	"39"	"350"	"38"	"79"	"7"	"12"	"2"	"8"	"6"	"4"	"6"	"14"	""	""	"526"	""
"48"	"40"	"38"	"4"	"368"	"18"	"68"	"4"	"2"	"0"	"5"	"1"	"24"	""	""	"532"	""
"49"	"41"	"24"	"8"	"436"	"6"	"45"	"1"	"0"	"2"	"0"	"2"	"4"	""	""	"528"	""
"50"	"42"	"22"	"26"	"215"	"10"	"37"	"3"	"0"	"4"	"5"	"5"	"11"	""	""	"338"	""
"51"	"43"	"0"	"1"	"272"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"275"	""
"52"	"44"	"3"	"2"	"656"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	""	""	"666"	""
"53"	"45"	"2"	"2"	"831"	"7"	"8"	"0"	"0"	"1"	"0"	"0"	"0"	""	""	"851"	""
"54"	"46"	"6"	"1"	"549"	"3"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	""	""	"564"	""
"55"	"47"	"8"	"3"	"679"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	""	""	"696"	""
"56"	"48"	"4"	"21"	"674"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	""	""	"702"	""
"57"	"C. F"	"6344"	"1084"	"13669"	"291"	"5801"	"182"	"185"	"333"	"160"	"99"	"408"	""	""	"28556"	""
"58"	"No. of valid votes      cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"Serial"	"ASHOK"	"KANCHA"	"SHALAISH"	"MADHUK"	"SHAILESH"	"AJAY"	"MAHENDR"	"RAJENDR"	"VIJAY"	"BINDES"	"SURES"	"Total"	"No. of"	"Total"	"No. of"
"60"	"No. of"	"KUMAR"	""	"KUMAR"	""	""	""	""	""	""	"HWARI"	"H"	"No. of"	""	""	""
"61"	"Polling"	"SHARM"	""	"ALIAS BULO"	"AR"	"PRASAD"	"KUMAR"	""	"A"	"KUMA"	"PD."	"PANDI"	"valid"	"rejected"	""	"tendered"
"62"	"Station"	"A"	"N SINGH"	"MANDAL"	"YADAV"	"SINGH"	"DAS"	"A SINGH"	"MANDAL"	"R"	"SINGH"	"T"	"votes"	"botes"	""	"votes"
"63"	"B F"	"6344"	"1084"	"13669"	"291"	"5801"	"182"	"185"	"333"	"160"	"99"	"408"	""	""	"28556"	""
"64"	"49"	"4"	"8"	"982"	"4"	"3"	"1"	"0"	"6"	"1"	"1"	"1"	""	""	"1011"	""
"65"	"50"	"3"	"3"	"508"	"3"	"4"	"0"	"0"	"2"	"1"	"0"	"1"	""	""	"525"	""
"66"	"51"	"672"	"4"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"680"	""
"67"	"52"	"893"	"14"	"8"	"0"	"100"	"2"	"1"	"2"	"1"	"2"	"3"	""	""	"1026"	""
"68"	"53"	"791"	"12"	"10"	"6"	"96"	"4"	"1"	"7"	"2"	"1"	"4"	""	""	"934"	""
"69"	"54"	"916"	"4"	"3"	"1"	"2"	"0"	"0"	"1"	"2"	"0"	"5"	""	""	"934"	""
"70"	"55"	"449"	"234"	"45"	"5"	"20"	"1"	"1"	"6"	"3"	"7"	"21"	""	""	"792"	""
"71"	"56"	"14"	"124"	"92"	"4"	"19"	"5"	"5"	"8"	"4"	"6"	"20"	""	""	"301"	""
"72"	"57"	"12"	"3"	"75"	"4"	"470"	"0"	"0"	"0"	"1"	"0"	"2"	""	""	"567"	""
"73"	"58"	"4"	"109"	"4"	"1"	"30"	"0"	"0"	"3"	"1"	"2"	"6"	""	""	"160"	""
"74"	"59"	"7"	"1044"	"16"	"2"	"37"	"2"	"0"	"1"	"2"	"1"	"0"	""	""	"1112"	""
