"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"Annexure.XLI..CHAPTER.XIV.PARA.26.9."	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"5"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"6"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"7"	"R
o u n d
1"	"1"	"94"	"9"	"46"	"3"	"281"	"38"	"196"	"3"	"0"	"2"	"0"	"5"	"0"	""	"4"	"2"	"6"	""	"-689"	""	"0"	""	"-689"	""	"0"
"8"	""	"2"	"200"	"2"	"123"	"13"	"37"	"102"	"5"	"0"	"9"	"3"	"2"	"1"	"2"	""	"5"	"3"	"6"	""	"-513"	""	"0"	""	"-513"	""	"0"
"9"	""	"3"	"368"	"7"	"30"	"1"	"12"	"26"	"1"	"1"	"6"	"0"	"0"	"1"	"7"	""	"1"	"1"	"4"	""	"-466"	""	"0"	""	"-466"	""	"0"
"10"	""	"4"	"94"	"3"	"104"	"4"	"65"	"51"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	""	"2"	"0"	"1"	""	"-326"	""	"0"	""	"-326"	""	"0"
"11"	""	"5"	"160"	"21"	"102"	"106"	"44"	"26"	"175"	"2"	"7"	"1"	"1"	"3"	"8"	""	"9"	"9"	"20"	""	"-694"	""	"0"	""	"-694"	""	"0"
"12"	""	"6"	"527"	"8"	"16"	"18"	"13"	"99"	"3"	"0"	"2"	"0"	"2"	"0"	"3"	""	"4"	"5"	"19"	""	"-719"	""	"0"	""	"-719"	""	"0"
"13"	""	"7"	"182"	"1"	"36"	"0"	"19"	"123"	"1"	"0"	"2"	"1"	"1"	"1"	"6"	""	"6"	"0"	"5"	""	"-384"	""	"0"	""	"-384"	""	"0"
"14"	""	"8"	"368"	"10"	"39"	"16"	"18"	"244"	"3"	"1"	"1"	"3"	"0"	"3"	"39"	""	"10"	"10"	"19"	""	"-784"	""	"0"	""	"-784"	""	"0"
"15"	""	"9"	"206"	"2"	"23"	"4"	"7"	"252"	"4"	"0"	"2"	"1"	"2"	"2"	"11"	""	"4"	"2"	"4"	""	"-526"	""	"0"	""	"-526"	""	"0"
"16"	""	"10"	"209"	"3"	"94"	"20"	"12"	"220"	"5"	"6"	"1"	"0"	"0"	"3"	"11"	""	"13"	"4"	"7"	""	"-608"	""	"0"	""	"-608"	""	"0"
"17"	""	"11"	"103"	"0"	"43"	"0"	"28"	"75"	"2"	"1"	"0"	"1"	"0"	"0"	"54"	""	"2"	"4"	"5"	""	"-318"	""	"0"	""	"-318"	""	"0"
"18"	""	"12"	"192"	"5"	"55"	"2"	"23"	"117"	"1"	"2"	"0"	"1"	"1"	"0"	"42"	""	"1"	"5"	"1"	""	"-448"	""	"0"	""	"-448"	""	"0"
"19"	""	"13"	"249"	"5"	"46"	"2"	"8"	"93"	"4"	"0"	"4"	"0"	"0"	"4"	"12"	""	"5"	"2"	"4"	""	"-438"	""	"0"	""	"-438"	""	"0"
"20"	""	"14"	"323"	"14"	"134"	"5"	"69"	"197"	"35"	"4"	"21"	"0"	"1"	"0"	"2"	""	"8"	"9"	"8"	""	"-830"	""	"0"	""	"-830"	""	"0"
"21"	"TOTAL"	""	"-3275"	"-90"	"-891"	"-194"	"-636"	"-1663"	"-436"	"-21"	"-55"	"-13"	"-10"	"-23"	"-197"	""	"-74"	"-56"	"-109"	""	"-7743"	""	"0"	""	"-7743"	""	"0"
"22"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"27"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"28"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"29"	"R
o u n d
2"	"15"	"232"	"2"	"38"	"11"	"55"	"166"	"3"	"3"	"3"	"0"	"5"	"3"	"5"	""	"2"	"7"	"6"	""	"-541"	""	"0"	""	"-541"	""	"0"
"30"	""	"16"	"106"	"2"	"20"	"6"	"135"	"124"	"5"	"1"	"0"	"0"	"1"	"0"	"1"	""	"0"	"1"	"0"	""	"-402"	""	"0"	""	"-402"	""	"0"
"31"	""	"17"	"177"	"7"	"33"	"14"	"43"	"251"	"6"	"4"	"10"	"4"	"1"	"3"	"6"	""	"7"	"5"	"8"	""	"-579"	""	"0"	""	"-579"	""	"0"
"32"	""	"18"	"294"	"10"	"49"	"9"	"79"	"162"	"5"	"7"	"2"	"2"	"1"	"3"	"11"	""	"5"	"4"	"11"	""	"-654"	""	"0"	""	"-654"	""	"0"
"33"	""	"19"	"274"	"10"	"62"	"9"	"55"	"228"	"10"	"1"	"2"	"8"	"3"	"2"	"9"	""	"4"	"4"	"5"	""	"-686"	""	"0"	""	"-686"	""	"0"
"34"	""	"20"	"102"	"11"	"43"	"19"	"133"	"107"	"2"	"2"	"7"	"1"	"3"	"7"	"0"	""	"2"	"8"	"9"	""	"-456"	""	"0"	""	"-456"	""	"0"
"35"	""	"21"	"84"	"9"	"56"	"29"	"270"	"32"	"1"	"0"	"3"	"0"	"0"	"10"	"1"	""	"6"	"1"	"7"	""	"-509"	""	"0"	""	"-509"	""	"0"
"36"	""	"22"	"217"	"19"	"46"	"20"	"32"	"162"	"7"	"16"	"4"	"5"	"3"	"27"	"13"	""	"8"	"9"	"13"	""	"-601"	""	"0"	""	"-601"	""	"0"
"37"	""	"23"	"241"	"7"	"27"	"29"	"17"	"155"	"6"	"4"	"1"	"2"	"1"	"19"	"9"	""	"0"	"6"	"2"	""	"-526"	""	"0"	""	"-526"	""	"0"
"38"	""	"24"	"187"	"15"	"67"	"67"	"203"	"194"	"2"	"5"	"18"	"0"	"2"	"5"	"11"	""	"3"	"6"	"5"	""	"-790"	""	"0"	""	"-790"	""	"0"
"39"	""	"25"	"43"	"1"	"3"	"34"	"17"	"373"	"98"	"9"	"11"	"3"	"2"	"4"	"4"	""	"11"	"2"	"1"	""	"-616"	""	"0"	""	"-616"	""	"0"
"40"	""	"26"	"125"	"2"	"2"	"0"	"1"	"262"	"70"	"0"	"0"	"1"	"0"	"0"	"0"	""	"2"	"2"	"2"	""	"-469"	""	"0"	""	"-469"	""	"0"
"41"	""	"27"	"42"	"3"	"15"	"82"	"2"	"134"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	""	"0"	"1"	"2"	""	"-295"	""	"0"	""	"-295"	""	"0"
"42"	""	"28"	"0"	"0"	"0"	"2"	"1"	"599"	"16"	"2"	"0"	"0"	"1"	"0"	"0"	""	"0"	"0"	"0"	""	"-621"	""	"0"	""	"-621"	""	"0"
"43"	"TOTAL"	""	"-2124"	"-98"	"-461"	"-331"	"-1043"	"-2949"	"-232"	"-67"	"-61"	"-26"	"-23"	"-83"	"-70"	""	"-50"	"-56"	"-71"	""	"-7745"	""	"0"	""	"-7745"	""	"0"
"44"	""	""	""	""	""	""	""	"Annexure XLI [CHAPTER XIV,PARA 26.9]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"45"	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 203-DUMRAON CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	""	"Total No. of Electors in Assembly Constituency  Name of the Assembly"	""	""	""	""	""	""	"214773
203 DUMRAON"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Rejec ted Votes"	""	"Total"	""	"No. of Tend ered Votes"
"49"	""	""	"Nagendra Nath Ojha"	"Basant Singh"	"Ram Bihari Singh"	"Shyam Lal Kushwa ha"	"Anuradh a Devi"	"Dadan Singh"	"Ram Sigasan Rai"	"Sidh Nath Singh"	"Sushila Devi"	"Suryje et Singh"	"Ajay Kumar Atal"	"Anil Kuma r Tiwari"	"Qazi Ashfaq ue Azam"	""	"Devesh Pratap Singh"	"Numan Ali"	"Sunil Singh"	""	""	""	""	""	""	""	""
"50"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	"14"	"15"	"16"	""	""	""	""	""	""	""	""
"51"	"R
o u n d
3"	"29"	"242"	"5"	"49"	"22"	"55"	"47"	"1"	"2"	"0"	"0"	"0"	"2"	"2"	""	"0"	"4"	"5"	""	"-436"	""	"0"	""	"-436"	""	"0"
"52"	""	"30"	"19"	"0"	"0"	"3"	"2"	"186"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	""	"0"	"1"	"0"	""	"-217"	""	"0"	""	"-217"	""	"0"
"53"	""	"31"	"58"	"0"	"27"	"11"	"445"	"40"	"12"	"0"	"2"	"2"	"0"	"0"	"1"	""	"1"	"0"	"2"	""	"-601"	""	"0"	""	"-601"	""	"0"
"54"	""	"32"	"24"	"0"	"15"	"5"	"207"	"81"	"3"	"2"	"8"	"0"	"0"	"1"	"1"	""	"0"	"1"	"2"	""	"-350"	""	"0"	""	"-350"	""	"0"
"55"	""	"33"	"101"	"1"	"3"	"63"	"39"	"160"	"16"	"9"	"4"	"0"	"1"	"0"	"0"	""	"1"	"2"	"6"	""	"-406"	""	"0"	""	"-406"	""	"0"
"56"	""	"34"	"371"	"4"	"3"	"14"	"4"	"97"	"4"	"1"	"7"	"1"	"0"	"1"	"0"	""	"0"	"7"	"12"	""	"-526"	""	"0"	""	"-526"	""	"0"
"57"	""	"35"	"341"	"11"	"2"	"69"	"23"	"290"	"5"	"7"	"6"	"5"	"2"	"2"	"1"	""	"2"	"7"	"11"	""	"-784"	""	"0"	""	"-784"	""	"0"
"58"	""	"36"	"18"	"1"	"58"	"1"	"6"	"119"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	""	"0"	"0"	"1"	""	"-207"	""	"0"	""	"-207"	""	"0"
"59"	""	"37"	"70"	"12"	"15"	"174"	"223"	"134"	"1"	"4"	"1"	"1"	"5"	"5"	"0"	""	"1"	"1"	"4"	""	"-651"	""	"0"	""	"-651"	""	"0"
"60"	""	"38"	"26"	"1"	"2"	"57"	"58"	"186"	"9"	"1"	"2"	"0"	"0"	"2"	"2"	""	"1"	"2"	"1"	""	"-350"	""	"0"	""	"-350"	""	"0"
"61"	""	"39"	"130"	"4"	"5"	"39"	"254"	"274"	"36"	"1"	"1"	"0"	"0"	"2"	"0"	""	"0"	"1"	"3"	""	"-750"	""	"0"	""	"-750"	""	"0"
