"X.See.Rule.56.C..2...C.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 29-SIWAN ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"To be used both for Parliamentary and Assembly Election) No.& Name of Assembly Constituency 29-Siwan"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No.of Electores in Assembly Constituency 194010                                                  Round No. 1"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"5"	"Booth No."	"AWADH BIHARI CHOUDHARY"	"RAJU KUMAR"	"VYASDEO PRASAD"	"ASGAR ALI"	"NAIMUDDIN ANSARI"	"ASHFAQUEUE AHMED"	"BABU LAL RAM"	"SHANKER MANJHI"	""	""	""	""
"6"	"1"	"365"	"50"	"55"	"53"	"9"	"3"	"11"	"20"	"566"	"0"	"566"	"0"
"7"	"2"	"150"	"19"	"177"	"5"	"7"	"4"	"2"	"7"	"371"	"0"	"371"	"0"
"8"	"3"	"93"	"11"	"182"	"64"	"32"	"13"	"15"	"47"	"457"	"0"	"457"	"0"
"9"	"4"	"235"	"19"	"173"	"19"	"3"	""	"3"	"9"	"461"	"0"	"461"	"0"
"10"	"5"	"192"	"9"	"117"	"91"	"6"	"6"	"4"	"13"	"438"	"0"	"438"	"0"
"11"	"6"	"146"	"19"	"138"	"15"	"7"	"7"	"3"	"10"	"345"	"0"	"345"	"0"
"12"	"7"	"132"	"24"	"96"	"98"	"6"	"7"	"15"	"10"	"388"	"0"	"388"	"0"
"13"	"8"	"279"	"15"	"118"	"36"	"3"	"1"	"3"	"5"	"460"	"0"	"460"	"0"
"14"	"9"	"161"	"15"	"135"	"10"	"1"	"4"	"2"	"20"	"348"	"0"	"348"	"0"
"15"	"10"	"311"	"24"	"104"	"43"	"17"	"2"	"11"	"26"	"538"	"0"	"538"	"0"
"16"	"11"	"314"	"24"	"191"	"18"	"12"	"5"	"8"	"26"	"598"	"0"	"598"	"0"
"17"	"12"	"248"	"27"	"90"	"177"	"24"	"9"	"31"	"24"	"630"	"0"	"630"	"0"
"18"	"13"	"67"	"9"	"63"	"73"	"2"	"1"	"4"	"1"	"220"	"0"	"220"	"0"
"19"	"14"	"201"	"28"	"80"	"91"	"15"	"6"	"7"	"7"	"435"	"0"	"435"	"0"
"20"	"Round
Total"	"2894"	"293"	"1719"	"793"	"144"	"68"	"119"	"225"	"6255"	"0"	"6255"	"0"
"21"	"Date :27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Time:10.00 A.M."	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""
