"Sl.No..of.Polling.Station"	"Name.of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.Valid.Votes"	"No..of.Tender.ed.Votes"
"1"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"3"	"1"	"izkFkfed fo|ky;] iqjudkek"	"9"	"133"	"191"	"10"	"2"	"2"	"35"	"2"	"9"	"3"	"5"	"2"	"403"	""
"4"	"2"	"izkFkfed fo|ky;] /keZiqj"	"18"	"11"	"270"	"17"	"4"	"6"	"75"	"13"	"6"	"10"	"6"	"15"	"451"	""
"5"	"3"	"izkFkfed fo|ky;] eUnuk"	"12"	"9"	"191"	"8"	"0"	"3"	"3"	"3"	"2"	"17"	"0"	"3"	"251"	""
"6"	"4"	"mPp fo|ky;] gfFk;k¡ok"	"2"	"7"	"516"	"9"	"1"	"3"	"0"	"2"	"1"	"5"	"1"	"3"	"550"	""
"7"	"5"	"e/; fo|ky;] gfFk;k¡ok"	"9"	"6"	"458"	"7"	"3"	"1"	"1"	"2"	"2"	"9"	"2"	"6"	"506"	""
"8"	"6"	"izkFkfed fo|ky; dkerk"	"7"	"3"	"452"	"7"	"2"	"0"	"1"	"2"	"0"	"4"	"1"	"4"	"483"	""
"9"	"7"	"izkFkfed fo|ky;] jlyiqj"	"5"	"5"	"343"	"7"	"2"	"1"	"5"	"0"	"1"	"7"	"6"	"8"	"390"	""
"10"	"8"	"iqLrdky; Hkou] fprkSjk"	"6"	"1"	"200"	"8"	"2"	"1"	"7"	"1"	"2"	"6"	"1"	"9"	"244"	""
"11"	"9"	"izkFkfed fo|ky;] eqckjdiqj"	"0"	"1"	"331"	"6"	"2"	"0"	"47"	"1"	"1"	"1"	"1"	"2"	"393"	""
"12"	"10"	"e/; fo|ky;] ,s>h"	"2"	"4"	"8"	"1"	"2"	"2"	"97"	"4"	"0"	"1"	"0"	"3"	"124"	""
"13"	"10 d"	"e/; fo|ky;] ,s>h"	"7"	"25"	"6"	"0"	"2"	"2"	"146"	"5"	"0"	"5"	"3"	"6"	"207"	""
"14"	"11"	"e/; fo|ky;] eqjkjiqj"	"0"	"6"	"6"	"5"	"8"	"4"	"465"	"14"	"1"	"11"	"4"	"5"	"529"	""
"15"	"Total No. of votes recorded at Polling Stations"	""	"77"	"211"	"2972"	"85"	"30"	"25"	"882"	"49"	"25"	"79"	"30"	"66"	"4531"	"0"
"16"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"19"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"20"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"21"	"12"	"iqLrdky; Hkou] eqjkjiqj"	"0"	"2"	"1"	"0"	"0"	"0"	"873"	"1"	"1"	"0"	"0"	"0"	"878"	""
"22"	"13"	"mPp fo|ky;] dVkjh ¼Ik0 Hkkx½"	"13"	"44"	"295"	"14"	"4"	"1"	"69"	"10"	"6"	"14"	"4"	"5"	"479"	""
"23"	"14"	"e/; fo|ky;] dVkjh"	"3"	"7"	"312"	"8"	"1"	"0"	"6"	"1"	"2"	"4"	"0"	"1"	"345"	""
"24"	"15"	"izkFkfed fo|ky; pkaM+s ¼iwohZ Hkkx½"	"0"	"2"	"529"	"1"	"0"	"1"	"30"	"6"	"0"	"1"	"0"	"1"	"571"	""
"25"	"16"	"izkFkfed fo|ky; pkaM+s ¼i0 Hkkx½"	"2"	"72"	"300"	"10"	"3"	"2"	"10"	"20"	"6"	"2"	"2"	"3"	"432"	""
"26"	"17"	"e/; fo|ky; vofxy"	"0"	"25"	"666"	"2"	"0"	"0"	"1"	"6"	"0"	"0"	"0"	"2"	"702"	""
"27"	"18"	"izkFkfed fo|ky; iqjSuk ¼iw0 Hkkx½"	"69"	"16"	"74"	"6"	"0"	"6"	"18"	"38"	"4"	"56"	"1"	"16"	"304"	""
"28"	"19"	"izkFkfed fo|ky; iqjSuk ¼i0 Hkkx½"	"5"	"3"	"41"	"5"	"1"	"5"	"42"	"40"	"6"	"60"	"6"	"22"	"236"	""
"29"	"20"	"izkFkfed fo|ky;] [kksjeiqj"	"0"	"4"	"35"	"4"	"0"	"1"	"8"	"282"	"2"	"18"	"2"	"4"	"360"	""
"30"	"21"	"mPp fo|ky;] ipuk"	"22"	"64"	"173"	"20"	"9"	"14"	"39"	"366"	"10"	"14"	"3"	"10"	"744"	""
"31"	"22"	"e/; fo|ky;] ipuk"	"9"	"19"	"353"	"7"	"2"	"0"	"1"	"115"	"2"	"5"	"2"	"7"	"522"	""
"32"	"23"	"izkFkfed fo|ky; o:bZ"	"0"	"0"	"18"	"0"	"0"	"0"	"10"	"874"	"2"	"0"	"0"	"1"	"905"	""
"33"	"Total No. of votes recorded at Polling Stations"	""	"123"	"258"	"2797"	"77"	"20"	"30"	"1107"	"1759"	"41"	"174"	"20"	"72"	"6478"	"0"
"34"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"37"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"38"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"39"	"24"	"izkFkfed fo|ky;] uhjiqj"	"0"	"0"	"53"	"1"	"0"	"0"	"7"	"58"	"1"	"104"	"0"	"2"	"226"	"0"
"40"	"25"	"e/; fo|ky;] dSFkok¡ ¼iw0 Hkkx½"	"2"	"6"	"410"	"4"	"0"	"0"	"2"	"0"	"1"	"3"	"3"	"3"	"434"	""
"41"	"26"	"e/; fo|ky;] dSFkok¡ ¼i0 Hkkx½"	"3"	"4"	"429"	"2"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"442"	""
"42"	"27"	"izkFkfed fo|ky;] ekuiqj"	"0"	"2"	"6"	"0"	"0"	"0"	"3"	"503"	"1"	"15"	"0"	"2"	"532"	""
"43"	"28"	"e/; fo|ky; ojek u;k Hkou"	"3"	"4"	"561"	"7"	"0"	"0"	"1"	"0"	"3"	"1"	"1"	"1"	"582"	""
"44"	"29"	"izkFkfed fo|ky; efu;aMk"	"58"	"7"	"123"	"8"	"2"	"3"	"43"	"18"	"6"	"66"	"8"	"9"	"351"	""
"45"	"30"	"izkFkfed fo|ky; iSxEcjiqj"	"0"	"1"	"20"	"1"	"1"	"0"	"0"	"5"	"2"	"279"	"1"	"2"	"312"	""
"46"	"31"	"mPp fo|ky; xxjh"	"13"	"22"	"122"	"4"	"8"	"6"	"195"	"21"	"6"	"77"	"5"	"39"	"518"	""
"47"	"32"	"izkFkfed fo|ky; glkSaM+h"	"3"	"7"	"409"	"2"	"4"	"3"	"14"	"2"	"3"	"42"	"5"	"16"	"510"	""
"48"	"33"	"izkFkfed fo|ky;] xqUgslk"	"2"	"10"	"367"	"3"	"0"	"3"	"6"	"5"	"0"	"71"	"0"	"6"	"473"	""
"49"	"34"	"izkFkfed fo|ky; fi.M"	"15"	"6"	"223"	"16"	"6"	"5"	"27"	"23"	"7"	"49"	"3"	"14"	"394"	""
"50"	"35"	"izkFkfed fo|ky; teqvkjk iFkjSVk"	"9"	"5"	"148"	"9"	"6"	"1"	"7"	"102"	"3"	"29"	"1"	"15"	"335"	""
"51"	"Total No. of votes recorded at Polling Stations"	""	"108"	"74"	"2871"	"57"	"29"	"21"	"305"	"737"	"33"	"737"	"27"	"110"	"5109"	"0"
"52"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"55"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"56"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"57"	"36"	"izkFkfed fo|ky; pf<+gkjh"	"2"	"0"	"99"	"3"	"1"	"0"	"5"	"236"	"0"	"4"	"0"	"3"	"353"	""
"58"	"37"	"fujh{k.k Hkou 'ks[kiqjk"	"12"	"118"	"252"	"7"	"3"	"4"	"7"	"49"	"3"	"21"	"2"	"9"	"487"	""
"59"	"38"	"izkFkfed fo|ky; dVuhdksy"	"3"	"2"	"113"	"1"	"1"	"2"	"1"	"163"	"0"	"20"	"3"	"17"	"326"	""
"60"	"39"	"izk0 fo0 fxjhfgUMk ¼m0 Hkkx½"	"14"	"81"	"109"	"6"	"3"	"0"	"10"	"48"	"6"	"78"	"2"	"8"	"365"	""
"61"	"40"	"izk0 fo0 fxjhfgUMk ¼n0 Hkkx½"	"26"	"70"	"273"	"10"	"2"	"3"	"7"	"65"	"5"	"100"	"6"	"10"	"577"	""
"62"	"41"	"izk0 fo0 bUnk; ¼m0 Hkkx½"	"9"	"4"	"93"	"8"	"3"	"3"	"24"	"16"	"5"	"160"	"5"	"21"	"351"	""
"63"	"41 d"	"izk0 fo0 bUnk; ¼n0 Hkkx½"	"6"	"12"	"53"	"2"	"3"	"1"	"6"	"29"	"3"	"245"	"6"	"17"	"383"	""
"64"	"42"	"izk0 fo0 ednqeiqj ¼iw0 Hkkx½"	"4"	"7"	"119"	"2"	"1"	"0"	"3"	"1"	"0"	"38"	"3"	"10"	"188"	""
"65"	"43"	"izk0 fo0 ednqeiqj ¼i0 Hkkx½"	"3"	"26"	"201"	"8"	"1"	"0"	"19"	"8"	"4"	"80"	"6"	"15"	"371"	""
"66"	"44"	"jftLVªh vkWfQl] 'ks[kiqjk ¼m0 Hkkx½"	"12"	"61"	"377"	"11"	"1"	"2"	"16"	"6"	"1"	"1"	"0"	"4"	"492"	""
"67"	"44 d"	"jftLVªh vkWfQl] 'ks[kiqjk ¼n0 Hkkx½"	"0"	"126"	"261"	"4"	"1"	"1"	"17"	"0"	"2"	"1"	"0"	"1"	"414"	""
"68"	"45"	"izkFkfed fo|ky; tekyiqj ¼iw0Hkkx½"	"12"	"142"	"244"	"16"	"1"	"1"	"24"	"2"	"6"	"4"	"1"	"0"	"453"	""
"69"	"Total No. of votes recorded at Polling Stations"	""	"103"	"649"	"2194"	"78"	"21"	"17"	"139"	"623"	"35"	"752"	"34"	"115"	"4760"	"0"
"70"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Voters cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tender ed Votes"
"73"	""	""	"Chamak Lal Sahni"	"Rinku Devi"	"Sunila Devi"	"Surendr a
Raum"	"Kaushl endra Kumar"	"Nageshwa r Pd.
Yadav"	"Randhir Kumar"	"Vijay Kumar Yadav"	"Shankar Prasad"	"Shamb hu Kumar"	"Shulek ha Devi"	"Sudama Prasad"	""	""
"74"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"75"	"46"	"izk0 fo0 tekyiqj ¼i0 Hkkx½"	"10"	"105"	"250"	"9"	"3"	"0"	"9"	"7"	"5"	"3"	"1"	"1"	"403"	""
"76"	"46 d"	"izk0 fo0 tekyiqj ¼pyUr ernku
dsUnz½"	"2"	"185"	"88"	"1"	"0"	"0"	"11"	"1"	"0"	"2"	"3"	"7"	"300"	""
"77"	"47"	"mnwZ iqLr0 Hk0 vfg;kiqj ¼m0 Hkkx½"	"9"	"28"	"157"	"12"	"2"	"0"	"5"	"46"	"5"	"23"	"1"	"5"	"293"	""
"78"	"48"	"mnwZ iqLr0 Hk0 vfg;kiqj ¼n0 Hkkx½"	"0"	"12"	"108"	"2"	"2"	"0"	"5"	"68"	"1"	"12"	"0"	"3"	"213"	""
"79"	"49"	"Mh0 ,e0 m0 fo0] 'ks[kiqjk
¼n0 Hkkx½"	"14"	"14"	"269"	"4"	"2"	"4"	"2"	"112"	"2"	"28"	"2"	"7"	"460"	""
"80"	"50"	"eqjkjdk m0 fo0] 'ks[kiqjk"	"21"	"38"	"441"	"7"	"6"	"4"	"20"	"15"	"2"	"87"	"2"	"20"	"663"	""
"81"	"51"	"ekM+okM+h /keZ'kkyk] 'ks[kiqjk"	"3"	"15"	"192"	"4"	"1"	"2"	"5"	"224"	"2"	"15"	"2"	"10"	"475"	""
"82"	"52"	"izkFkfed fo|ky;] deklh"	"11"	"16"	"76"	"6"	"5"	"9"	"297"	"56"	"4"	"82"	"2"	"21"	"585"	""
"83"	"53"	"enjlk cM+h njxkg ¼iw0 Hkkx½"	"5"	"67"	"285"	"8"	"1"	"2"	"18"	"23"	"4"	"11"	"0"	"5"	"429"	""
"84"	"54"	"enjlk cM+h njxkg ¼i0 Hkkx½"	"3"	"34"	"207"	"9"	"4"	"4"	"15"	"51"	"2"	"30"	"8"	"15"	"382"	""
"85"	"55"	"izk0 fo0 cM+h laxr njxkg ij"	"3"	"16"	"238"	"3"	"0"	"3"	"11"	"25"	"0"	"17"	"0"	"5"	"321"	""
"86"	"56"	"izkFkfed fo|ky; ,dlkjh"	"5"	"96"	"168"	"11"	"7"	"3"	"8"	"94"	"3"	"24"	"3"	"6"	"428"	""
"87"	"Total No. of votes recorded at Polling Stations"	""	"86"	"626"	"2479"	"76"	"33"	"31"	"406"	"722"	"30"	"334"	"24"	"105"	"4952"	"0"
"88"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
