"PS.NO"	"PREM.CHANDRA.BAITHA"	"RAMAI.RAM"	"SHIV.NATH.CHOUDHARY"	"AWDHESH.PASWAN"	"MANOJ.KUMAR.RAM"	"SHIV.NATH.PASWAN"	"ANJU.PRABHA"	"MANJEY.LAL.RAJAK"	"RAVI.SHANKAR.PASWAN"	"SAKHI.CHAN.PASWAN"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"1"	1	54	325	59	152	9	4	12	5	5	14	-639	""	""
"2"	2	26	294	79	20	4	3	8	1	2	3	-440	""	""
"3"	3	29	167	148	13	5	6	5	6	4	11	-394	""	""
"4"	4	24	150	124	162	13	11	18	7	8	15	-532	""	""
"5"	5	3	66	403	10	5	5	2	3	3	1	-501	""	""
"6"	6	58	103	129	15	3	0	1	5	4	8	-326	""	""
"7"	7	27	172	187	35	13	3	6	19	10	22	-494	""	""
"8"	8	9	110	238	123	29	7	18	25	13	26	-598	""	""
"9"	9	32	242	102	37	13	7	9	15	26	42	-525	""	""
"10"	10	23	162	321	64	9	8	16	23	9	3	-638	""	""
"11"	11	23	259	204	221	10	13	10	18	9	13	-780	""	""
"12"	12	23	362	129	121	12	8	16	14	6	16	-707	""	""
"13"	13	12	159	200	38	9	4	5	10	8	13	-458	""	""
"14"	14	34	200	187	106	5	4	21	10	11	20	-598	""	""
"15"	15	16	125	351	37	16	3	30	12	13	4	-607	""	""
"16"	16	32	203	359	30	29	6	30	13	6	7	-715	""	""
"17"	17	11	206	108	16	31	5	11	7	7	5	-407	""	""
"18"	18	10	163	290	90	4	8	14	15	20	34	-648	""	""
"19"	19	3	94	366	9	0	1	0	4	3	5	-485	""	""
"20"	20	3	249	160	14	3	1	2	4	3	4	-443	""	""
"21"	21	4	80	206	24	1	11	1	4	1	4	-336	""	""
"22"	22	9	525	95	48	3	0	4	4	2	10	-700	""	""
"23"	23	7	203	602	11	2	0	1	5	3	13	-847	""	""
"24"	24	2	133	292	9	1	2	2	2	1	0	-444	""	""
"25"	25	3	187	381	22	1	1	4	4	1	1	-605	""	""
"26"	26	18	223	248	49	8	9	10	9	7	17	-598	""	""
"27"	27	11	123	303	111	6	7	7	12	3	12	-595	""	""
"28"	28	12	534	36	71	8	11	3	2	1	8	-686	""	""
"29"	29	29	205	75	90	10	3	3	4	10	7	-436	""	""
"30"	30	17	188	103	41	12	3	6	15	7	16	-408	""	""
"31"	31	28	312	67	98	11	6	9	3	5	8	-547	""	""
"32"	32	7	237	28	16	1	3	1	2	1	3	-299	""	""
"33"	33	16	363	59	9	20	3	5	5	13	17	-510	""	""
"34"	34	9	203	113	14	85	10	8	16	2	18	-478	""	""
"35"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"36"	35	14	538	149	6	2	0	2	3	5	3	-722	""	""
"37"	36	19	221	84	178	7	4	10	11	6	8	-548	""	""
"38"	37	14	232	219	7	9	2	3	10	8	8	-512	""	""
"39"	38	5	50	241	4	16	2	2	6	4	2	-332	""	""
"40"	39	24	357	211	24	11	4	9	10	16	12	-678	""	""
"41"	40	9	224	206	13	3	2	5	3	6	10	-481	""	""
"42"	41	23	157	163	13	5	5	4	14	12	31	-427	""	""
"43"	42	28	228	205	25	4	4	3	11	11	6	-525	""	""
"44"	43	35	217	173	58	8	4	10	11	13	8	-537	""	""
"45"	44	37	201	208	60	4	2	6	17	20	13	-568	""	""
"46"	45	23	410	167	4	3	8	7	14	7	14	-657	""	""
"47"	46	10	183	233	11	0	2	6	12	10	18	-485	""	""
"48"	47	10	218	148	10	3	4	5	9	12	13	-432	""	""
"49"	48	16	194	417	29	2	2	4	8	2	7	-681	""	""
