"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"3"	"1"	"181"	"121"	"5"	"89"	"11"	"11"	"13"	"20"	"10"	"461"	""	"461"	""
"4"	"2"	"54"	"123"	"7"	"129"	"8"	"12"	"5"	"24"	"3"	"365"	""	"365"	""
"5"	"3"	"95"	"139"	"12"	"58"	"27"	"12"	"11"	"63"	"44"	"461"	""	"461"	""
"6"	"4"	"228"	"167"	"8"	"66"	"7"	"11"	"8"	"24"	"13"	"532"	""	"532"	""
"7"	"5"	"214"	"163"	"11"	"15"	"1"	"4"	"3"	"43"	"3"	"457"	""	"457"	""
"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"9"	"7"	"61"	"198"	"14"	"15"	"13"	"10"	"2"	"2"	"6"	"321"	""	"321"	""
"10"	"8"	"202"	"50"	"13"	"142"	"16"	"4"	"11"	"2"	"7"	"447"	""	"447"	""
"11"	"9"	"127"	"275"	"9"	"15"	"4"	"1"	"1"	"0"	"8"	"440"	""	"440"	""
"12"	"10"	"158"	"398"	"29"	"23"	"8"	"12"	"15"	"29"	"41"	"713"	""	"713"	""
"13"	"11"	"96"	"40"	"2"	"9"	"6"	"0"	"1"	"1"	"2"	"157"	""	"157"	""
"14"	"12"	"57"	"221"	"10"	"223"	"21"	"22"	"7"	"13"	"32"	"606"	""	"606"	""
"15"	"13"	"27"	"217"	"10"	"42"	"3"	"3"	"3"	"5"	"5"	"315"	""	"315"	""
"16"	"14"	"70"	"225"	"12"	"64"	"8"	"9"	"17"	"38"	"31"	"474"	""	"474"	""
"17"	"Total Round 1"	"1570"	"2337"	"142"	"890"	"133"	"111"	"97"	"264"	"205"	"5749"	"0"	"5749"	"0"
"18"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"19"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"20"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"21"	"15"	"79"	"121"	"22"	"102"	"13"	"17"	"11"	"41"	"15"	"421"	""	"421"	""
"22"	"16"	"191"	"66"	"10"	"92"	"7"	"13"	"13"	"4"	"7"	"403"	""	"403"	""
"23"	"17"	"132"	"157"	"29"	"32"	"19"	"97"	"14"	"64"	"8"	"552"	""	"552"	""
"24"	"18"	"47"	"149"	"9"	"147"	"9"	"46"	"6"	"2"	"4"	"419"	""	"419"	""
"25"	"19"	"107"	"240"	"7"	"13"	"7"	"53"	"6"	"15"	"12"	"460"	""	"460"	""
"26"	"20"	"343"	"35"	"6"	"9"	"3"	"1"	"1"	"5"	"9"	"412"	""	"412"	""
"27"	"21"	"15"	"519"	"3"	"9"	"9"	"9"	"1"	"2"	"1"	"568"	""	"568"	""
"28"	"22"	"36"	"486"	"8"	"9"	"3"	"2"	"3"	"2"	"8"	"557"	""	"557"	""
"29"	"23"	"264"	"110"	"17"	"8"	"4"	"3"	"7"	"30"	"28"	"471"	""	"471"	""
"30"	"24"	"116"	"254"	"8"	"70"	"15"	"5"	"9"	"7"	"16"	"500"	""	"500"	""
"31"	"25"	"66"	"157"	"9"	"41"	"20"	"10"	"11"	"46"	"40"	"400"	""	"400"	""
"32"	"26"	"94"	"15"	"18"	"98"	"20"	"15"	"3"	"4"	"20"	"287"	""	"287"	""
"33"	"27"	"124"	"307"	"1"	"9"	"1"	"3"	"2"	"1"	"9"	"457"	""	"457"	""
"34"	"28"	"291"	"89"	"8"	"56"	"24"	"3"	"3"	"7"	"13"	"494"	""	"494"	""
"35"	"Total Round 2"	"1905"	"2705"	"155"	"695"	"154"	"277"	"90"	"230"	"190"	"6401"	"0"	"6401"	"0"
"36"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"37"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"38"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"39"	"29"	"90"	"184"	"14"	"30"	"6"	"7"	"8"	"21"	"23"	"383"	""	"383"	""
"40"	"30"	"150"	"102"	"11"	"27"	"21"	"10"	"7"	"3"	"10"	"341"	""	"341"	""
"41"	"31"	"129"	"378"	"17"	"23"	"13"	"4"	"5"	"10"	"6"	"585"	""	"585"	""
"42"	"32"	"138"	"119"	"0"	"8"	"8"	"2"	"1"	"14"	"7"	"297"	""	"297"	""
"43"	"33"	"92"	"275"	"13"	"9"	"28"	"3"	"1"	"14"	"8"	"443"	""	"443"	""
"44"	"34"	"147"	"189"	"10"	"26"	"12"	"6"	"8"	"15"	"15"	"428"	""	"428"	""
"45"	"35"	"67"	"381"	"7"	"50"	"4"	"2"	"0"	"2"	"1"	"514"	""	"514"	""
"46"	"36"	"35"	"347"	"1"	"8"	"0"	"2"	"0"	"1"	"7"	"401"	""	"401"	""
"47"	"37"	"48"	"230"	"22"	"18"	"3"	"6"	"2"	"9"	"14"	"352"	""	"352"	""
"48"	"38"	"48"	"203"	"14"	"7"	"7"	"2"	"10"	"32"	"14"	"337"	""	"337"	""
"49"	"39"	"149"	"204"	"60"	"84"	"9"	"6"	"8"	"11"	"26"	"557"	""	"557"	""
"50"	"40"	"275"	"155"	"2"	"20"	"7"	"8"	"10"	"27"	"20"	"524"	""	"524"	""
"51"	"41"	"63"	"225"	"11"	"113"	"11"	"18"	"13"	"16"	"39"	"509"	""	"509"	""
"52"	"42"	"218"	"156"	"11"	"11"	"3"	"6"	"8"	"7"	"33"	"453"	""	"453"	""
"53"	"Total Round 3"	"1649"	"3148"	"193"	"434"	"132"	"82"	"81"	"182"	"223"	"6124"	"0"	"6124"	"0"
"54"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	"JAGDISH NA. CHAUDHARY"	"NITISH MISHRA"	"RAM BILASH DHANGER"	"ANJAR AHMAD KHAN"	"ARVIND KUMAR LAL"	"VIJAY SHANKER JHA"	"ATIKUR RAHMAN"	"GHURAN MUKHIYA"	"NATHUNI YADAV"	""	""	""	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"57"	"43"	"24"	"221"	"1"	"16"	"5"	"11"	"0"	"2"	"3"	"283"	""	"283"	""
"58"	"44"	"21"	"349"	"5"	"4"	"1"	"1"	"0"	"0"	"0"	"381"	""	"381"	""
"59"	"45"	"103"	"189"	"5"	"19"	"7"	"6"	"5"	"14"	"5"	"353"	""	"353"	""
"60"	"46"	"28"	"104"	"5"	"0"	"2"	"0"	"0"	"7"	"6"	"152"	""	"152"	""
"61"	"47"	"91"	"352"	"4"	"11"	"5"	"9"	"3"	"15"	"8"	"498"	""	"498"	""
"62"	"48"	"109"	"352"	"14"	"9"	"20"	"8"	"2"	"4"	"5"	"523"	""	"523"	""
"63"	"49"	"101"	"145"	"8"	"119"	"7"	"1"	"5"	"15"	"9"	"410"	""	"410"	""
"64"	"50"	"154"	"163"	"12"	"59"	"24"	"14"	"9"	"25"	"9"	"469"	""	"469"	""
"65"	"51"	"119"	"285"	"17"	"28"	"11"	"9"	"8"	"26"	"11"	"514"	""	"514"	""
"66"	"52"	"155"	"101"	"14"	"101"	"7"	"7"	"5"	"7"	"6"	"403"	""	"403"	""
"67"	"53"	"153"	"228"	"11"	"196"	"19"	"12"	"24"	"9"	"18"	"670"	""	"670"	""
"68"	"54"	"108"	"297"	"14"	"53"	"9"	"7"	"8"	"8"	"14"	"518"	""	"518"	""
"69"	"55"	"61"	"331"	"8"	"14"	"7"	"8"	"2"	"10"	"11"	"452"	""	"452"	""
"70"	"56"	"77"	"347"	"11"	"31"	"4"	"3"	"4"	"10"	"11"	"498"	""	"498"	""
"71"	"Total Round 4"	"1304"	"3464"	"129"	"660"	"128"	"96"	"75"	"152"	"116"	"6124"	"0"	"6124"	"0"
"72"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
