"PS.NO"	"BILAT.PASWAN"	"LAXMI.CHANDRA.DEVI"	"DR..SHITAL.RAM"	"KAMAL.PASWAN"	"DEVAN.KUMAR"	"ASHOK.KR..PASWAN"	"KAILASH.PASWAN"	"DHARMENDRA.PASWAN"	"SURESH.VERMA"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"1"	1	163	10	102	119	10	6	10	4	14	-438	""	""
"2"	2	112	2	54	147	6	2	5	11	11	-350	""	""
"3"	3	91	3	263	88	4	4	6	6	5	-470	""	""
"4"	4	271	8	146	137	16	26	16	25	40	-685	""	""
"5"	5	303	4	77	99	3	8	8	25	12	-539	""	""
"6"	6	181	2	37	152	10	53	3	8	13	-459	""	""
"7"	7	199	11	127	240	10	28	17	31	41	-704	""	""
"8"	8	143	8	66	82	6	6	7	15	14	-347	""	""
"9"	9	181	13	96	112	6	9	11	13	25	-466	""	""
"10"	10	109	12	133	163	17	10	13	20	62	-539	""	""
"11"	11	243	36	69	35	5	3	2	4	9	-406	""	""
"12"	12	146	8	170	39	4	10	16	12	30	-435	""	""
"13"	13	178	38	165	248	13	22	6	24	11	-705	""	""
"14"	14	532	1	80	11	1	0	0	1	3	-629	""	""
"15"	15	148	15	285	75	5	17	9	11	33	-598	""	""
"16"	16	299	7	148	134	7	15	2	11	26	-649	""	""
"17"	17	107	4	78	97	8	8	8	15	149	-474	""	""
"18"	18	185	7	176	145	5	4	5	14	18	-559	""	""
"19"	19	128	3	60	49	4	1	3	6	4	-258	""	""
"20"	20	94	8	315	129	1	1	4	8	2	-562	""	""
"21"	21	350	4	164	42	3	2	10	2	5	-582	""	""
"22"	22	215	13	224	40	6	2	12	7	9	-528	""	""
"23"	23	48	11	180	86	7	4	3	9	7	-355	""	""
"24"	24	133	9	149	170	11	8	8	17	13	-518	""	""
"25"	25	44	10	477	14	3	0	4	0	4	-556	""	""
"26"	26	265	16	305	74	2	7	11	11	16	-707	""	""
"27"	27	302	18	99	66	2	1	4	8	10	-510	""	""
"28"	28	147	11	114	180	6	9	15	18	19	-519	""	""
"29"	29	289	15	223	101	7	7	6	12	19	-679	""	""
"30"	30	178	16	239	119	5	5	16	8	13	-599	""	""
"31"	31	319	13	157	221	11	10	10	17	24	-782	""	""
"32"	32	199	8	82	75	4	3	4	5	19	-399	""	""
"33"	33	104	17	245	95	8	8	17	15	21	-530	""	""
"34"	34	104	4	137	66	11	4	7	9	11	-353	""	""
"35"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"36"	35	182	8	14	23	2	1	3	3	5	-241	""	""
"37"	36	150	10	147	186	16	11	9	24	24	-577	""	""
"38"	37	367	14	256	102	8	10	18	8	15	-798	""	""
"39"	38	222	7	140	66	4	13	17	23	46	-538	""	""
"40"	39	245	19	214	120	14	2	13	23	17	-667	""	""
"41"	40	251	11	113	48	8	8	9	14	30	-492	""	""
"42"	41	265	10	115	18	12	1	14	6	12	-453	""	""
"43"	42	121	10	85	195	8	6	6	11	18	-460	""	""
"44"	43	310	21	115	108	11	9	26	11	41	-652	""	""
"45"	44	270	11	220	36	5	14	16	4	15	-591	""	""
"46"	45	310	12	206	142	9	6	11	15	20	-731	""	""
"47"	46	163	17	287	56	10	14	19	11	26	-603	""	""
"48"	47	268	5	26	12	0	4	7	6	25	-353	""	""
"49"	48	275	7	117	10	4	3	3	6	11	-436	""	""
"50"	49	238	7	43	28	4	5	4	6	8	-343	""	""
"51"	50	208	1	59	24	2	0	0	0	1	-295	""	""
"52"	51	218	4	23	38	1	6	6	3	2	-301	""	""
"53"	52	138	2	127	76	7	30	9	7	9	-405	""	""
"54"	53	48	5	459	94	4	10	1	6	3	-630	""	""
"55"	54	232	14	86	143	8	4	11	6	5	-509	""	""
"56"	55	149	18	213	162	10	8	9	12	9	-590	""	""
"57"	56	161	7	123	27	2	6	8	0	7	-341	""	""
"58"	57	187	11	425	15	11	5	12	2	13	-681	""	""
"59"	58	237	1	52	6	0	1	2	0	2	-301	""	""
"60"	59	131	10	147	25	3	3	6	5	11	-341	""	""
"61"	60	89	10	181	33	11	8	14	8	17	-371	""	""
"62"	61	420	1	77	6	1	1	2	0	3	-511	""	""
"63"	62	664	8	135	38	1	0	8	1	0	-855	""	""
"64"	63	262	14	69	317	14	2	7	16	16	-717	""	""
"65"	64	513	9	58	134	4	2	7	4	9	-740	""	""
"66"	65	329	7	197	17	1	4	5	9	15	-584	""	""
"67"	66	15	4	212	221	8	6	3	7	8	-484	""	""
"68"	67	161	1	71	143	7	3	4	6	4	-400	""	""
"69"	68	271	5	9	82	2	3	3	6	7	-388	""	""
"70"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"71"	69	115	5	30	254	19	16	7	5	14	-465	""	""
"72"	70	246	16	134	49	2	3	3	2	8	-463	""	""
"73"	71	150	17	123	191	11	10	11	10	28	-551	""	""
"74"	72	388	1	58	25	1	0	2	4	6	-485	""	""
"75"	73	43	2	125	127	9	6	4	12	7	-335	""	""
"76"	74	76	1	206	59	10	2	5	2	15	-376	""	""
"77"	75	166	6	251	126	13	4	21	22	17	-626	""	""
"78"	76	153	8	89	299	3	2	2	19	3	-578	""	""
"79"	77	388	7	153	93	4	2	8	5	16	-676	""	""
"80"	78	345	9	47	113	7	1	8	17	22	-569	""	""
"81"	79	365	9	34	106	7	6	8	4	8	-547	""	""
"82"	80	133	19	194	104	13	12	18	18	6	-517	""	""
"83"	81	81	9	73	247	8	6	3	11	7	-445	""	""
"84"	82	68	3	167	50	8	3	7	9	6	-321	""	""
"85"	83	156	9	278	204	13	6	34	38	47	-785	""	""
"86"	84	217	15	192	74	13	7	17	21	59	-615	""	""
"87"	85	187	3	300	38	4	1	10	5	18	-566	""	""
"88"	86	152	4	117	186	5	3	3	5	3	-478	""	""
"89"	87	208	11	94	21	3	2	2	2	3	-346	""	""
"90"	88	151	11	224	120	6	2	10	10	18	-552	""	""
"91"	89	40	6	265	98	6	3	2	4	26	-450	""	""
"92"	90	10	0	235	50	3	0	4	4	7	-313	""	""
"93"	91	340	7	190	40	1	2	8	5	8	-601	""	""
"94"	92	598	10	106	9	4	3	6	5	10	-751	""	""
"95"	93	417	3	64	19	2	0	3	2	1	-511	""	""
"96"	94	488	2	11	4	0	0	0	0	1	-506	""	""
"97"	95	20	3	217	72	2	2	1	5	3	-325	""	""
"98"	96	216	8	87	4	2	0	3	2	5	-327	""	""
"99"	97	348	18	219	65	9	5	10	11	7	-692	""	""
"100"	98	137	5	242	142	30	7	8	9	10	-590	""	""
"101"	99	388	2	5	11	1	1	2	1	3	-414	""	""
"102"	100	437	1	21	3	2	0	1	2	1	-468	""	""
"103"	101	97	5	102	119	2	3	6	11	5	-350	""	""
"104"	102	326	10	86	64	6	7	5	7	15	-526	""	""
"105"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"106"	103	93	7	178	6	1	1	2	2	9	-299	""	""
"107"	104	101	11	187	73	5	6	4	6	13	-406	""	""
"108"	105	61	5	227	74	1	0	9	3	5	-385	""	""
"109"	106	0	0	71	2	0	0	1	0	1	-75	""	""
"110"	107	132	22	309	68	8	3	3	11	15	-571	""	""
"111"	108	112	13	284	97	7	5	12	12	14	-556	""	""
"112"	109	157	5	62	16	4	3	4	6	7	-264	""	""
"113"	110	263	18	211	168	9	12	16	12	31	-740	""	""
"114"	111	17	4	166	121	4	2	4	2	13	-333	""	""
"115"	112	240	11	266	133	16	20	4	18	23	-731	""	""
"116"	113	25	4	149	196	4	5	3	13	16	-415	""	""
"117"	114	102	3	250	56	3	2	4	1	1	-422	""	""
"118"	115	191	9	237	120	8	5	7	11	21	-609	""	""
"119"	116	340	5	137	81	8	5	19	9	17	-621	""	""
"120"	117	262	6	78	212	21	16	9	17	45	-666	""	""
"121"	118	197	14	160	81	4	4	5	8	8	-481	""	""
"122"	119	98	16	133	163	10	6	9	10	16	-461	""	""
"123"	120	341	10	205	33	4	5	10	4	3	-615	""	""
"124"	121	387	18	90	52	4	4	19	10	21	-605	""	""
"125"	122	134	11	45	116	4	3	7	9	12	-341	""	""
"126"	123	46	16	239	142	6	7	10	22	14	-502	""	""
"127"	124	32	4	286	104	6	5	3	2	3	-445	""	""
"128"	125	1	0	120	91	5	5	0	5	5	-232	""	""
"129"	126	27	7	68	335	17	10	0	10	14	-488	""	""
"130"	127	154	10	144	134	4	7	8	21	16	-498	""	""
"131"	128	75	13	380	16	6	2	8	7	5	-512	""	""
"132"	129	114	7	138	219	12	6	6	13	19	-534	""	""
"133"	130	472	11	92	24	5	18	10	15	23	-670	""	""
"134"	131	279	13	132	32	3	5	5	7	12	-488	""	""
"135"	132	181	13	162	54	12	4	6	5	17	-454	""	""
"136"	133	217	12	137	116	8	9	21	24	26	-570	""	""
"137"	134	182	16	157	110	13	10	14	43	25	-570	""	""
"138"	135	45	11	291	34	5	10	10	7	22	-435	""	""
"139"	136	4	1	629	16	0	1	4	1	5	-661	""	""
"140"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"141"	137	129	9	127	64	6	2	17	16	10	-380	""	""
"142"	138	241	7	121	40	1	3	5	5	5	-428	""	""
"143"	139	73	3	316	75	7	4	7	20	21	-526	""	""
"144"	140	137	4	91	27	1	0	10	11	13	-294	""	""
"145"	141	194	13	155	102	9	6	15	11	27	-532	""	""
"146"	142	226	25	159	180	14	15	18	34	39	-710	""	""
"147"	143	210	15	122	87	9	4	8	11	22	-488	""	""
"148"	144	128	10	63	122	11	10	7	17	21	-389	""	""
"149"	145	96	5	91	124	9	4	3	13	11	-356	""	""
"150"	146	137	21	127	159	15	12	3	17	16	-507	""	""
"151"	147	234	3	52	14	3	2	10	6	24	-348	""	""
"152"	148	269	15	124	32	2	3	7	7	5	-464	""	""
"153"	149	253	4	7	6	1	3	2	2	5	-283	""	""
"154"	150	164	12	93	168	9	9	14	25	15	-509	""	""
"155"	151	119	12	157	93	5	4	9	6	18	-423	""	""
"156"	152	252	16	218	120	6	5	6	14	21	-658	""	""
"157"	153	178	4	90	67	6	3	3	2	5	-358	""	""
"158"	154	191	5	201	63	3	1	5	6	6	-481	""	""
"159"	155	204	10	188	64	6	5	5	15	14	-511	""	""
"160"	156	134	7	49	178	10	4	1	13	12	-408	""	""
"161"	157	183	15	125	162	8	4	6	15	37	-555	""	""
"162"	158	205	17	135	136	10	17	13	24	14	-571	""	""
"163"	159	418	11	191	54	2	3	9	9	24	-721	""	""
"164"	160	175	7	195	120	8	0	11	9	26	-551	""	""
"165"	161	23	18	250	41	4	1	6	11	20	-374	""	""
"166"	162	131	13	185	156	15	4	8	10	13	-535	""	""
"167"	163	246	19	85	149	6	2	10	18	15	-550	""	""
"168"	164	210	6	147	19	3	1	8	2	6	-402	""	""
"169"	165	551	18	61	100	9	1	13	11	14	-778	""	""
"170"	166	25	7	343	69	5	2	8	7	9	-475	""	""
"171"	167	663	11	189	60	3	1	3	3	8	-941	""	""
"172"	168	45	12	361	164	4	7	0	4	7	-604	""	""
"173"	169	163	13	404	97	18	6	18	17	32	-768	""	""
"174"	170	77	13	148	82	8	5	6	14	14	-367	""	""
"175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"176"	171	70	9	262	95	5	2	7	11	13	-474	""	""
"177"	172	38	10	65	230	15	4	9	30	9	-410	""	""
"178"	173	200	37	48	77	10	7	4	15	15	-413	""	""
"179"	174	100	11	135	214	18	14	9	21	19	-541	""	""
"180"	175	126	12	137	152	13	10	9	17	28	-504	""	""
"181"	176	53	6	156	140	8	5	10	10	9	-397	""	""
"182"	177	147	7	114	122	9	5	7	14	10	-435	""	""
"183"	178	5	6	336	26	3	0	3	1	5	-385	""	""
"184"	179	289	12	170	16	5	7	12	8	13	-532	""	""
"185"	180	178	12	260	37	10	4	16	13	16	-546	""	""
"186"	181	403	15	116	35	6	5	9	8	9	-606	""	""
"187"	182	78	4	694	26	5	2	3	3	10	-825	""	""
"188"	183	325	2	37	46	4	0	5	6	1	-426	""	""
"189"	184	208	7	100	232	35	14	22	48	51	-717	""	""
"190"	185	178	5	113	37	4	4	7	17	20	-385	""	""
"191"	186	108	6	251	39	6	5	9	7	10	-441	""	""
"192"	187	14	6	123	81	11	11	6	3	12	-267	""	""
"193"	188	193	8	75	68	6	6	13	13	27	-409	""	""
"194"	189	308	11	23	28	0	1	6	0	3	-380	""	""
"195"	190	440	1	32	9	1	1	1	1	4	-490	""	""
"196"	191	209	3	111	23	2	3	5	4	10	-370	""	""
"197"	192	14	1	187	39	1	1	3	10	3	-259	""	""
"198"	-96500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"199"	NA	NA	NA	NA	NA	NA	NA	NA	NA	96500	NA	""	""
"200"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	""	""
"201"	NA	NA	NA	NA	NA	NA	NA	NA	NA	96500	NA	""	""
"202"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
"203"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""
