"No..and.Name.of.Assembly.segment..........50..Mahua..SC."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Total no. of Electors in Assembly constituency/Segment :- 180647"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"3"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"4"	""	"BSP"	"RJD"	"JD(U)"	"KSVP"	"LJP"	"AD"	"SAP"	"IND"	""	""	""	""
"5"	""	"BALENDRA DAS"	"SHIV CHAND RAM"	"SURENDRA PASWAN SHASTRI"	"NANDESHWAR RAM"	"MEENA DEVI"	"LAXAMAN PASWAN"	"SATYA NARAYAN PASWAN"	"BESHESHWAR PASWAN"	""	""	""	""
"6"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"7"	"1"	"18"	"106"	"102"	"4"	"125"	"16"	"18"	"27"	"416"	"0"	"416"	"0"
"8"	"2"	"10"	"71"	"32"	"8"	"247"	"16"	"9"	"7"	"400"	"0"	"400"	"0"
"9"	"3"	"17"	"172"	"196"	"13"	"171"	"9"	"10"	"18"	"606"	"0"	"606"	"0"
"10"	"4"	"16"	"210"	"33"	"1"	"102"	"4"	"6"	"4"	"376"	"0"	"376"	"0"
"11"	"5"	"9"	"307"	"9"	"3"	"68"	"9"	"3"	"7"	"415"	"0"	"415"	"0"
"12"	"6"	"8"	"107"	"14"	"13"	"162"	"17"	"9"	"16"	"346"	"0"	"346"	"0"
"13"	"7"	"10"	"310"	"14"	"12"	"107"	"15"	"14"	"19"	"501"	"0"	"501"	"0"
"14"	"8"	"16"	"210"	"68"	"12"	"231"	"7"	"8"	"10"	"562"	"0"	"562"	"0"
"15"	"9"	"20"	"451"	"13"	"4"	"135"	"5"	"3"	"9"	"640"	"0"	"640"	"0"
