"ernku.dsUnz.dh.ÿå.laå"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"dqy.fof.kekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonŸk.erksa.dh.laå"
"1"	""	"pUnz'ks[kj tk;loky"	"jktoa'kh flag"	"jke izdk'k egrks"	"'kadj ;kno"	"Jh lR; ukjk;.k ilkn"	"iIiw"	"HkkbZ 'kelqnhu"	"egen   lyhe"	"lat; csljk"	"lR;ukjk;.k vxoky"	"lejsUnz dq.kky"	"vgen jtk"	"bZuk nsoh"	"xus'k 'kekZ"	"t;Ur dqekj nkl"	"tgwj vkye"	"ftrsUnz dqekj flag"	"i`Foh panz ;kno"	"izhfr >k"	"cz„ izdk'k"	"Hkwous'oj iwosZ"	"eukst ijk'kj"	"jktdqekj pkS/kjh"	"f'ko 'kadj ikloku"	"larks\"k dqå ;kno"	"lelwnhu"	"fgejkt flag"	""	""	""	""
"2"	"1"	"11"	"20"	"274"	"26"	"4"	"31"	"28"	"8"	"3"	"0"	"15"	"3"	"2"	"4"	"15"	"4"	"2"	"2"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"11"	"472"	"0"	"472"	""
"3"	"2"	"8"	"64"	"48"	"1"	"4"	"1"	"6"	"33"	"21"	"6"	"12"	"3"	"0"	"5"	"5"	"24"	"17"	"6"	"2"	"6"	"2"	"1"	"0"	"7"	"1"	"2"	"83"	"368"	""	"368"	""
"4"	"3"	"12"	"19"	"45"	"7"	"7"	"29"	"104"	"72"	"21"	"5"	"5"	"10"	"6"	"4"	"9"	"9"	"1"	"2"	"1"	"2"	"3"	"2"	"0"	"1"	"1"	"1"	"29"	"407"	""	"407"	""
"5"	"4"	"3"	"26"	"30"	"0"	"3"	"0"	"26"	"52"	"15"	"0"	"31"	"1"	"0"	"0"	"1"	"9"	"25"	"4"	"4"	"4"	"20"	"4"	"5"	"17"	"9"	"6"	"307"	"602"	""	"602"	""
"6"	"5"	"8"	"36"	"31"	"6"	"13"	"4"	"65"	"26"	"18"	"3"	"9"	"2"	"0"	"1"	"5"	"18"	"20"	"5"	"7"	"8"	"62"	"15"	"6"	"9"	"7"	"14"	"315"	"713"	""	"713"	""
"7"	"6"	"6"	"44"	"59"	"4"	"10"	"2"	"96"	"162"	"32"	"6"	"15"	"6"	"3"	"1"	"10"	"27"	"0"	"0"	"0"	"1"	"8"	"4"	"3"	"1"	"0"	"3"	"74"	"577"	""	"577"	""
"8"	"7"	"8"	"41"	"28"	"8"	"10"	"2"	"39"	"329"	"25"	"3"	"10"	"6"	"6"	"4"	"7"	"29"	"2"	"1"	"0"	"4"	"5"	"1"	"4"	"7"	"3"	"5"	"80"	"667"	""	"667"	""
"9"	"8"	"21"	"9"	"185"	"3"	"2"	"4"	"44"	"159"	"10"	"3"	"0"	"2"	"3"	"2"	"6"	"13"	"3"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"33"	"505"	""	"505"	""
"10"	"9"	"4"	"2"	"51"	"1"	"8"	"2"	"272"	"58"	"10"	"11"	"6"	"11"	"7"	"4"	"3"	"13"	"0"	"1"	"0"	"3"	"19"	"4"	"3"	"1"	"2"	"1"	"19"	"516"	""	"516"	""
