"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 164-CHAUTHAM ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used both for parliamentary and assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Elector in Assembly Constituency/Segment: 208323                                                                                                                           Round No.- 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of the Assembly/segment- 164-CHAUTHAM ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the Case of Election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"8"	""	"PANNALAL SINGH \"PATEL\""	"SHYAM SUNDAR MANDAL"	"SATYA NARAYAN SINGH"	"KUMOD JHA"	"BHARAT KUMAR YADAV"	"MAHENDRA PRASAD GUPTA"	"SUNITA SHARMA"	"SUBHAS CHANDRA"	"CHALITAR SADA"	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"10"	"1"	"60"	"13"	"318"	"10"	"146"	"13"	"12"	"12"	"20"	"604"	""	"604"	""
"11"	"2"	"10"	"2"	"57"	"12"	"433"	"15"	"160"	"0"	"2"	"691"	""	"691"	""
"12"	"3"	"15"	"0"	"19"	"4"	"427"	"6"	"6"	"1"	"3"	"481"	""	"481"	""
"13"	"4"	"25"	"65"	"131"	"14"	"102"	"23"	"224"	"11"	"24"	"619"	""	"619"	""
"14"	"5"	"10"	"7"	"104"	"11"	"88"	"7"	"93"	"8"	"24"	"352"	""	"352"	""
"15"	"6"	"14"	"7"	"218"	"9"	"72"	"19"	"281"	"9"	"17"	"646"	""	"646"	""
"16"	"7"	"4"	"0"	"46"	"3"	"352"	"3"	"0"	"2"	"16"	"426"	""	"426"	""
"17"	"8"	"47"	"10"	"171"	"13"	"152"	"25"	"147"	"9"	"20"	"594"	""	"594"	""
"18"	"9"	"70"	"12"	"177"	"7"	"59"	"15"	"107"	"8"	"24"	"479"	""	"479"	""
"19"	"10"	"14"	"8"	"402"	"10"	"177"	"10"	"29"	"4"	"9"	"663"	""	"663"	""
