"Total..No..of.Electors.in.Assembly.consitiuency...201806"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"Name of Assembly - 84-  MANIGACHHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(CHAPTER XIV, PARA 26 9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [ (SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"SL.
NO."	"No. of polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of. Tendered votes"
"7"	""	""	"Prabhakar Choudhary"	"Raghunath Mahto"	"Lalit Kumar Yadav"	"Upendra Paswan"	"Shamshad Khan"	"Jataria Saday"	"Naseem Ajam Siddque"	"Nirmala Devi"	"Md. Razi Alam"	"Rati Lal
Paswan"	"Raj Kumar Mandal"	"Laxman Mahto"	"Saroja Nand Choudhary"	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"9"	"1"	"1"	"140"	"4"	"228"	"13"	"59"	"5"	"4"	"8"	"30"	"8"	"5"	"11"	"25"	"540"	"0"	"540"	"0"
"10"	"2"	"2"	"268"	"8"	"190"	"9"	"27"	"8"	"6"	"6"	"32"	"3"	"11"	"20"	"19"	"607"	"0"	"607"	"0"
"11"	"3"	"3"	"312"	"15"	"237"	"9"	"23"	"2"	"2"	"8"	"9"	"2"	"4"	"17"	"19"	"659"	"0"	"659"	"0"
"12"	"4"	"4"	"137"	"6"	"182"	"10"	"98"	"7"	"0"	"10"	"14"	"2"	"13"	"18"	"42"	"539"	"0"	"539"	"0"
"13"	"5"	"5"	"332"	"13"	"372"	"15"	"34"	"2"	"0"	"5"	"10"	"0"	"8"	"10"	"10"	"811"	"0"	"811"	"0"
"14"	"6"	"6"	"246"	"4"	"320"	"17"	"18"	"6"	"4"	"10"	"107"	"6"	"30"	"51"	"41"	"860"	"0"	"860"	"0"
"15"	"7"	"7"	"45"	"1"	"28"	"0"	"4"	"2"	"3"	"7"	"192"	"4"	"1"	"21"	"3"	"311"	"0"	"311"	"0"
"16"	"8"	"8"	"121"	"11"	"139"	"10"	"46"	"5"	"4"	"15"	"37"	"4"	"3"	"18"	"16"	"429"	"0"	"429"	"0"
"17"	"9"	"9"	"31"	"2"	"181"	"4"	"13"	"3"	"8"	"12"	"465"	"5"	"7"	"33"	"12"	"776"	"0"	"776"	"0"
"18"	"10"	"10"	"19"	"2"	"113"	"2"	"13"	"3"	"1"	"9"	"374"	"4"	"2"	"26"	"10"	"578"	"0"	"578"	"0"
"19"	"11"	"11"	"170"	"9"	"152"	"5"	"22"	"0"	"1"	"3"	"197"	"5"	"4"	"32"	"4"	"604"	"0"	"604"	"0"
"20"	"12"	"12"	"241"	"10"	"180"	"5"	"13"	"7"	"7"	"16"	"154"	"5"	"6"	"22"	"17"	"683"	"0"	"683"	"0"
"21"	"13"	"13"	"122"	"6"	"214"	"9"	"73"	"3"	"5"	"10"	"22"	"5"	"14"	"24"	"23"	"530"	"0"	"530"	"0"
"22"	"14"	"14"	"117"	"2"	"115"	"9"	"63"	"0"	"4"	"4"	"59"	"7"	"7"	"17"	"14"	"418"	"0"	"418"	"0"
"23"	"15"	"15"	"77"	"8"	"172"	"11"	"152"	"9"	"7"	"17"	"50"	"5"	"18"	"29"	"23"	"578"	"0"	"578"	"0"
"24"	"16"	"16"	"19"	"10"	"99"	"6"	"130"	"6"	"1"	"11"	"39"	"1"	"8"	"15"	"15"	"360"	"0"	"360"	"0"
