"ASSEMBLY.ELECTION...2005"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"227-JEHANABAD ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"See rule 56 (7)"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Election to the Bihar Legislative Assembly from the 227 - Jehanabad Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No.of Tender Votes"
"9"	""	"Kalamuddin"	"Radha Mohan Sharma"	"Sachita Nand Yadav"	"kamlesh Sharma"	"Gopal Sharma"	"Awadh Yadav"	"Kusum Devi"	"Sohrao Sah"	""	""	""	""
"10"	"1"	"8"	"10"	"131"	"46"	"52"	"5"	"3"	"10"	"-265"	"0"	"-265"	"0"
"11"	"2"	"78"	"53"	"67"	"19"	"64"	"7"	"11"	"4"	"-303"	"0"	"-303"	"0"
"12"	"3"	"30"	"16"	"49"	"49"	"157"	"6"	"8"	"7"	"-322"	"0"	"-322"	"0"
"13"	"4"	"16"	"2"	"178"	"233"	"31"	"5"	"2"	"12"	"-479"	"0"	"-479"	"0"
"14"	"5"	"12"	"65"	"15"	"15"	"83"	"7"	"6"	"11"	"-214"	"0"	"-214"	"0"
"15"	"6"	"1"	"147"	"23"	"0"	"72"	"1"	"8"	"3"	"-255"	"0"	"-255"	"0"
"16"	"7"	"7"	"92"	"172"	"16"	"142"	"2"	"14"	"8"	"-453"	"0"	"-453"	"0"
"17"	"8"	"0"	"18"	"65"	"4"	"184"	"1"	"9"	"2"	"-283"	"0"	"-283"	"0"
"18"	"9"	"5"	"1"	"39"	"8"	"249"	"2"	"4"	"1"	"-309"	"0"	"-309"	"0"
"19"	"10"	"36"	"5"	"150"	"3"	"113"	"1"	"2"	"3"	"-313"	"0"	"-313"	"0"
"20"	"11"	"43"	"7"	"257"	"25"	"223"	"4"	"3"	"4"	"-566"	"0"	"-566"	"0"
"21"	"12"	"1"	"149"	"77"	"14"	"104"	"0"	"2"	"1"	"-348"	"0"	"-348"	"0"
"22"	"13"	"15"	"94"	"22"	"48"	"23"	"6"	"5"	"5"	"-218"	"0"	"-218"	"0"
"23"	"14"	"22"	"26"	"239"	"13"	"109"	"15"	"18"	"35"	"-477"	"0"	"-477"	"0"
