"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Table No."	"No. & Name of Polling Station"	"GAYA RAM"	"NAND KISHORE CHAUDHARY"	"RAJENDRA CHAUDHARY"	"BANWARI RAM"	"BHOLA MANJHI"	"NARESH RAM"	"PRAKASH VIR"	"BINOD CHAUDHARY"	"RAJESH KUMAR"	"RAMANAND CHAUDHARY"	"SHANTI DEVI"	"SURESH RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"11"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"12"	"1"	"1"	"14"	"108"	"64"	"84"	"7"	"1"	"3"	"8"	"1"	"25"	"3"	"14"	"332"	"0"	"332"	"0"
"13"	"2"	"2"	"19"	"138"	"15"	"303"	"16"	"7"	"20"	"8"	"5"	"3"	"3"	"10"	"547"	"0"	"547"	"0"
"14"	"3"	"3"	"10"	"166"	"5"	"103"	"2"	"1"	"13"	"0"	"2"	"4"	"0"	"2"	"308"	"0"	"308"	"0"
"15"	"4"	"4"	"11"	"108"	"6"	"43"	"1"	"1"	"14"	"2"	"2"	"2"	"3"	"1"	"194"	"0"	"194"	"0"
"16"	"5"	"5"	"13"	"67"	"7"	"159"	"9"	"2"	"7"	"4"	"5"	"1"	"6"	"10"	"290"	"0"	"290"	"0"
"17"	"6"	"6"	"48"	"185"	"152"	"74"	"13"	"5"	"13"	"8"	"12"	"12"	"5"	"18"	"545"	"0"	"545"	"0"
"18"	"7"	"7"	"1"	"34"	"10"	"350"	"6"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"405"	"0"	"405"	"0"
"19"	"8"	"8"	"3"	"7"	"4"	"363"	"3"	"3"	"5"	"0"	"1"	"0"	"0"	"1"	"390"	"0"	"390"	"0"
"20"	"9"	"9"	"76"	"50"	"14"	"149"	"8"	"7"	"36"	"14"	"14"	"39"	"15"	"53"	"475"	"0"	"475"	"0"
"21"	"10"	"10"	"8"	"147"	"9"	"162"	"5"	"2"	"12"	"1"	"3"	"1"	"0"	"5"	"355"	"0"	"355"	"0"
"22"	"11"	"11"	"5"	"99"	"10"	"144"	"2"	"1"	"11"	"3"	"2"	"5"	"2"	"9"	"293"	"0"	"293"	"0"
"23"	"12"	"12"	"27"	"170"	"3"	"171"	"4"	"1"	"11"	"1"	"1"	"4"	"1"	"8"	"402"	"0"	"402"	"0"
"24"	"13"	"13"	"16"	"79"	"8"	"39"	"1"	"7"	"5"	"2"	"7"	"15"	"3"	"11"	"193"	"0"	"193"	"0"
