"Total.number.of.valid.votes"	"KRISHNA.SINGH"	"MD..JAWAID"	"DEOKI.PRASAD.AGRAWAL"	"NAUSHAD.ALAM"	"AAMIR.TAIYAB.AHMAD"	"TARCHAND.DHANUKA"	"CHITRANJAN.SINGH"	"TASIRUDDIN"	"SHYAM.SUNDER.THAKUR"	"SIKANDAR.SINGH"	"Total.of.Valid.votes"	"Number.of.rejected.votes"	"TOTAL"	"No..of.tendered.votes"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"2"	1	24	44	16	232	11	202	2	8	6	18	563	0	563	0
"3"	2	33	75	15	211	6	50	0	6	2	3	401	0	401	0
"4"	3	12	62	37	57	10	128	8	9	13	114	450	0	450	0
"5"	4	11	96	5	118	7	144	9	4	9	24	427	0	427	0
"6"	5	22	37	4	129	1	12	6	2	4	6	223	0	223	0
"7"	6	11	105	3	167	3	81	6	15	4	10	405	0	405	0
"8"	7	15	102	18	254	10	32	3	3	5	16	458	0	458	0
"9"	8	17	24	6	239	3	36	4	5	2	10	346	0	346	0
"10"	9	49	127	23	203	11	231	5	4	7	21	681	0	681	0
"11"	10	25	25	11	243	16	172	7	14	6	18	537	0	537	0
"12"	11	30	12	9	176	11	223	13	8	4	21	507	0	507	0
"13"	12	91	64	51	268	10	77	9	23	4	32	629	0	629	0
"14"	13	15	17	29	202	6	198	7	7	7	29	517	0	517	0
"15"	14	36	14	2	346	12	86	9	2	3	21	531	0	531	0
"16"	NA	391	804	229	2845	117	1672	88	110	76	343	6675	0	6675	0
"17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"19"	NA	391	804	229	2845	117	1672	88	110	76	343	6675	0	6675	0
"20"	15	8	79	9	322	6	55	8	3	1	4	495	0	495	0
"21"	16	3	8	2	171	3	80	3	3	1	7	281	0	281	0
"22"	17	15	12	45	166	3	253	6	9	5	22	536	0	536	0
"23"	18	18	20	6	266	3	13	3	19	2	1	351	0	351	0
"24"	19	26	22	7	300	1	72	4	35	1	4	472	0	472	0
"25"	20	14	46	12	259	7	198	6	12	11	36	601	0	601	0
"26"	21	17	228	15	201	10	16	8	22	10	26	553	0	553	0
"27"	22	4	21	8	175	6	157	7	27	1	25	431	0	431	0
"28"	23	14	16	36	231	6	77	5	24	3	198	610	0	610	0
"29"	24	19	11	40	296	9	290	16	10	7	59	757	0	757	0
"30"	25	19	23	45	45	11	310	11	81	3	129	677	0	677	0
"31"	26	27	55	15	195	24	169	11	28	13	226	763	0	763	0
"32"	27	14	25	13	242	13	220	2	6	5	141	681	0	681	0
"33"	28	37	95	15	280	9	153	7	23	8	62	689	0	689	0
"34"	NA	626	1465	497	5994	228	3735	185	412	147	1283	14572	0	14572	0
"35"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"36"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"37"	NA	626	1465	497	5994	228	3735	185	412	147	1283	14572	0	14572	0
"38"	29	15	47	6	290	10	85	4	13	5	29	504	0	504	0
"39"	30	36	97	6	266	14	63	4	3	2	12	503	0	503	0
"40"	31	26	47	20	358	5	57	4	16	2	6	541	0	541	0
"41"	32	16	178	11	169	6	271	9	11	4	9	684	0	684	0
"42"	33	14	58	28	189	7	350	5	23	5	12	691	0	691	0
"43"	34	23	193	26	155	10	183	8	19	5	23	645	0	645	0
"44"	35	22	49	21	321	12	311	8	4	3	11	762	0	762	0
"45"	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"46"	37	26	103	12	376	10	71	8	9	4	3	622	0	622	0
"47"	38	22	33	5	369	11	174	4	5	6	11	640	0	640	0
"48"	39	8	4	36	47	5	291	3	1	3	16	414	0	414	0
"49"	40	43	4	14	259	5	169	5	2	2	7	510	0	510	0
"50"	41	6	10	5	281	8	73	3	3	1	9	399	0	399	0
"51"	42	14	8	11	364	12	287	9	4	8	15	732	0	732	0
"52"	NA	897	2296	698	9438	343	6120	259	525	197	1446	22219	0	22219	0
"53"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"54"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"55"	NA	897	2296	698	9438	343	6120	259	525	197	1446	22219	0	22219	0
"56"	43	1	0	0	549	2	6	2	1	0	0	561	0	561	0
"57"	44	15	2	12	569	21	156	21	7	7	33	843	0	843	0
"58"	45	25	21	13	360	12	32	11	9	5	13	501	0	501	0
"59"	46	118	106	12	377	16	97	18	22	7	21	794	0	794	0
"60"	47	50	3	6	119	8	180	6	3	5	16	396	0	396	0
"61"	48	11	18	4	196	3	117	2	1	1	8	361	0	361	0
"62"	49	7	9	13	331	5	60	7	4	5	9	450	0	450	0
"63"	50	7	8	7	415	10	125	11	4	3	15	605	0	605	0
"64"	51	91	15	25	94	5	185	5	7	4	85	516	0	516	0
"65"	52	46	8	13	585	11	141	18	12	3	13	850	0	850	0
"66"	53	19	15	5	429	5	24	7	15	6	21	546	0	546	0
"67"	54	26	56	21	274	18	317	12	13	9	41	787	0	787	0
"68"	55	43	48	20	493	23	207	11	10	6	70	931	0	931	0
"69"	56	43	167	10	306	12	122	14	7	12	19	712	0	712	0
"70"	NA	1399	2772	859	14535	494	7889	404	640	270	1810	31072	0	31072	0
"71"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"73"	NA	1399	2772	859	14535	494	7889	404	640	270	1810	31072	0	31072	0
"74"	57	33	56	18	595	22	69	17	16	5	16	847	0	847	0
"75"	58	39	20	14	264	14	55	5	5	0	3	419	0	419	0
"76"	59	29	28	61	431	18	91	9	4	7	12	690	0	690	0
"77"	60	9	44	6	243	8	98	5	3	5	0	421	0	421	0
"78"	61	20	29	31	183	17	333	9	9	4	46	681	0	681	0
"79"	62	10	28	11	256	11	178	7	1	4	10	516	0	516	0
"80"	63	13	383	25	29	1	14	1	17	2	11	496	0	496	0
"81"	64	27	63	16	194	14	201	8	11	5	19	558	0	558	0
"82"	65	26	86	13	328	11	215	10	12	12	19	732	0	732	0
"83"	66	39	32	58	361	12	215	6	6	6	25	760	0	760	0
"84"	67	16	13	11	358	13	231	12	9	7	10	680	0	680	0
"85"	68	33	36	23	299	20	177	13	106	13	59	779	0	779	0
"86"	69	55	153	217	20	4	185	8	5	3	52	702	0	702	0
"87"	70	34	9	50	344	20	103	12	34	13	103	722	0	722	0
"88"	NA	1782	3752	1413	18440	679	10054	526	878	356	2195	40075	0	40075	0
"89"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"90"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"91"	NA	1782	3752	1413	18440	679	10054	526	878	356	2195	40075	0	40075	0
"92"	71	120	18	336	46	8	71	5	2	5	46	657	0	657	0
"93"	72	74	94	148	33	4	260	9	7	10	46	685	0	685	0
"94"	73	51	164	28	271	14	178	8	27	4	10	755	0	755	0
"95"	74	44	24	62	79	8	195	2	2	0	23	439	0	439	0
"96"	75	6	8	22	0	3	54	1	2	1	18	115	0	115	0
"97"	76	51	154	16	182	7	79	1	5	1	3	499	0	499	0
"98"	77	15	85	41	109	8	149	3	12	6	68	496	0	496	0
"99"	78	22	36	21	250	18	212	9	102	15	89	774	0	774	0
"100"	79	22	30	27	538	12	84	5	19	7	21	765	0	765	0
"101"	80	24	103	37	266	50	27	2	11	4	4	528	0	528	0
"102"	81	18	66	28	465	9	29	2	10	1	2	630	0	630	0
"103"	82	41	84	65	333	15	74	7	42	5	16	682	0	682	0
"104"	83	13	13	41	136	9	98	7	4	5	110	436	0	436	0
"105"	84	89	14	75	37	6	252	3	8	5	179	668	0	668	0
"106"	NA	2372	4645	2360	21185	850	11816	590	1131	425	2830	48204	0	48204	0
"107"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"108"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"109"	NA	2372	4645	2360	21185	850	11816	590	1131	425	2830	48204	0	48204	0
"110"	85	44	9	33	64	5	134	8	4	1	194	496	0	496	0
"111"	86	19	94	7	162	4	51	3	5	3	15	363	0	363	0
"112"	87	31	46	26	315	23	242	14	21	28	58	804	0	804	0
"113"	88	21	36	23	315	14	159	6	24	14	37	649	0	649	0
"114"	89	16	82	18	285	11	75	5	28	12	72	604	0	604	0
"115"	90	16	157	35	256	6	30	8	69	2	23	602	0	602	0
"116"	91	19	74	25	11	1	114	5	20	24	218	511	0	511	0
"117"	92	74	17	11	99	8	217	7	15	12	102	562	0	562	0
"118"	93	36	10	25	6	4	123	11	24	39	492	770	0	770	0
"119"	94	117	44	51	73	7	47	3	9	30	378	759	0	759	0
"120"	95	68	9	45	5	3	96	14	3	13	289	545	0	545	0
