"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"5"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"6"	"1"	"5"	"92"	"4"	"49"	"9"	"0"	"2"	"3"	"2"	"0"	"7"	"1"	"6"	"1"	"1"	"3"	"135"	"4"	"2"	"8"	"3"	"337"
"7"	"2"	"47"	"55"	"2"	"76"	"15"	"2"	"3"	"3"	"1"	"0"	"3"	"1"	"1"	"2"	"1"	"3"	"151"	"21"	"0"	"2"	"2"	"391"
"8"	"3"	"10"	"91"	"14"	"60"	"4"	"1"	"4"	"0"	"5"	"1"	"7"	"2"	"2"	"17"	"1"	"2"	"201"	"7"	"1"	"0"	"1"	"431"
"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"10"	"5"	"30"	"7"	"8"	"107"	"23"	"11"	"5"	"17"	"123"	"5"	"118"	"16"	"13"	"28"	"9"	"41"	"7"	"0"	"2"	"9"	"5"	"584"
"11"	"6"	"12"	"431"	"7"	"33"	"20"	"4"	"3"	"1"	"10"	"1"	"50"	"3"	"2"	"0"	"14"	"3"	"2"	"0"	"1"	"4"	"0"	"601"
"12"	"7"	"22"	"188"	"53"	"56"	"22"	"1"	"4"	"12"	"4"	"0"	"41"	"1"	"1"	"1"	"1"	"2"	"28"	"3"	"3"	"2"	"2"	"447"
"13"	"8"	"26"	"41"	"10"	"208"	"11"	"6"	"3"	"10"	"10"	"6"	"75"	"15"	"9"	"22"	"0"	"2"	"55"	"8"	"3"	"5"	"5"	"530"
"14"	"9"	"34"	"108"	"2"	"12"	"24"	"6"	"6"	"16"	"48"	"9"	"102"	"7"	"5"	"4"	"4"	"11"	"131"	"12"	"19"	"9"	"5"	"574"
"15"	"10"	"17"	"12"	"2"	"26"	"4"	"5"	"2"	"15"	"15"	"4"	"290"	"5"	"2"	"0"	"1"	"9"	"36"	"0"	"1"	"7"	"1"	"454"
"16"	"11"	"38"	"178"	"0"	"8"	"8"	"3"	"1"	"3"	"2"	"6"	"52"	"4"	"4"	"3"	"0"	"2"	"4"	"0"	"2"	"21"	"1"	"340"
"17"	"12"	"0"	"46"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"5"	"540"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"600"
"18"	"13"	"25"	"114"	"22"	"54"	"1"	"0"	"2"	"1"	"2"	"2"	"327"	"4"	"1"	"0"	"0"	"3"	"1"	"1"	"1"	"2"	"2"	"565"
"19"	"14"	"2"	"174"	"2"	"93"	"10"	"0"	"1"	"2"	"7"	"1"	"76"	"0"	"6"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"378"
"20"	";ksx"	"268"	"1537"	"127"	"783"	"151"	"39"	"36"	"85"	"229"	"40"	"1688"	"60"	"52"	"78"	"33"	"84"	"752"	"56"	"37"	"69"	"28"	"6232"
"21"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	""	"lgk;d fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""
"25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"154 vejiqj fo/kku lHkk fuokZpu {ks="	""	""	""	""
"26"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"fo/kku lHkk fuokZpu& 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"154 vejiqj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2nd Round"	""	""	""
"31"	"ernku dsUnz la[;k"	"jke fd'kksj bZ'oj"	"osnkuUn flag"	"'ke'ksj vkyeq"	"lqjsUnz izlkn flag"	"ghjk yky e.My"	"iadt dqekj"	"eUns'ojh jko"	"'kkgtgk¡ [kk¡"	"lquhy dqekj flag"	"vuhy dqekj flag"	"vk;'kk ijohu"	"vk'kk nsoh"	"dykuan flag"	"nsoh flag"	"/khjsUnz izlkn
;kno"	"izohu dqekj
>k"	"cky eqdqUn eaMy"	"eukst dqekj"	"fot; dqekj"	"lR;sUnz ik.Ms;"	"ghjk nsoh"	"erks dk ;ksx"
"32"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"33"	"15"	"14"	"4"	"2"	"126"	"6"	"1"	"7"	"207"	"26"	"6"	"105"	"5"	"0"	"4"	"0"	"12"	"4"	"2"	"4"	"1"	"4"	"540"
"34"	"16"	"15"	"82"	"2"	"230"	"25"	"7"	"5"	"8"	"5"	"6"	"9"	"17"	"6"	"6"	"11"	"16"	"20"	"4"	"7"	"53"	"3"	"537"
"35"	"17"	"13"	"87"	"6"	"180"	"22"	"4"	"2"	"5"	"16"	"3"	"50"	"8"	"10"	"3"	"12"	"24"	"6"	"1"	"3"	"107"	"9"	"571"
"36"	"18"	"16"	"33"	"0"	"51"	"6"	"2"	"6"	"0"	"23"	"3"	"8"	"7"	"6"	"3"	"4"	"10"	"163"	"14"	"14"	"12"	"22"	"403"
"37"	"19"	"17"	"10"	"5"	"85"	"0"	"24"	"4"	"18"	"10"	"4"	"133"	"1"	"1"	"2"	"3"	"7"	"6"	"1"	"1"	"57"	"1"	"390"
"38"	"20"	"19"	"8"	"9"	"45"	"1"	"6"	"3"	"5"	"4"	"5"	"239"	"1"	"0"	"0"	"0"	"1"	"11"	"5"	"4"	"4"	"8"	"378"
"39"	"21"	"17"	"14"	"11"	"133"	"4"	"3"	"2"	"2"	"7"	"0"	"5"	"66"	"20"	"7"	"5"	"18"	"87"	"6"	"2"	"18"	"8"	"435"
"40"	"22"	"10"	"78"	"1"	"92"	"23"	"3"	"3"	"4"	"39"	"1"	"19"	"8"	"15"	"3"	"4"	"25"	"96"	"9"	"8"	"29"	"10"	"480"
