"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"Arjun Mandal"	"Md.
Ekramul Haque"	"Jai Nandan
Prasad Yadav"	"Baidyanath Prasad"	"Ravindra
Prasad Sahi"	"Ajay Kumar"	"Indal Singh"	"Krishna Dev Rai"	"Gyanendra
Kumar Gupta"	"Nagendra
Prasad Yadav"	"Manish
Chandra Jha"	"Maheshwar Paswan"	"Mohan Chaudhary"	"Vijay Kumar"	"Shankar Paswan"	"Shyam
Narayan Mandal"	"Hari
Kishore Ram"	""	""	""	""
"2"	"1"	"4"	"25"	"77"	"122"	"280"	"5"	"2"	"1"	"0"	"36"	"1"	"3"	"3"	"0"	"7"	"6"	"0"	"572"	""	"572"	""
"3"	"2"	"13"	"9"	"196"	"8"	"4"	"0"	"5"	"2"	"3"	"63"	"0"	"4"	"3"	"0"	"3"	"12"	"3"	"328"	""	"328"	""
"4"	"3"	"4"	"4"	"206"	"13"	"104"	"0"	"0"	"1"	"2"	"106"	"1"	"2"	"1"	"1"	"0"	"4"	"0"	"449"	""	"449"	""
"5"	"4"	"8"	"189"	"55"	"11"	"14"	"3"	"5"	"5"	"3"	"133"	"4"	"0"	"1"	"1"	"5"	"8"	"0"	"445"	""	"445"	""
"6"	"5"	"3"	"2"	"48"	"69"	"120"	"5"	"5"	"1"	"0"	"40"	"2"	"5"	"4"	"1"	"6"	"12"	"9"	"332"	""	"332"	""
"7"	"6"	"4"	"1"	"28"	"65"	"233"	"5"	"2"	"2"	"2"	"66"	"4"	"4"	"5"	"1"	"3"	"8"	"2"	"435"	""	"435"	""
"8"	"7"	"3"	"2"	"122"	"63"	"11"	"5"	"3"	"3"	"1"	"39"	"4"	"5"	"0"	"0"	"2"	"8"	"1"	"272"	""	"272"	""
"9"	"8"	"5"	"52"	"199"	"59"	"111"	"8"	"11"	"3"	"0"	"85"	"1"	"1"	"2"	"4"	"4"	"8"	"8"	"561"	""	"561"	""
"10"	"9"	"28"	"18"	"138"	"154"	"51"	"8"	"9"	"12"	"8"	"194"	"9"	"11"	"7"	"13"	"11"	"24"	"11"	"706"	""	"706"	""
"11"	"10"	"11"	"7"	"219"	"94"	"123"	"6"	"20"	"3"	"3"	"93"	"9"	"16"	"11"	"8"	"4"	"15"	"6"	"648"	""	"648"	""
"12"	"11"	"5"	"6"	"235"	"33"	"55"	"13"	"8"	"9"	"3"	"146"	"7"	"4"	"4"	"4"	"1"	"9"	"0"	"542"	""	"542"	""
"13"	"12"	"0"	"1"	"238"	"1"	"66"	"1"	"1"	"2"	"0"	"53"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"365"	""	"365"	""
"14"	"13"	"1"	"6"	"246"	"20"	"28"	"2"	"2"	"1"	"3"	"244"	"2"	"2"	"3"	"2"	"1"	"5"	"0"	"568"	""	"568"	""
