"FINAL.RESULTSHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 181 - CHANDI   ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency / Segment  :-  1,74,410 (the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
"5"	""	"Anil Singh"	"Arun Kumar"	"Viresh Kumar"	"Hari Narayan Singh"	"Parmanand Prasad"	"Ram Kewal Kumar"	"Arjun Prasad"	"Pranav Deo Anand"	"Mithilesh Kumar"	"Ramashis h Prasad"	"Santosh Kumar"	""	""	""	""	""
"6"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"7"	"1"	"74"	"39"	"7"	"275"	"20"	"1"	"3"	"4"	"18"	"0"	"4"	"445"	"0"	"445"	""	""
"8"	"2"	"122"	"12"	"2"	"25"	"1"	"1"	"9"	"3"	"2"	"0"	"5"	"182"	"0"	"182"	""	""
"9"	"3"	"86"	"61"	"8"	"154"	"9"	"3"	"2"	"10"	"2"	"3"	"0"	"338"	"0"	"338"	""	""
"10"	"4"	"139"	"12"	"21"	"77"	"10"	"2"	"2"	"1"	"1"	"0"	"4"	"269"	"0"	"269"	""	""
"11"	"5"	"77"	"15"	"11"	"191"	"6"	"0"	"4"	"5"	"13"	"2"	"7"	"331"	"0"	"331"	""	""
"12"	"6"	"27"	"54"	"3"	"158"	"2"	"2"	"2"	"0"	"12"	"2"	"13"	"275"	"0"	"275"	""	""
"13"	"7"	"44"	"7"	"86"	"190"	"3"	"0"	"0"	"2"	"0"	"3"	"4"	"339"	"0"	"339"	""	""
"14"	"8"	"33"	"35"	"1"	"294"	"10"	"0"	"0"	"4"	"7"	"0"	"4"	"388"	"0"	"388"	""	""
"15"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"16"	"10"	"35"	"6"	"3"	"103"	"4"	"2"	"2"	"2"	"10"	"1"	"16"	"184"	"0"	"184"	""	""
"17"	"11"	"18"	"16"	"4"	"92"	"5"	"1"	"1"	"7"	"2"	"3"	"27"	"176"	"0"	"176"	""	""
"18"	"12"	"99"	"68"	"8"	"173"	"17"	"3"	"5"	"7"	"11"	"4"	"2"	"397"	"0"	"397"	""	""
"19"	"13"	"80"	"16"	"13"	"217"	"43"	"4"	"2"	"4"	"1"	"2"	"0"	"382"	"0"	"382"	""	""
"20"	"14"	"55"	"35"	"4"	"90"	"1"	"0"	"0"	"1"	"2"	"2"	"0"	"190"	"0"	"190"	""	""
"21"	"Round-1"	"889"	"376"	"171"	"2039"	"131"	"19"	"32"	"50"	"81"	"22"	"86"	"3896"	"0"	"3896"	""	""
"22"	"15"	"102"	"3"	"1"	"59"	"1"	"2"	"3"	"1"	"1"	"0"	"2"	"175"	"0"	"175"	""	""
"23"	"16"	"33"	"37"	"5"	"123"	"23"	"4"	"1"	"5"	"8"	"1"	"5"	"245"	"0"	"245"	""	""
"24"	"17"	"32"	"156"	"6"	"83"	"31"	"0"	"8"	"3"	"18"	"9"	"17"	"363"	"0"	"363"	""	""
"25"	"18"	"46"	"137"	"0"	"72"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"259"	"0"	"259"	""	""
"26"	"19"	"73"	"43"	"4"	"249"	"3"	"0"	"1"	"1"	"4"	"1"	"1"	"380"	"0"	"380"	""	""
"27"	"20"	"2"	"27"	"55"	"210"	"3"	"0"	"1"	"3"	"3"	"1"	"1"	"306"	"0"	"306"	""	""
"28"	"21"	"100"	"54"	"29"	"228"	"9"	"1"	"1"	"3"	"4"	"2"	"3"	"434"	"0"	"434"	""	""
"29"	"22"	"120"	"11"	"9"	"331"	"69"	"3"	"4"	"6"	"5"	"1"	"6"	"565"	"0"	"565"	""	""
"30"	"23"	"29"	"19"	"4"	"260"	"10"	"0"	"1"	"0"	"2"	"1"	"2"	"328"	"0"	"328"	""	""
"31"	"24"	"279"	"23"	"62"	"169"	"7"	"0"	"3"	"3"	"10"	"2"	"18"	"576"	"0"	"576"	""	""
"32"	"25"	"162"	"27"	"3"	"161"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"362"	"0"	"362"	""	""
"33"	"26"	"138"	"129"	"9"	"140"	"39"	"1"	"5"	"4"	"11"	"5"	"5"	"486"	"0"	"486"	""	""
"34"	"27"	"59"	"20"	"5"	"195"	"8"	"1"	"1"	"3"	"2"	"1"	"5"	"300"	"0"	"300"	""	""
"35"	"28"	"89"	"56"	"8"	"234"	"10"	"4"	"2"	"5"	"5"	"0"	"9"	"422"	"0"	"422"	""	""
"36"	"Round-2"	"2153"	"1118"	"371"	"4553"	"347"	"36"	"65"	"88"	"157"	"48"	"161"	"9097"	"0"	"9097"	"0"	""
"37"	"29"	"264"	"26"	"1"	"53"	"2"	"0"	"3"	"1"	"1"	"2"	"4"	"357"	"0"	"357"	""	""
"38"	"30"	"154"	"115"	"55"	"135"	"15"	"3"	"2"	"3"	"9"	"5"	"12"	"508"	"0"	"508"	""	""
