"fuokZpuksa..dk..lapkyu..fu.e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"¼dkuwuh  fu;e  vkSj  vkns'k½  ¿iz:i  20À"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"¿fu;e  56  ¼7½  nsf[k,À"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"¼vf/klwfpr ernku dsUnzksa ls fHké ernku dsUnzksa ij ernku dk ifj.kke vfHkfyf[kr djus ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"149  &  ukFkuxj  fo/kku  LkHkk  {kss=  ds  fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Hkkx   1"	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"¼ lalnh; vkSj fo/kku lHkk nkssuksa fuokZpuksa ds fy, mi;ksx esa yk;k tk,½"	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k ------------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"fo/kku lHkk [kaM dk uke ¼lalnh; fuokZpu {ks= ls fuokZpu dh n'kk esa --------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"ernku dsUnz dh
Øe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k
;ksx"	"fuosfnÙk erksa dh la[;k"
"11"	""	"MkW nhiukjk;.k fla  g"	"izost teky"	"ijost [kku"	"lq/kk JhokLro"	"pqu pqu iz0 ;kno"	"nsosUnz eaMy"	"lqtkrk flUgk"	"ukxsUnz ukjk;.k 'kekZ"	"fou; dqekj xqIrk"	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"13"	"1"	"92"	"40"	"99"	"286"	"7"	"38"	"13"	"20"	"20"	"615"	""	""
"14"	"2"	"24"	"36"	"62"	"264"	"14"	"11"	"8"	"21"	"17"	"457"	""	""
"15"	"3"	"57"	"53"	"102"	"330"	"5"	"8"	"11"	"35"	"29"	"630"	""	""
"16"	"4"	"18"	"176"	"29"	"237"	"11"	"8"	"2"	"19"	"11"	"511"	""	""
"17"	"5"	"8"	"79"	"4"	"362"	"11"	"6"	"0"	"11"	"7"	"488"	""	""
"18"	"6"	"2"	"54"	"32"	"316"	"4"	"12"	"6"	"13"	"14"	"453"	""	""
"19"	"7"	"11"	"60"	"30"	"211"	"7"	"8"	"3"	"10"	"13"	"353"	""	""
"20"	"8"	"3"	"62"	"53"	"220"	"2"	"6"	"3"	"6"	"5"	"360"	""	""
"21"	"9"	"6"	"40"	"160"	"248"	"13"	"82"	"15"	"11"	"8"	"583"	""	""
"22"	"10"	"12"	"20"	"203"	"57"	"3"	"5"	"15"	"9"	"18"	"342"	""	""
"23"	"11"	"14"	"122"	"86"	"196"	"16"	"6"	"7"	"11"	"16"	"474"	""	""
"24"	"12"	"13"	"23"	"388"	"26"	"7"	"3"	"9"	"3"	"17"	"489"	""	""
"25"	"13"	"69"	"202"	"66"	"200"	"11"	"12"	"14"	"42"	"23"	"639"	""	""
"26"	"14"	"31"	"54"	"102"	"378"	"10"	"31"	"8"	"72"	"18"	"704"	""	""
"27"	";ksx &"	"360"	"1021"	"1416"	"3331"	"121"	"236"	"114"	"283"	"216"	"7098"	""	""
"28"	""	""	""	""	""	""	""	""	""	""	""	""	""
