"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No. and Name of Assembly segment  :-      47- Mahnar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total no. of Electors in Assembly constituency/Segment :- ………………………"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"7"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"8"	""	"RJD"	"BSP"	"JD  (U)"	"RVNP"	"SJP®"	"SP"	"MCPI(S
)"	"JJJKM C"	"AD"	"LJP"	"LPSP"	"SHS"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"9"	""	"MUNSHI LAL RAI"	"RAMESHWAR RAI"	"SAHDEO SAH"	"AKHILESH RAY"	"AJEY KUMAR"	"UPENDRA ROY"	"UMA SHANKAR RAM"	"BRAJESH KUMAR ROY"	"RAM SOGARATH SINGH"	"RAMA KISHOR SINGH"	"VASUDEO PRASAD"	"VIKRAM CHANDRA SHARMA"	"DHIRENDRA KUMAR SINGH"	"MALYAM KR MANGLAM"	"RAM NATH PASWAN"	"LAKHAN PANDIT"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"11"	"1"	"240"	"4"	"3"	"7"	"1"	"1"	"4"	"5"	"7"	"370"	"4"	"0"	"7"	"2"	"4"	"7"	"666"	"0"	"666"	"0"
"12"	"2"	"179"	"12"	"10"	"7"	"1"	"6"	"3"	"6"	"3"	"110"	"3"	"5"	"7"	"2"	"2"	"19"	"375"	"0"	"375"	"0"
"13"	"3"	"430"	"13"	"11"	"6"	"6"	"6"	"21"	"17"	"6"	"127"	"4"	"1"	"7"	"9"	"8"	"59"	"731"	"0"	"731"	"0"
"14"	"4"	"292"	"10"	"7"	"5"	"2"	"0"	"1"	"3"	"1"	"68"	"5"	"0"	"2"	"1"	"0"	"10"	"407"	"0"	"407"	"0"
"15"	"5"	"406"	"13"	"8"	"10"	"3"	"1"	"10"	"11"	"5"	"163"	"7"	"4"	"6"	"1"	"4"	"33"	"685"	"0"	"685"	"0"
