"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(CHAPTER XIV. PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE BIHAR LEGISLATIVE  ASSEMBLY  FROM THE 31-DARAULI ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"No.& Name of Assembly Constituency 31 -Darauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No.of Electores in Assembly Constituency :-183249                                                    Round No -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendered votes"
"10"	"Booth No."	"RAJ DEO SINGH"	"SHIV SHANKAR YADAV"	"SHRI LAKHI CHAND PRASAD YADAV"	"AMAR NATH YADAV"	"DURGA PRASAD SINGH"	"YOGENDRA PRASAD YADAV"	"ABHA DEVI"	"UTTAM BIHARI KUSHWAHA"	"KRISHN PRATAP SINGH"	"KRISHNA MURARI RAI"	"PANCHANAND SINGH"	"RAM PRIT GOND"	"SHRINIWASH YADAV"	""	""	""	""
"11"	"1"	"138"	"146"	"7"	"213"	"13"	"19"	"11"	"8"	"8"	"25"	"6"	"7"	"70"	"671"	"0"	"671"	""
"12"	"2"	"46"	"30"	"1"	"116"	"4"	"1"	"0"	"0"	"6"	"2"	"1"	"1"	"12"	"220"	"0"	"220"	""
"13"	"3"	"161"	"135"	"11"	"157"	"42"	"10"	"1"	"3"	"8"	"6"	"4"	"2"	"29"	"569"	"0"	"569"	""
"14"	"4"	"111"	"113"	"6"	"168"	"12"	"5"	"5"	"3"	"22"	"13"	"5"	"8"	"24"	"495"	"0"	"495"	""
"15"	"5"	"203"	"229"	"11"	"123"	"18"	"8"	"5"	"3"	"9"	"7"	"11"	"9"	"33"	"669"	"0"	"669"	""
