"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 233-Imamganj(SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……         1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station"	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""
"6"	""	""	"UDAY NARAYAN CHAUDHAR Y"	""	""	"RAM SWAROOP PASWAN"	""	"SUJEET MANJHI"	""	""	"HEERA PRASAD"	""	""	"FAKIR CHAND DAS"	""	""	"RAJESH KUMAR"	""	"VISHNUDEO SINGH"	""	"AMLESH KUMAR SINGH"	""	"RAMWALI RISHIYASA N"	""	"SRICHAND SINGH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""	""	""	""
"8"	"1"	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"9"	"2"	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"10"	"3"	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"11"	"4"	""	"0"	""	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"12"	"5"	""	"188"	""	""	"59"	""	"34"	""	""	"5"	""	""	"10"	""	""	"2"	""	"7"	""	"9"	""	"14"	""	"17"	""	"345"	""	""	"0"	""	""	"345"	""	""	""	""	""	""	""	""	""	""
"13"	"6"	""	"98"	""	""	"34"	""	"56"	""	""	"43"	""	""	"3"	""	""	"3"	""	"7"	""	"7"	""	"13"	""	"39"	""	"303"	""	""	"0"	""	""	"303"	""	""	""	""	""	""	""	""	""	""
"14"	"7"	""	"127"	""	""	"134"	""	"126"	""	""	"26"	""	""	"10"	""	""	"3"	""	"4"	""	"14"	""	"3"	""	"4"	""	"451"	""	""	"0"	""	""	"451"	""	""	""	""	""	""	""	""	""	""
"15"	"8"	""	"187"	""	""	"99"	""	"108"	""	""	"62"	""	""	"20"	""	""	"3"	""	"2"	""	"14"	""	"1"	""	"5"	""	"501"	""	""	"0"	""	""	"501"	""	""	""	""	""	""	""	""	""	""
"16"	"9"	""	"173"	""	""	"68"	""	"238"	""	""	"9"	""	""	"3"	""	""	"3"	""	"5"	""	"8"	""	"4"	""	"2"	""	"513"	""	""	"0"	""	""	"513"	""	""	""	""	""	""	""	""	""	""
