"FORM........20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"BOOTH    NO"	"AMRESHWAR PD. SINGH"	"NARENDRA NR. YADAV"	"MINA DEVI"	"RENU DEVI"	"AKHILESH SINGH"	"NARAYAN SINGH"	"NIRJALA SINGH"	"MD. ABDUS SATTAR"	"AMARNATH DAS"	"ASGAR ALI"	"CHANDESHWARI SINGH"	"MANJULA DEVI"	"MAMTA SHAHI"	"SUNIL KUMAR MANDAL"	"HIMANSHU MANDAL"	"BOOTH WISE TOTAL"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"2"	"1"	"35"	"41"	"8"	"8"	"51"	"14"	"13"	"92"	"4"	"29"	"3"	"6"	"20"	"5"	"4"	"333"	"0                0              333              0"	""	""	""
"3"	"2"	"40"	"148"	"8"	"8"	"131"	"6"	"31"	"9"	"10"	"48"	"33"	"4"	"83"	"6"	"18"	"583"	"0"	"0"	"583"	"0"
"4"	"3"	"13"	"83"	"50"	"5"	"57"	"6"	"7"	"38"	"14"	"52"	"18"	"10"	"54"	"21"	"58"	"486"	"0"	"0"	"486"	"0"
"5"	"4"	"33"	"310"	"5"	"3"	"49"	"3"	"2"	"3"	"8"	"9"	"12"	"4"	"77"	"10"	"67"	"595"	"0"	"0"	"595"	"0"
"6"	"5"	"95"	"141"	"5"	"4"	"55"	"7"	"6"	"198"	"10"	"11"	"5"	"6"	"13"	"2"	"7"	"565"	"0"	"0"	"565"	"0"
"7"	"6"	"56"	"101"	"8"	"7"	"80"	"6"	"14"	"41"	"7"	"30"	"32"	"9"	"208"	"6"	"30"	"635"	"0"	"0"	"635"	"0"
"8"	"7"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"987"	"8"	"2"	"1002"	"0"	"0"	"1002"	"0"
"9"	"8"	"14"	"40"	"6"	"2"	"41"	"3"	"7"	"45"	"9"	"34"	"6"	"8"	"355"	"10"	"11"	"591"	"0"	"0"	"591"	"0"
"10"	"9"	"18"	"36"	"20"	"6"	"38"	"8"	"5"	"47"	"2"	"20"	"7"	"5"	"400"	"7"	"9"	"628"	"0"	"0"	"628"	"0"
"11"	"10"	"27"	"12"	"4"	"12"	"14"	"7"	"13"	"357"	"16"	"53"	"14"	"2"	"137"	"5"	"11"	"684"	"0"	"0"	"684"	"0"
"12"	"11"	"18"	"7"	"2"	"3"	"6"	"3"	"6"	"493"	"9"	"23"	"1"	"0"	"11"	"1"	"3"	"586"	"0"	"0"	"586"	"0"
"13"	"12"	"28"	"19"	"3"	"2"	"1"	"2"	"4"	"357"	"14"	"12"	"1"	"0"	"4"	"2"	"4"	"453"	"0"	"0"	"453"	"0"
"14"	"13"	"129"	"163"	"7"	"5"	"172"	"7"	"13"	"9"	"4"	"19"	"38"	"5"	"61"	"3"	"22"	"657"	"0"	"0"	"657"	"0"
"15"	"14"	"132"	"175"	"6"	"7"	"264"	"14"	"13"	"14"	"6"	"33"	"1"	"2"	"25"	"4"	"10"	"706"	"0"	"0"	"706"	"0"
"16"	"ROUND 1"	"640"	"1276"	"133"	"72"	"959"	"86"	"134"	"1703"	"113"	"374"	"171"	"62"	"2435"	"90"	"256"	"8504"	"0"	"0"	"8504"	"0"
"17"	"15"	"21"	"23"	"11"	"4"	"10"	"2"	"0"	"2"	"4"	"6"	"1"	"6"	"456"	"12"	"9"	"567"	"0"	"0"	"567"	"0"
"18"	"16"	"24"	"2"	"3"	"1"	"2"	"0"	"0"	"2"	"0"	"3"	"2"	"5"	"383"	"3"	"5"	"435"	"0"	"0"	"435"	"0"
"19"	"17"	"25"	"264"	"12"	"6"	"12"	"2"	"5"	"4"	"4"	"10"	"7"	"2"	"114"	"9"	"3"	"479"	"0"	"0"	"479"	"0"
"20"	"18"	"28"	"192"	"6"	"6"	"62"	"1"	"1"	"3"	"10"	"14"	"11"	"4"	"60"	"5"	"5"	"408"	"0"	"0"	"408"	"0"
"21"	"19"	"65"	"140"	"17"	"8"	"84"	"8"	"5"	"6"	"8"	"15"	"57"	"19"	"161"	"58"	"21"	"672"	"0"	"0"	"672"	"0"
