"Serial.No..of.Polling.station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..Tender.Votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"3"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"4"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"5"	"1"	1	9	230	3	368	7	1	8	0	18	4	9	7	0	2	"667"	"0"	"667"	"0"
"6"	"2"	9	2	0	2	225	1	0	3	2	3	3	4	0	0	6	"260"	"0"	"260"	"0"
"7"	"3"	1	0	1	3	815	1	0	1	0	3	0	2	0	0	0	"827"	"0"	"827"	"0"
"8"	"4"	17	2	287	8	104	8	4	7	2	15	3	15	2	1	5	"480"	"0"	"480"	"0"
"9"	"5"	8	18	469	9	209	4	1	7	1	16	2	6	2	2	5	"759"	"0"	"759"	"0"
"10"	"6"	4	4	170	9	228	4	3	6	4	15	9	7	7	2	16	"488"	"0"	"488"	"0"
"11"	"7"	17	5	102	8	341	7	4	8	1	9	1	4	1	1	4	"513"	"0"	"513"	"0"
"12"	"8"	20	5	177	14	249	12	5	6	2	19	6	17	3	6	8	"549"	"0"	"549"	"0"
"13"	"9"	7	5	247	10	77	6	1	1	0	3	5	4	2	6	6	"380"	"0"	"380"	"0"
"14"	"10"	22	15	276	12	123	11	6	5	3	18	5	5	14	6	16	"537"	"0"	"537"	"0"
"15"	"11"	7	4	9	3	381	3	1	5	2	10	12	2	2	5	8	"454"	"0"	"454"	"0"
"16"	"12"	13	5	17	6	568	16	1	9	3	17	14	8	8	5	21	"711"	"0"	"711"	"0"
"17"	"13"	0	0	9	0	326	1	2	0	0	6	0	1	0	0	0	"345"	"0"	"345"	"0"
"18"	"14"	9	2	33	5	340	4	1	9	0	8	4	5	3	3	7	"433"	"0"	"433"	"0"
"19"	"15"	10	4	165	3	168	8	6	12	2	34	3	6	8	3	23	"455"	"0"	"455"	"0"
"20"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"21"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
"22"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"23"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"24"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"25"	"16"	13	2	397	8	14	0	2	3	2	2	0	1	2	2	2	"450"	"0"	"450"	"0"
"26"	"17"	14	6	199	2	237	4	7	9	3	17	6	12	6	2	2	"526"	"0"	"526"	"0"
"27"	"18"	3	1	28	4	650	5	1	3	1	13	4	6	5	2	3	"729"	"0"	"729"	"0"
"28"	"19"	2	0	4	2	749	3	0	0	0	0	0	0	0	0	0	"760"	"0"	"760"	"0"
"29"	"20"	18	14	172	5	411	5	6	5	3	19	3	0	0	0	4	"665"	"0"	"665"	"0"
"30"	"21"	6	1	66	5	456	9	2	4	3	12	5	1	2	2	9	"583"	"0"	"583"	"0"
"31"	"22"	42	6	59	7	566	6	4	7	1	27	5	8	0	2	2	"742"	"0"	"742"	"0"
"32"	"23"	23	6	28	6	590	11	8	16	5	37	6	8	0	0	4	"748"	"0"	"748"	"0"
"33"	"24"	34	4	106	5	529	7	6	10	4	21	7	10	1	3	8	"755"	"0"	"755"	"0"
"34"	"25"	35	5	103	3	470	6	1	5	1	16	1	1	1	2	4	"654"	"0"	"654"	"0"
"35"	"26"	57	6	244	8	498	9	2	20	7	15	7	9	6	2	18	"908"	"0"	"908"	"0"
"36"	"27"	70	4	146	9	391	11	1	8	3	24	5	5	6	2	10	"695"	"0"	"695"	"0"
"37"	"28"	50	9	265	2	270	7	1	6	3	19	2	3	5	2	12	"656"	"0"	"656"	"0"
"38"	"29"	26	3	92	6	536	20	2	10	5	19	15	8	1	3	9	"755"	"0"	"755"	"0"
"39"	"30"	11	6	113	4	274	2	1	10	4	31	14	7	5	2	11	"495"	"0"	"495"	"0"
"40"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"41"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
"42"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"43"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"44"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"45"	"31"	6	2	53	3	310	6	4	9	2	25	8	7	3	1	4	"443"	"0"	"443"	"0"
"46"	"32"	31	5	65	3	581	6	1	12	3	31	17	13	7	6	12	"793"	"0"	"793"	"0"
"47"	"33"	17	8	136	3	506	9	7	12	4	19	12	5	2	5	7	"752"	"0"	"752"	"0"
"48"	"34"	12	3	104	10	429	5	1	11	1	20	9	8	4	2	10	"629"	"0"	"629"	"0"
"49"	"35"	46	6	106	8	525	7	2	6	0	20	2	1	1	0	2	"732"	"0"	"732"	"0"
"50"	"36"	1	0	8	2	513	4	2	0	0	10	9	1	0	1	0	"551"	"0"	"551"	"0"
"51"	"37"	7	3	187	5	175	3	3	3	1	11	2	2	3	2	4	"411"	"0"	"411"	"0"
"52"	"38"	7	0	93	6	356	1	1	3	2	6	6	5	5	3	8	"502"	"0"	"502"	"0"
"53"	"39"	32	17	81	9	281	10	4	6	4	16	12	7	3	2	3	"487"	"0"	"487"	"0"
"54"	"40"	25	20	103	10	334	13	5	7	4	31	7	4	2	0	8	"573"	"0"	"573"	"0"
"55"	"41"	22	11	150	15	311	8	6	10	3	24	14	10	5	7	10	"606"	"0"	"606"	"0"
"56"	"42"	48	5	442	10	151	6	1	5	1	17	4	4	0	0	13	"707"	"0"	"707"	"0"
"57"	"43"	42	5	384	8	151	7	2	5	1	10	3	0	1	1	11	"631"	"0"	"631"	"0"
"58"	"44"	32	1	770	2	17	2	1	0	0	0	0	0	0	0	0	"825"	"0"	"825"	"0"
"59"	"45"	29	11	121	5	230	19	8	8	4	24	7	7	4	2	5	"484"	"0"	"484"	"0"
"60"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"61"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
"62"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"63"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"64"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"65"	"46"	62	29	359	17	220	8	6	12	6	21	3	9	4	3	14	"773"	"0"	"773"	"0"
"66"	"47"	40	6	495	4	98	0	0	2	0	7	0	1	0	0	0	"653"	"0"	"653"	"0"
"67"	"48"	14	8	154	9	192	1	6	10	1	12	1	0	4	0	1	"413"	"0"	"413"	"0"
"68"	"49"	17	6	230	15	87	3	2	4	0	8	2	2	4	3	11	"394"	"0"	"394"	"0"
"69"	"50"	5	2	148	6	166	3	1	3	2	10	1	4	1	1	8	"361"	"0"	"361"	"0"
"70"	"51"	26	5	162	6	161	4	2	2	1	9	3	4	2	2	8	"397"	"0"	"397"	"0"
"71"	"52"	12	8	232	6	165	14	4	4	1	18	8	3	4	2	5	"486"	"0"	"486"	"0"
"72"	"53"	19	5	10	1	197	2	1	8	1	13	30	16	4	5	29	"341"	"0"	"341"	"0"
"73"	"54"	12	1	13	2	285	13	3	7	2	20	12	11	2	1	16	"400"	"0"	"400"	"0"
"74"	"55"	12	1	152	7	346	5	1	1	1	4	2	2	3	1	2	"540"	"0"	"540"	"0"
"75"	"56"	21	5	94	9	202	7	3	4	4	16	7	3	2	2	5	"384"	"0"	"384"	"0"
"76"	"57"	11	13	314	7	147	8	7	11	6	15	8	12	5	9	15	"588"	"0"	"588"	"0"
"77"	"58"	17	22	155	8	179	8	5	11	2	12	3	3	1	1	4	"431"	"0"	"431"	"0"
"78"	"59"	4	3	595	1	6	0	1	2	2	0	1	3	1	2	0	"621"	"0"	"621"	"0"
"79"	"60"	5	2	570	4	56	10	0	5	0	4	1	2	0	4	3	"666"	"0"	"666"	"0"
"80"	"Serial No. of Polling station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"81"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	""	""	""	""
"82"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"83"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""
"84"	"1"	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	"17"	"18"	"19"	"20"
"85"	"61"	20	12	232	9	250	8	13	18	7	24	7	5	5	2	6	"618"	"0"	"618"	"0"
"86"	"62"	24	12	75	7	581	5	2	5	1	12	1	3	1	0	2	"731"	"0"	"731"	"0"
"87"	"63"	28	2	79	4	281	5	0	6	1	19	10	3	5	3	11	"457"	"0"	"457"	"0"
"88"	"64"	13	3	86	6	352	7	2	10	1	6	5	4	3	0	26	"524"	"0"	"524"	"0"
"89"	"65"	2	5	150	5	249	10	3	6	2	23	9	18	9	5	9	"505"	"0"	"505"	"0"
"90"	"66"	20	4	99	9	310	12	4	7	2	20	9	7	8	4	10	"525"	"0"	"525"	"0"
"91"	"67"	22	3	395	7	38	2	2	8	1	3	4	4	18	7	9	"523"	"0"	"523"	"0"
"92"	"68"	40	6	71	11	303	15	10	10	6	42	13	11	42	10	32	"622"	"0"	"622"	"0"
"93"	"69"	44	6	81	9	225	13	3	9	10	25	16	24	6	5	27	"503"	"0"	"503"	"0"
"94"	"70"	62	11	131	12	348	17	4	17	12	20	23	24	6	14	20	"721"	"0"	"721"	"0"
"95"	"71"	43	6	153	10	232	9	4	19	5	42	11	8	8	2	28	"580"	"0"	"580"	"0"
"96"	"72"	16	4	81	5	250	12	7	20	7	32	9	11	2	4	12	"472"	"0"	"472"	"0"
