"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESUL SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly Constituency :- 88 - DARBHANGA RURAL (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"7"	""	""	"Gorakh Sada"	"Jagdish Choudhary"	"Pitambar Paswan"	"Chandar Mahto"	"Satya Narayan Paswan"	"Suniti Ranjan Das"	"Jeewan Kumar Chandan"	"Baldeo Ram"	"Vishnudeo Paswan"	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"9"	"1"	"1"	"1"	"5"	"350"	"2"	"0"	"1"	"4"	"1"	"1"	"365"	"-"	"365"	""
"10"	"2"	"2"	"12"	"15"	"235"	"11"	"8"	"55"	"7"	"2"	"18"	"363"	"-"	"363"	""
"11"	"3"	"3"	"12"	"52"	"492"	"19"	"5"	"21"	"6"	"4"	"2"	"613"	"-"	"613"	""
"12"	"4"	"4"	"14"	"109"	"293"	"6"	"5"	"41"	"17"	"14"	"12"	"511"	"-"	"511"	""
"13"	"5"	"5"	"8"	"25"	"230"	"16"	"7"	"35"	"9"	"5"	"14"	"349"	"-"	"349"	""
"14"	"6"	"6"	"18"	"49"	"91"	"7"	"17"	"267"	"15"	"9"	"5"	"478"	"-"	"478"	""
"15"	"7"	"7"	"15"	"202"	"247"	"12"	"8"	"57"	"11"	"17"	"2"	"571"	"-"	"571"	""
"16"	"8"	"8"	"14"	"46"	"337"	"7"	"2"	"27"	"12"	"4"	"11"	"460"	"-"	"460"	""
"17"	"9"	"9"	"21"	"5"	"85"	"8"	"6"	"200"	"29"	"10"	"11"	"375"	"-"	"375"	""
"18"	"10"	"10"	"9"	"20"	"156"	"9"	"13"	"41"	"12"	"5"	"6"	"271"	"-"	"271"	""
"19"	"11"	"11"	"0"	"43"	"674"	"0"	"1"	"12"	"0"	"2"	"0"	"732"	"-"	"732"	""
"20"	"12"	"12"	"30"	"87"	"253"	"14"	"12"	"25"	"15"	"28"	"0"	"464"	"-"	"464"	""
"21"	"13"	"13"	"23"	"22"	"206"	"19"	"16"	"188"	"32"	"10"	"28"	"544"	"-"	"544"	""
"22"	"14"	"14"	"20"	"17"	"140"	"20"	"8"	"97"	"15"	"5"	"8"	"330"	"-"	"330"	""
"23"	"15"	"15"	"11"	"25"	"252"	"8"	"9"	"217"	"34"	"12"	"18"	"586"	"-"	"586"	""
"24"	"16"	"16"	"12"	"25"	"271"	"5"	"11"	"230"	"29"	"11"	"17"	"611"	"-"	"611"	""
"25"	"17"	"17"	"16"	"130"	"32"	"9"	"6"	"442"	"27"	"9"	"5"	"676"	"-"	"676"	""
"26"	"18"	"18"	"6"	"25"	"49"	"4"	"9"	"535"	"22"	"3"	"3"	"656"	"-"	"656"	""
"27"	"19"	"19"	"16"	"41"	"492"	"7"	"6"	"32"	"3"	"4"	"0"	"601"	"-"	"601"	""
"28"	"20"	"20"	"21"	"49"	"184"	"10"	"21"	"238"	"20"	"38"	"32"	"613"	"-"	"613"	""
"29"	"21"	"21"	"2"	"7"	"307"	"4"	"1"	"26"	"2"	"1"	"1"	"351"	"-"	"351"	""
"30"	"22"	"22"	"1"	"9"	"660"	"2"	"0"	"41"	"1"	"1"	"3"	"718"	"-"	"718"	""
"31"	"23"	"23"	"17"	"18"	"639"	"12"	"7"	"13"	"4"	"5"	"10"	"725"	"-"	"725"	""
"32"	"24"	"24"	"10"	"18"	"311"	"6"	"4"	"1     53"	"10"	"0"	"2"	"414"	"-"	"414"	""
"33"	"25"	"25"	"17"	"492"	"58"	"4"	"19"	"21"	"11"	"29"	"19"	"670"	"-"	"670"	""
"34"	"Sl."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"35"	""	""	"Gorakh Sada"	"Jagdish Choudhary"	"Pitambar Paswan"	"Chandar Mahto"	"Satya Narayan Paswan"	"Suniti Ranjan Das"	"Jeewan Kumar Chandan"	"Baldeo Ram"	"Vishnudeo Paswan"	""	""	""	""
"36"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
