"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"1"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"2"	"Serial No.of Polling Station*"	"Kanta Devi"	"Dr Krishna Murari Sah"	"Ram Lakhan Mahto"	"Md Naushad"	"Sheel Kumar Roy"	"Ghanshyam Bharti"	"Vijaywant Kumar choudhary"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"3"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"4"	"1"	"28"	"28"	"226"	"11"	"202"	"9"	"24"	"528"	""	"528"	""
"5"	"2"	"30"	"15"	"147"	"15"	"313"	"18"	"22"	"560"	""	"560"	""
"6"	"3"	"32"	"32"	"185"	"11"	"414"	"7"	"13"	"694"	""	"694"	""
"7"	"4"	"18"	"9"	"441"	"13"	"161"	"4"	"18"	"664"	""	"664"	""
"8"	"5"	"22"	"17"	"128"	"14"	"215"	"6"	"17"	"419"	""	"419"	""
"9"	"6"	"20"	"33"	"94"	"10"	"274"	"3"	"16"	"450"	""	"450"	""
"10"	"7"	"26"	"77"	"48"	"7"	"163"	"8"	"16"	"345"	""	"345"	""
"11"	"8"	"13"	"23"	"117"	"5"	"154"	"6"	"15"	"333"	""	"333"	""
"12"	"9"	"33"	"15"	"117"	"13"	"235"	"10"	"23"	"446"	""	"446"	""
"13"	"10"	"51"	"40"	"65"	"15"	"451"	"11"	"31"	"664"	""	"664"	""
"14"	"11"	"11"	"48"	"54"	"11"	"250"	"4"	"9"	"387"	""	"387"	""
"15"	"12"	"37"	"16"	"153"	"26"	"303"	"13"	"22"	"570"	""	"570"	""
"16"	"13"	"35"	"25"	"90"	"12"	"297"	"19"	"34"	"512"	""	"512"	""
"17"	"14"	"0"	"25"	"2"	"0"	"514"	"1"	"3"	"545"	""	"545"	""
"18"	"Page Total"	"356"	"403"	"1867"	"163"	"3946"	"119"	"263"	"7117"	"0"	"7117"	"0"
"19"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"20"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"21"	"Serial No.of Polling Station*"	"Kanta Devi"	"Dr Krishna Murari Sah"	"Ram Lakhan Mahto"	"Md Naushad"	"Sheel Kumar Roy"	"Ghanshyam Bharti"	"Vijaywant Kumar choudhary"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"22"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"23"	"B.F."	"356"	"403"	"1867"	"163"	"3946"	"119"	"263"	"7117"	"0"	"7117"	"0"
"24"	"15"	"8"	"131"	"111"	"7"	"146"	"5"	"12"	"420"	""	"420"	""
"25"	"16"	"39"	"24"	"222"	"15"	"330"	"11"	"38"	"679"	""	"679"	""
"26"	"17"	"25"	"328"	"125"	"9"	"55"	"12"	"35"	"589"	""	"589"	""
"27"	"18"	"9"	"20"	"192"	"15"	"136"	"10"	"18"	"400"	""	"400"	""
"28"	"19"	"15"	"28"	"85"	"11"	"334"	"6"	"10"	"489"	""	"489"	""
"29"	"20"	"9"	"43"	"245"	"8"	"176"	"8"	"7"	"496"	""	"496"	""
"30"	"21"	"16"	"44"	"84"	"6"	"206"	"6"	"10"	"372"	""	"372"	""
"31"	"22"	"28"	"28"	"273"	"9"	"180"	"11"	"21"	"550"	""	"550"	""
"32"	"23"	"8"	"10"	"106"	"11"	"568"	"5"	"38"	"746"	""	"746"	""
"33"	"24"	"3"	"11"	"289"	"8"	"98"	"2"	"2"	"413"	""	"413"	""
"34"	"25"	"20"	"26"	"180"	"20"	"279"	"6"	"26"	"557"	""	"557"	""
"35"	"26"	"1"	"1"	"71"	"5"	"207"	"1"	"0"	"286"	""	"286"	""
"36"	"27"	"8"	"65"	"13"	"5"	"244"	"5"	"10"	"350"	""	"350"	""
"37"	"28"	"13"	"49"	"161"	"14"	"270"	"4"	"20"	"531"	""	"531"	""
"38"	"Page Total"	"558"	"1211"	"4024"	"306"	"7175"	"211"	"510"	"13995"	"0"	"13995"	"0"
"39"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"40"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"41"	"Serial No.of Polling Station*"	"Kanta Devi"	"Dr Krishna Murari Sah"	"Ram Lakhan Mahto"	"Md Naushad"	"Sheel Kumar Roy"	"Ghanshyam Bharti"	"Vijaywant Kumar choudhary"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"42"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"43"	"B.F."	"558"	"1211"	"4024"	"306"	"7175"	"211"	"510"	"13995"	"0"	"13995"	"0"
"44"	"29"	"29"	"34"	"192"	"10"	"107"	"4"	"16"	"392"	""	"392"	""
"45"	"30"	"17"	"71"	"144"	"6"	"77"	"7"	"2"	"324"	""	"324"	""
"46"	"31"	"19"	"118"	"377"	"24"	"28"	"5"	"17"	"588"	""	"588"	""
"47"	"32"	"7"	"27"	"345"	"17"	"114"	"2"	"15"	"527"	""	"527"	""
"48"	"33"	"7"	"11"	"39"	"3"	"206"	"3"	"19"	"288"	""	"288"	""
"49"	"34"	"36"	"39"	"92"	"5"	"274"	"7"	"13"	"466"	""	"466"	""
"50"	"35"	"13"	"48"	"236"	"21"	"336"	"11"	"21"	"686"	""	"686"	""
"51"	"36"	"5"	"6"	"633"	"3"	"51"	"1"	"2"	"701"	""	"701"	""
"52"	"37"	"13"	"4"	"238"	"14"	"120"	"3"	"16"	"408"	""	"408"	""
"53"	"38"	"35"	"11"	"253"	"14"	"242"	"14"	"10"	"579"	""	"579"	""
"54"	"39"	"22"	"32"	"354"	"24"	"245"	"11"	"36"	"724"	""	"724"	""
"55"	"40"	"26"	"58"	"238"	"26"	"335"	"8"	"38"	"729"	""	"729"	""
"56"	"41"	"5"	"5"	"198"	"6"	"219"	"6"	"15"	"454"	""	"454"	""
"57"	"42"	"7"	"4"	"245"	"12"	"119"	"4"	"7"	"398"	""	"398"	""
"58"	"Page Total"	"799"	"1679"	"7608"	"491"	"9648"	"297"	"737"	"21259"	"0"	"21259"	"0"
"59"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""
"60"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""
"61"	"Serial No.of Polling Station*"	"Kanta Devi"	"Dr Krishna Murari Sah"	"Ram Lakhan Mahto"	"Md Naushad"	"Sheel Kumar Roy"	"Ghanshyam Bharti"	"Vijaywant Kumar choudhary"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"62"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	""	""	""	""
"63"	"B.F."	"799"	"1679"	"7608"	"491"	"9648"	"297"	"737"	"21259"	"0"	"21259"	"0"
"64"	"43"	"7"	"1"	"438"	"8"	"42"	"1"	"9"	"506"	""	"506"	""
"65"	"44"	"3"	"2"	"501"	"4"	"51"	"2"	"2"	"565"	""	"565"	""
"66"	"45"	"21"	"8"	"189"	"7"	"106"	"2"	"17"	"350"	""	"350"	""
"67"	"46"	"19"	"99"	"44"	"8"	"229"	"7"	"13"	"419"	""	"419"	""
"68"	"47"	"29"	"24"	"120"	"17"	"286"	"4"	"26"	"506"	""	"506"	""
