"Booths"	"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Booth No"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
"2"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	253	6	87	62	49	5	3	5	2	3	1	8	1	1	17	-503	0
"4"	"2"	329	7	30	33	77	3	1	1	3	8	4	8	3	2	23	-532	0
"5"	"3"	438	0	5	43	74	1	0	0	2	0	0	7	1	0	0	-571	0
"6"	"4"	28	13	112	218	52	14	1	6	14	4	9	29	15	5	22	-542	0
"7"	"5"	32	5	60	28	160	3	2	0	0	2	1	1	0	1	0	-295	0
"8"	"6"	195	6	64	17	200	4	2	1	4	2	2	3	1	2	6	-509	0
"9"	"7"	12	2	15	353	101	8	2	3	4	2	3	33	9	2	11	-560	0
"10"	"8"	83	5	42	71	183	10	5	8	6	11	12	13	5	1	14	-469	0
"11"	"9"	75	1	104	65	228	2	3	1	2	1	1	3	3	0	3	-492	0
"12"	"10"	74	1	219	17	143	2	3	0	1	0	0	1	1	1	2	-465	0
"13"	"11"	53	7	96	238	80	6	1	3	4	6	2	10	3	2	8	-519	0
"14"	"12"	13	1	106	263	96	3	2	1	3	3	0	4	2	1	3	-501	0
"15"	"13"	36	1	76	344	158	14	2	2	3	9	1	1	1	3	3	-654	0
"16"	"14"	32	6	98	237	45	8	1	1	3	0	1	4	6	0	8	-450	0
"17"	"15"	69	2	62	103	87	3	2	6	2	3	0	1	1	1	3	-345	0
"18"	"16"	155	13	11	132	336	11	7	5	18	4	8	13	6	1	17	-737	0
"19"	"17"	52	8	123	41	208	4	7	3	6	2	7	4	3	0	6	-474	0
"20"	"18"	417	10	172	20	70	0	2	4	3	4	1	3	0	5	17	-728	0
"21"	"19"	159	2	20	31	492	8	1	2	5	8	6	0	2	3	1	-740	0
"22"	"20"	204	2	45	6	45	0	0	1	2	2	1	2	1	0	0	-311	0
"23"	"21"	38	2	34	87	138	2	1	0	2	0	0	6	3	0	4	-317	0
"24"	"22"	7	0	37	141	115	1	0	3	1	0	0	1	1	0	0	-307	0
"25"	"23"	53	3	10	14	432	24	10	2	7	7	7	3	0	5	17	-594	0
