"Election.to.the..Bihar.Legislative..Assembly..From.94.WARISHNAGAR.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Serial No.of Polling Station*"	"Rabindra Rajak"	"Sanjay Paswan"	"Sidheswar Ram"	"Jeebachh Paswan"	"Maheshwar Hazari"	"Upendra Ram"	"Vijay Paswan"	"Satish Mahto"	"Subai Sada"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"5"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"6"	"1"	"44"	"88"	"4"	"27"	"390"	"7"	"19"	"10"	"9"	"598"	""	"598"	""
"7"	"2"	"36"	"269"	"19"	"14"	"144"	"13"	"24"	"15"	"14"	"548"	""	"548"	""
"8"	"3"	"20"	"299"	"7"	"7"	"92"	"5"	"11"	"8"	"5"	"454"	""	"454"	""
"9"	"4"	"28"	"342"	"10"	"11"	"115"	"7"	"8"	"9"	"12"	"542"	""	"542"	""
"10"	"5"	"86"	"62"	"10"	"18"	"236"	"10"	"35"	"8"	"3"	"468"	""	"468"	""
"11"	"6"	"40"	"281"	"21"	"14"	"307"	"4"	"30"	"7"	"12"	"716"	""	"716"	""
"12"	"7"	"46"	"360"	"18"	"6"	"273"	"7"	"30"	"7"	"4"	"751"	""	"751"	""
"13"	"8"	"9"	"237"	"13"	"2"	"94"	"1"	"1"	"0"	"7"	"364"	""	"364"	""
"14"	"9"	"9"	"172"	"2"	"4"	"77"	"13"	"3"	"4"	"3"	"287"	""	"287"	""
"15"	"10"	"26"	"317"	"14"	"11"	"226"	"12"	"18"	"3"	"14"	"641"	""	"641"	""
"16"	"11"	"29"	"126"	"8"	"5"	"366"	"13"	"28"	"10"	"17"	"602"	""	"602"	""
"17"	"12"	"44"	"295"	"14"	"9"	"144"	"8"	"19"	"12"	"12"	"557"	""	"557"	""
"18"	"13"	"23"	"262"	"14"	"7"	"178"	"8"	"19"	"16"	"20"	"547"	""	"547"	""
"19"	"14"	"33"	"94"	"11"	"7"	"182"	"15"	"10"	"8"	"16"	"376"	""	"376"	""
"20"	"Page Total"	"473"	"3204"	"165"	"142"	"2824"	"123"	"255"	"117"	"148"	"7451"	"0"	"7451"	"0"
"21"	"Election to the  Bihar Legislative  Assembly  From 94 WARISHNAGAR Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"No.of  valid votes cast in favoer of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""
