"Sl.No.of.Polling"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.valid.vots"	"No.of.Rejected.vots"	"Total"	"No.of"
"1"	""	"Dina Nath Paswan"	"Prabhu Sahani"	"Radha Krishna Singh"	"Anil Choudhar y"	"Upendra Prasad Singh"	"Gulab Paswan"	"Naresh Kumar Das"	"Ram Balak Sahani"	"Anjana Raghav"	"Janki Devi"	"Raj Kishor Mahto"	""	""	""	"Tendered votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"3"	"1"	"56"	"27"	"241"	"141"	"22"	"18"	"24"	"19"	"11"	"17"	"10"	"586"	"0"	"586"	"0"
"4"	"2"	"22"	"28"	"230"	"104"	"16"	"10"	"19"	"2"	"6"	"20"	"13"	"470"	"0"	"470"	"0"
"5"	"3"	"21"	"15"	"132"	"177"	"4"	"2"	"14"	"9"	"3"	"11"	"2"	"390"	"0"	"390"	"0"
"6"	"4"	"22"	"9"	"17"	"221"	"11"	"12"	"6"	"6"	"9"	"16"	"12"	"341"	"0"	"341"	"0"
"7"	"5"	"17"	"60"	"102"	"143"	"6"	"7"	"5"	"13"	"9"	"16"	"19"	"397"	"0"	"397"	"0"
"8"	"6"	"8"	"154"	"208"	"152"	"17"	"8"	"20"	"9"	"7"	"18"	"42"	"643"	"0"	"643"	"0"
"9"	"7"	"0"	"12"	"55"	"256"	"8"	"2"	"4"	"5"	"2"	"11"	"10"	"365"	"0"	"365"	"0"
"10"	"8"	"3"	"19"	"146"	"131"	"7"	"5"	"1"	"4"	"0"	"14"	"4"	"334"	"0"	"334"	"0"
"11"	"9"	"7"	"4"	"132"	"296"	"7"	"5"	"1"	"6"	"7"	"10"	"10"	"485"	"0"	"485"	"0"
"12"	"10"	"7"	"16"	"57"	"296"	"9"	"4"	"3"	"9"	"15"	"14"	"9"	"439"	"0"	"439"	"0"
"13"	"11"	"19"	"32"	"309"	"115"	"14"	"4"	"8"	"9"	"14"	"29"	"31"	"584"	"0"	"584"	"0"
"14"	"12"	"14"	"37"	"84"	"217"	"7"	"5"	"6"	"11"	"22"	"21"	"16"	"440"	"0"	"440"	"0"
"15"	"13"	"20"	"35"	"176"	"230"	"15"	"10"	"66"	"30"	"66"	"44"	"43"	"735"	"0"	"735"	"0"
"16"	"14"	"37"	"142"	"136"	"157"	"22"	"15"	"28"	"11"	"66"	"19"	"15"	"648"	"0"	"648"	"0"
"17"	"Total"	"253"	"590"	"2025"	"2636"	"165"	"107"	"205"	"143"	"237"	"260"	"236"	"6857"	"0"	"6857"	"0"
"18"	"15"	"3"	"10"	"179"	"144"	"4"	"2"	"5"	"13"	"16"	"8"	"6"	"390"	"0"	"390"	"0"
"19"	"16"	"14"	"12"	"80"	"244"	"14"	"4"	"5"	"6"	"52"	"15"	"10"	"456"	"0"	"456"	"0"
"20"	"17"	"4"	"3"	"141"	"315"	"13"	"3"	"3"	"8"	"39"	"20"	"11"	"560"	"0"	"560"	"0"
"21"	"Sl.No of Polling"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid vots"	"No of Rejected vots"	"Total"	"No.of"
"22"	""	"Dina Nath Paswan"	"Prabhu Sahani"	"Radha Krishna Singh"	"Anil Choudhar y"	"Upendra Prasad Singh"	"Gulab Paswan"	"Naresh Kumar Das"	"Ram Balak Sahani"	"Anjana Raghav"	"Janki Devi"	"Raj Kishor Mahto"	""	""	""	"Tendered votes"
"23"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"24"	"18"	"18"	"10"	"392"	"197"	"9"	"6"	"6"	"6"	"13"	"22"	"9"	"688"	"0"	"688"	"0"
"25"	"19"	"18"	"11"	"292"	"212"	"7"	"1"	"2"	"2"	"2"	"10"	"6"	"563"	"0"	"563"	"0"
"26"	"20"	"12"	"3"	"142"	"308"	"12"	"1"	"3"	"38"	"21"	"22"	"3"	"565"	"0"	"565"	"0"
"27"	"21"	"8"	"10"	"309"	"174"	"21"	"7"	"3"	"8"	"39"	"21"	"18"	"618"	"0"	"618"	"0"
"28"	"22"	"7"	"11"	"219"	"191"	"12"	"5"	"25"	"8"	"4"	"21"	"11"	"514"	"0"	"514"	"0"
"29"	"23"	"12"	"42"	"128"	"253"	"11"	"3"	"2"	"1"	"15"	"12"	"6"	"485"	"0"	"485"	"0"
"30"	"24"	"14"	"16"	"318"	"247"	"17"	"14"	"10"	"6"	"30"	"17"	"12"	"701"	"0"	"701"	"0"
"31"	"25"	"5"	"23"	"175"	"219"	"7"	"10"	"21"	"6"	"9"	"10"	"12"	"497"	"0"	"497"	"0"
"32"	"26"	"6"	"9"	"111"	"202"	"6"	"3"	"57"	"2"	"25"	"13"	"6"	"440"	"0"	"440"	"0"
"33"	"27"	"6"	"11"	"103"	"183"	"13"	"8"	"80"	"4"	"9"	"23"	"17"	"457"	"0"	"457"	"0"
"34"	"28"	"4"	"16"	"346"	"211"	"11"	"6"	"8"	"8"	"15"	"14"	"4"	"643"	"0"	"643"	"0"
"35"	"Total"	"131"	"187"	"2935"	"3100"	"157"	"73"	"230"	"116"	"289"	"228"	"131"	"7577"	"0"	"7577"	"0"
"36"	"29"	"11"	"16"	"129"	"139"	"6"	"1"	"35"	"5"	"3"	"15"	"14"	"374"	"0"	"374"	"0"
"37"	"30"	"9"	"15"	"216"	"240"	"24"	"12"	"60"	"12"	"14"	"27"	"29"	"658"	"0"	"658"	"0"
"38"	"31"	"13"	"11"	"169"	"173"	"56"	"15"	"7"	"7"	"9"	"21"	"10"	"491"	"0"	"491"	"0"
"39"	"32"	"9"	"20"	"165"	"170"	"16"	"8"	"13"	"9"	"9"	"19"	"6"	"444"	"0"	"444"	"0"
"40"	"33"	"10"	"6"	"117"	"162"	"24"	"2"	"42"	"5"	"3"	"12"	"14"	"397"	"0"	"397"	"0"
"41"	"34"	"20"	"12"	"286"	"162"	"13"	"5"	"7"	"2"	"1"	"12"	"12"	"532"	"0"	"532"	"0"
"42"	"Sl.No of Polling"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid vots"	"No of Rejected vots"	"Total"	"No.of"
"43"	""	"Dina Nath Paswan"	"Prabhu Sahani"	"Radha Krishna Singh"	"Anil Choudhar y"	"Upendra Prasad Singh"	"Gulab Paswan"	"Naresh Kumar Das"	"Ram Balak Sahani"	"Anjana Raghav"	"Janki Devi"	"Raj Kishor Mahto"	""	""	""	"Tendered votes"
"44"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"45"	"35"	"15"	"43"	"105"	"155"	"8"	"5"	"9"	"5"	"11"	"22"	"25"	"403"	"0"	"403"	"0"
"46"	"36"	"6"	"31"	"132"	"151"	"38"	"8"	"16"	"13"	"7"	"9"	"18"	"429"	"0"	"429"	"0"
"47"	"37"	"19"	"84"	"219"	"176"	"18"	"6"	"16"	"9"	"7"	"18"	"17"	"589"	"0"	"589"	"0"
"48"	"38"	"9"	"197"	"269"	"80"	"2"	"4"	"11"	"4"	"12"	"6"	"6"	"600"	"0"	"600"	"0"
"49"	"39"	"10"	"15"	"245"	"73"	"13"	"3"	"84"	"9"	"10"	"19"	"22"	"503"	"0"	"503"	"0"
"50"	"40"	"28"	"18"	"429"	"102"	"22"	"8"	"13"	"8"	"16"	"25"	"14"	"683"	"0"	"683"	"0"
"51"	"41"	"10"	"27"	"146"	"232"	"13"	"7"	"3"	"7"	"9"	"22"	"9"	"485"	"0"	"485"	"0"
"52"	"42"	"7"	"14"	"260"	"247"	"31"	"14"	"14"	"6"	"11"	"24"	"25"	"653"	"0"	"653"	"0"
"53"	"Total"	"176"	"509"	"2887"	"2262"	"284"	"98"	"330"	"101"	"122"	"251"	"221"	"7241"	"0"	"7241"	"0"
"54"	"43"	"9"	"74"	"236"	"304"	"17"	"7"	"7"	"5"	"2"	"21"	"5"	"687"	"0"	"687"	"0"
"55"	"44"	"12"	"22"	"310"	"192"	"8"	"3"	"10"	"3"	"8"	"13"	"6"	"587"	"0"	"587"	"0"
"56"	"45"	"11"	"30"	"161"	"289"	"19"	"7"	"18"	"14"	"12"	"29"	"21"	"611"	"0"	"611"	"0"
"57"	"46"	"18"	"27"	"218"	"168"	"9"	"6"	"11"	"10"	"16"	"19"	"31"	"533"	"0"	"533"	"0"
"58"	"47"	"16"	"28"	"272"	"112"	"16"	"7"	"7"	"7"	"7"	"6"	"2"	"480"	"0"	"480"	"0"
"59"	"48"	"7"	"16"	"216"	"268"	"9"	"15"	"18"	"5"	"6"	"12"	"7"	"579"	"0"	"579"	"0"
"60"	"49"	"6"	"71"	"174"	"374"	"17"	"5"	"12"	"12"	"13"	"20"	"15"	"719"	"0"	"719"	"0"
"61"	"50"	"7"	"18"	"152"	"149"	"13"	"9"	"103"	"8"	"6"	"18"	"18"	"501"	"0"	"501"	"0"
"62"	"51"	"5"	"17"	"42"	"116"	"9"	"9"	"118"	"14"	"13"	"20"	"20"	"383"	"0"	"383"	"0"
"63"	"Sl.No of Polling"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid vots"	"No of Rejected vots"	"Total"	"No.of"
"64"	""	"Dina Nath Paswan"	"Prabhu Sahani"	"Radha Krishna Singh"	"Anil Choudhar y"	"Upendra Prasad Singh"	"Gulab Paswan"	"Naresh Kumar Das"	"Ram Balak Sahani"	"Anjana Raghav"	"Janki Devi"	"Raj Kishor Mahto"	""	""	""	"Tendered votes"
"65"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"66"	"52"	"15"	"8"	"46"	"41"	"280"	"3"	"12"	"3"	"2"	"5"	"9"	"424"	"0"	"424"	"0"
"67"	"53"	"13"	"6"	"29"	"51"	"368"	"4"	"15"	"4"	"4"	"3"	"14"	"511"	"0"	"511"	"0"
"68"	"54"	"9"	"26"	"80"	"261"	"92"	"3"	"2"	"5"	"2"	"10"	"11"	"501"	"0"	"501"	"0"
"69"	"55"	"15"	"80"	"85"	"134"	"87"	"9"	"57"	"13"	"7"	"19"	"19"	"525"	"0"	"525"	"0"
"70"	"56"	"12"	"24"	"108"	"132"	"149"	"8"	"9"	"13"	"9"	"19"	"24"	"507"	"0"	"507"	"0"
"71"	"Total"	"155"	"447"	"2129"	"2591"	"1093"	"95"	"399"	"116"	"107"	"214"	"202"	"7548"	"0"	"7548"	"0"
