"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Annexure.XLI..CHAPTER.XIV.PARA.26.9."	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	""	""	""	""	""	""	""	""	"FORM 20
FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	""	""	""	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 201-BUXAR CONSTITUENCY PART I
(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	""	"Total No. of Electors in Assembly Constituency Name of the Assembly Segment"	""	""	""	""	""	""	"210950+374=211324
201 BUXAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	""	"No. of Reject ed Votes"	""	"Total"	"No. of Tende red Votes"
"5"	""	""	"Anirudh Pandey"	"Jawahar Lal Choudhary"	"Nirmal Kumar Singh"	"Prof.Sukh ada Pandey"	"Ajay Choube y"	"Om Prakash Singh"	"Kamal Narayan Yadav"	"Krishna Murari Tiwari"	"Jitendr a Ram"	"Madho Singh"	"Rajendr a Prasad"	"Alyosha"	"Gopaljee Pandey"	"Mewati Devi"	"Veer Bahadur Upadhya y"	"Sudarsh an Singh"	"Hari Narayan Ram"	""	"Hridaya Narayan Singh"	""	""	""	""	""	""
"6"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""	"18"	""	""	""	""	""	""
"7"	"R
o u n d
1"	"1"	"21"	"1"	"4"	"35"	"2"	"4"	"0"	"3"	"1"	"0"	"1"	"1"	"2"	"2"	"0"	"5"	"0"	""	"25"	"-107"	""	"0"	""	"-107"	"0"
"8"	""	"1A"	"54"	"3"	"18"	"340"	"4"	"5"	"1"	"4"	"0"	"0"	"0"	"20"	"9"	"3"	"0"	"2"	"2"	""	"64"	"-529"	""	"0"	""	"-529"	"0"
"9"	""	"2"	"20"	"1"	"14"	"201"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"23"	"2"	"0"	"0"	"0"	"0"	""	"30"	"-299"	""	"0"	""	"-299"	"0"
"10"	""	"2A"	"26"	"0"	"30"	"326"	"8"	"1"	"2"	"2"	"1"	"0"	"0"	"47"	"0"	"1"	"0"	"2"	"1"	""	"78"	"-525"	""	"0"	""	"-525"	"0"
"11"	""	"3"	"55"	"1"	"15"	"263"	"9"	"3"	"1"	"2"	"0"	"1"	"1"	"55"	"2"	"0"	"1"	"7"	"7"	""	"77"	"-500"	""	"0"	""	"-500"	"0"
"12"	""	"4"	"85"	"1"	"7"	"291"	"24"	"9"	"3"	"2"	"4"	"1"	"4"	"19"	"13"	"5"	"2"	"4"	"10"	""	"143"	"-627"	""	"0"	""	"-627"	"0"
"13"	""	"5"	"41"	"9"	"162"	"62"	"24"	"115"	"2"	"3"	"2"	"8"	"5"	"19"	"20"	"3"	"1"	"4"	"8"	""	"192"	"-680"	""	"0"	""	"-680"	"0"
"14"	""	"6"	"23"	"2"	"98"	"39"	"26"	"4"	"0"	"1"	"1"	"1"	"5"	"35"	"15"	"4"	"2"	"6"	"6"	""	"151"	"-419"	""	"0"	""	"-419"	"0"
"15"	""	"7"	"81"	"4"	"12"	"185"	"13"	"30"	"11"	"6"	"7"	"2"	"4"	"28"	"14"	"14"	"5"	"5"	"3"	""	"81"	"-505"	""	"0"	""	"-505"	"0"
"16"	""	"8"	"12"	"0"	"5"	"199"	"7"	"2"	"0"	"1"	"0"	"0"	"2"	"30"	"10"	"2"	"2"	"7"	"3"	""	"190"	"-472"	""	"0"	""	"-472"	"0"
