"No.of..valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"3"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"4"	"1"	"29"	"18"	"198"	"10"	"6"	"183"	"12"	"7"	"20"	"13"	"11"	"507"	""	"507"	""
"5"	"2"	"143"	"5"	"60"	"5"	"3"	"187"	"14"	"4"	"16"	"5"	"28"	"470"	""	"470"	""
"6"	"3"	"63"	"13"	"256"	"4"	"4"	"300"	"16"	"8"	"23"	"14"	"10"	"711"	""	"711"	""
"7"	"4"	"59"	"5"	"290"	"4"	"2"	"125"	"12"	"5"	"10"	"5"	"15"	"532"	""	"532"	""
"8"	"5"	"107"	"11"	"231"	"4"	"2"	"320"	"20"	"7"	"20"	"6"	"8"	"736"	""	"736"	""
"9"	"6"	"26"	"15"	"304"	"9"	"2"	"66"	"9"	"1"	"9"	"7"	"12"	"460"	""	"460"	""
"10"	"7"	"12"	"9"	"205"	"15"	"0"	"40"	"3"	"3"	"5"	"3"	"10"	"305"	""	"305"	""
"11"	"8"	"11"	"0"	"46"	"0"	"1"	"435"	"8"	"0"	"10"	"1"	"8"	"520"	""	"520"	""
"12"	"9"	"46"	"8"	"199"	"5"	"10"	"225"	"23"	"5"	"16"	"21"	"11"	"569"	""	"569"	""
"13"	"10"	"20"	"5"	"104"	"11"	"0"	"199"	"6"	"0"	"7"	"2"	"1"	"355"	""	"355"	""
"14"	"11"	"54"	"8"	"209"	"10"	"7"	"38"	"4"	"7"	"12"	"50"	"26"	"425"	""	"425"	""
"15"	"12"	"16"	"6"	"253"	"57"	"4"	"126"	"14"	"4"	"10"	"8"	"12"	"510"	""	"510"	""
"16"	"13"	"96"	"8"	"75"	"21"	"4"	"190"	"17"	"9"	"19"	"12"	"18"	"469"	""	"469"	""
"17"	"14"	"5"	"2"	"147"	"9"	"0"	"20"	"0"	"0"	"2"	"4"	"0"	"189"	""	"189"	""
"18"	"Page Total"	"687"	"113"	"2577"	"164"	"45"	"2454"	"158"	"60"	"179"	"151"	"170"	"6758"	"0"	"6758"	"0"
"19"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Serial No.of Polling Station*"	"Ajit Kumar Mehta"	"Raj Kumar Ram"	"Ramchan dra
Singh Nishad"	"Md Chand"	"Bimla Devi"	"Sajan Kumar Mishra"	"Balmiki Prasad Singh"	"Rameshwar Yadav"	"Raushan Das"	"Lal Bahadur Pandit"	"Hasim"	"Total of valid votes"	"Total of
rejected votes"	"Total no. of
tendered votes"	"Total no. of
tendered votes"
"22"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"23"	"B.F."	"687"	"113"	"2577"	"164"	"45"	"2454"	"158"	"60"	"179"	"151"	"170"	"6758"	"0"	"6758"	"0"
"24"	"15"	"26"	"7"	"119"	"14"	"7"	"183"	"33"	"7"	"20"	"21"	"28"	"465"	""	"465"	""
"25"	"16"	"328"	"16"	"107"	"6"	"5"	"41"	"7"	"20"	"27"	"27"	"29"	"613"	""	"613"	""
"26"	"17"	"484"	"15"	"92"	"9"	"4"	"14"	"7"	"13"	"3"	"48"	"25"	"714"	""	"714"	""
"27"	"18"	"681"	"19"	"77"	"6"	"6"	"43"	"7"	"12"	"4"	"22"	"7"	"884"	""	"884"	""
"28"	"19"	"10"	"0"	"69"	"0"	"1"	"31"	"1"	"0"	"0"	"1"	"0"	"113"	""	"113"	""
"29"	"20"	"230"	"8"	"155"	"8"	"5"	"124"	"19"	"5"	"29"	"13"	"19"	"615"	""	"615"	""
"30"	"21"	"95"	"15"	"95"	"4"	"4"	"99"	"13"	"11"	"24"	"26"	"8"	"394"	""	"394"	""
"31"	"22"	"100"	"1"	"96"	"5"	"0"	"146"	"7"	"3"	"3"	"17"	"5"	"383"	""	"383"	""
"32"	"23"	"37"	"6"	"136"	"16"	"6"	"162"	"9"	"14"	"16"	"23"	"23"	"448"	""	"448"	""
"33"	"24"	"100"	"13"	"65"	"2"	"4"	"89"	"5"	"6"	"10"	"7"	"10"	"311"	""	"311"	""
"34"	"25"	"236"	"5"	"215"	"16"	"3"	"5"	"2"	"6"	"2"	"1"	"1"	"492"	""	"492"	""
