"TOTAL.NO.OF.ELECTORS.IN.59.MUZAFFARPUR.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X292547"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"PS NO"	"AMARNATH PANDEY"	"BISHESHWAR PRASAD SAMBHU"	"SURESH KUMAR SHARMA"	"ATIRANJAN PD. SRIVASTAVA"	"KARNAL HUSSAIN"	"GAYTRI KUMARI"	"DEEPAK KUMAR"	"NAND KUMAR"	"MD. RAHMATULLAH"	"RAGHUBIR SHARAN"	"BAIDHNATH BANKA"	"ANIRUDH SINGH"	"MD. IDRIS"	"KAPILDEO PASWAN"	"GYASUDDIN"	"DEWANAND SINGH"	"NANDKISHORE PRASAD"	"PANKAJ KUMAR"	"VIRENDRA SINGH"	"BHUPAL PD. SINGH"	"MUNNA"	"LALBABU PASWAN"	"VIJENDRA CHAUDHARY"	"SUDHIR KUMAR OJHA"	"SURESH PANDEY"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"2"	"1"	"39"	"2"	"95"	"0"	"1"	"0"	"0"	"39"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"3"	"0"	"3"	"0"	"3"	"2"	"165"	"1"	"4"	"363"	""	""
"3"	"2"	"41"	"1"	"303"	"2"	"0"	"2"	"0"	"7"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"2"	"0"	"10"	"0"	"0"	"2"	"157"	"1"	"1"	"533"	""	""
"4"	"3"	"108"	"2"	"54"	"0"	"2"	"0"	"7"	"39"	"4"	"2"	"1"	"0"	"7"	"5"	"5"	"15"	"7"	"2"	"1"	"2"	"1"	"10"	"373"	"7"	"8"	"662"	""	""
"5"	"4"	"84"	"9"	"66"	"1"	"0"	"1"	"0"	"55"	"1"	"0"	"0"	"0"	"2"	"1"	"5"	"8"	"7"	"2"	"5"	"2"	"2"	"12"	"345"	"1"	"10"	"619"	""	""
"6"	"4A"	"21"	"0"	"105"	"1"	"1"	"0"	"1"	"12"	"1"	"0"	"0"	"0"	"2"	"3"	"1"	"12"	"1"	"0"	"2"	"0"	"2"	"1"	"129"	"2"	"1"	"298"	""	""
"7"	"5"	"74"	"1"	"240"	"0"	"0"	"2"	"3"	"34"	"1"	"1"	"0"	"1"	"0"	"4"	"1"	"12"	"1"	"0"	"0"	"0"	"1"	"2"	"213"	"1"	"5"	"597"	""	""
"8"	"6"	"72"	"9"	"236"	"2"	"0"	"0"	"1"	"9"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"4"	"5"	"1"	"1"	"1"	"3"	"5"	"207"	"3"	"2"	"565"	""	""
"9"	"7"	"60"	"1"	"160"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"28"	"0"	"1"	"257"	""	""
"10"	"8"	"81"	"2"	"61"	"2"	"4"	"1"	"2"	"42"	"4"	"1"	"3"	"1"	"8"	"5"	"4"	"42"	"6"	"2"	"4"	"2"	"0"	"6"	"422"	"8"	"14"	"727"	""	""
