"FORM...........20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"BOOTH    NO"	"RAVINDAR KUMAR"	"PROF. RAVINDRA CHARAN YADAV"	"RENU KUMARI"	"DILIP KUMAR YADAV"	"DHIRENDRA KUMAR MEHTA"	"VINOD KUMAR"	"ARUN KUMAR YADAV"	"NARESH KUMAR YADAV"	"PRAMOD KUMAR MAHTO"	"SUNILA DEVI"	"TOTAL VALID VOTES"	"TOTAL REJECTED VOTES"	"TOTAL POSTAL VOTES POLLED"	"TOTAL VOTES POLLED"	"NO OF TENDER VOTES POLLED"
"2"	"1"	"38"	"51"	"303"	"4"	"17"	"1"	"4"	"11"	"2"	"15"	"446"	"0                 0               446               0"	""	""	""
"3"	"2"	"5"	"21"	"277"	"1"	"15"	"5"	"0"	"18"	"2"	"8"	"352"	"0"	"0"	"352"	"0"
"4"	"3"	"9"	"29"	"192"	"4"	"8"	"13"	"2"	"12"	"2"	"34"	"305"	"0"	"0"	"305"	"0"
"5"	"4"	"4"	"12"	"199"	"8"	"10"	"16"	"6"	"34"	"11"	"61"	"361"	"0"	"0"	"361"	"0"
"6"	"5"	"17"	"113"	"210"	"6"	"10"	"33"	"10"	"19"	"18"	"128"	"564"	"0"	"0"	"564"	"0"
"7"	"6"	"11"	"16"	"315"	"9"	"26"	"16"	"6"	"33"	"10"	"88"	"530"	"0"	"0"	"530"	"0"
"8"	"7"	"32"	"263"	"198"	"13"	"13"	"18"	"14"	"77"	"9"	"65"	"702"	"0"	"0"	"702"	"0"
"9"	"8"	"33"	"213"	"275"	"14"	"11"	"21"	"13"	"56"	"21"	"99"	"756"	"0"	"0"	"756"	"0"
"10"	"9"	"19"	"173"	"97"	"10"	"5"	"16"	"5"	"41"	"19"	"119"	"504"	"0"	"0"	"504"	"0"
"11"	"10"	"29"	"257"	"103"	"1"	"8"	"18"	"5"	"51"	"12"	"58"	"542"	"0"	"0"	"542"	"0"
"12"	"11"	"22"	"47"	"132"	"6"	"10"	"6"	"2"	"18"	"5"	"121"	"369"	"0"	"0"	"369"	"0"
"13"	"12"	"28"	"24"	"86"	"6"	"13"	"11"	"12"	"80"	"16"	"25"	"301"	"0"	"0"	"301"	"0"
"14"	"13"	"10"	"54"	"116"	"5"	"4"	"8"	"7"	"151"	"12"	"69"	"436"	"0"	"0"	"436"	"0"
"15"	"14"	"20"	"27"	"71"	"6"	"3"	"24"	"19"	"252"	"8"	"18"	"448"	"0"	"0"	"448"	"0"
"16"	"ROUND 1"	"277"	"1300"	"2574"	"93"	"153"	"206"	"105"	"853"	"147"	"908"	"6616"	"0"	"0"	"6616"	"0"
"17"	"15"	"21"	"30"	"116"	"3"	"9"	"11"	"12"	"221"	"0"	"0"	"423"	"0"	"0"	"423"	"0"
"18"	"16"	"18"	"214"	"262"	"5"	"7"	"13"	"17"	"175"	"10"	"31"	"752"	"0"	"0"	"752"	"0"
"19"	"17"	"11"	"148"	"102"	"5"	"3"	"3"	"18"	"560"	"12"	"25"	"887"	"0"	"0"	"887"	"0"
"20"	"18"	"14"	"76"	"38"	"4"	"6"	"8"	"10"	"395"	"5"	"13"	"569"	"0"	"0"	"569"	"0"
"21"	"19"	"17"	"51"	"292"	"5"	"21"	"6"	"6"	"69"	"5"	"10"	"482"	"0"	"0"	"482"	"0"
"22"	"20"	"8"	"35"	"203"	"1"	"6"	"9"	"7"	"139"	"3"	"1"	"412"	"0"	"0"	"412"	"0"
"23"	"21"	"22"	"165"	"140"	"4"	"8"	"39"	"16"	"152"	"16"	"11"	"573"	"0"	"0"	"573"	"0"
