"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"3"	"1"	"14"	"40"	"119"	"88"	"7"	"7"	"36"	"1"	"15"	"327"	""	"327"	""
"4"	"2"	"1"	"7"	"69"	"384"	"3"	"8"	"43"	"2"	"8"	"525"	""	"525"	""
"5"	"3"	"9"	"441"	"28"	"16"	"2"	"4"	"31"	"7"	"6"	"544"	"0"	"544"	"0"
"6"	"4"	"0"	"25"	"1"	"3"	"1"	"5"	"267"	"0"	"3"	"305"	"0"	"305"	"0"
"7"	"5"	"28"	"123"	"43"	"166"	"8"	"32"	"165"	"2"	"14"	"581"	"0"	"581"	"0"
"8"	"6"	"4"	"31"	"183"	"144"	"7"	"1"	"37"	"3"	"4"	"414"	"0"	"414"	"0"
"9"	"7"	"8"	"78"	"103"	"209"	"8"	"4"	"32"	"2"	"4"	"448"	"0"	"448"	"0"
"10"	"8"	"14"	"25"	"167"	"68"	"5"	"9"	"24"	"2"	"9"	"323"	"0"	"323"	"0"
"11"	"9"	"10"	"5"	"202"	"67"	"7"	"19"	"116"	"5"	"14"	"445"	"0"	"445"	"0"
"12"	"10"	"3"	"16"	"233"	"61"	"4"	"10"	"97"	"2"	"7"	"433"	"0"	"433"	"0"
"13"	"11"	"14"	"71"	"354"	"78"	"9"	"19"	"51"	"6"	"13"	"615"	"0"	"615"	"0"
"14"	"12"	"7"	"6"	"100"	"156"	"5"	"3"	"29"	"1"	"7"	"314"	"0"	"314"	"0"
"15"	"13"	"8"	"14"	"61"	"168"	"9"	"13"	"87"	"8"	"7"	"375"	"0"	"375"	"0"
"16"	"14"	"17"	"39"	"73"	"199"	"9"	"13"	"204"	"5"	"19"	"578"	"0"	"578"	"0"
"17"	"Total Round 1"	"137"	"921"	"1736"	"1807"	"84"	"147"	"1219"	"46"	"130"	"6227"	"0"	"6227"	"0"
"18"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"19"	""	"ABBAS"	"ASLAM"	"RAMDEV MAHTO"	"SATISH CHANDRA MISHRA"	"AJAY KUMAR PURVEY"	"KAILASH KUMAR SAH"	"RAJ KUMAR MAHASETH"	"WASI AHMAD"	"SANJAY KUMAR MAHTO"	""	""	""	""
"20"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"21"	"15"	"8"	"29"	"226"	"83"	"3"	"9"	"17"	"8"	"14"	"397"	"0"	"397"	"0"
