"No.of.Valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.Valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.tendere.d.votes"
"1"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"2"	"1"	"160"	"11"	"176"	"7"	"1"	"17"	"1"	"0"	"1"	"2"	"5"	"1"	"11"	"2"	"15"	"410"	"0"	"410"	"0"
"3"	"2"	"152"	"21"	"283"	"9"	"5"	"16"	"3"	"1"	"4"	"2"	"0"	"3"	"8"	"6"	"14"	"527"	"0"	"527"	"0"
"4"	"3"	"211"	"21"	"213"	"11"	"3"	"12"	"6"	"4"	"3"	"0"	"8"	"12"	"16"	"12"	"31"	"563"	"0"	"563"	"0"
"5"	"4"	"162"	"12"	"92"	"19"	"10"	"24"	"7"	"2"	"5"	"2"	"8"	"5"	"9"	"4"	"17"	"378"	"0"	"378"	"0"
"6"	"5"	"263"	"5"	"38"	"14"	"1"	"31"	"10"	"2"	"1"	"4"	"2"	"5"	"7"	"1"	"11"	"395"	"0"	"395"	"0"
"7"	"6"	"60"	"1"	"70"	"3"	"2"	"6"	"2"	"0"	"2"	"1"	"1"	"1"	"4"	"2"	"1"	"156"	"0"	"156"	"0"
"8"	"7"	"297"	"11"	"62"	"5"	"4"	"37"	"5"	"10"	"21"	"4"	"6"	"7"	"6"	"2"	"13"	"490"	"0"	"490"	"0"
"9"	"8"	"231"	"67"	"285"	"53"	"2"	"22"	"38"	"2"	"0"	"6"	"8"	"6"	"11"	"11"	"17"	"759"	"0"	"759"	"0"
"10"	"9"	"262"	"16"	"167"	"29"	"4"	"15"	"6"	"1"	"2"	"1"	"1"	"1"	"2"	"3"	"0"	"510"	"0"	"510"	"0"
"11"	"10"	"63"	"5"	"204"	"1"	"7"	"98"	"5"	"13"	"8"	"9"	"12"	"14"	"7"	"3"	"9"	"458"	"0"	"458"	"0"
"12"	"11"	"599"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"5"	"2"	"615"	"0"	"615"	"0"
"13"	"12"	"53"	"3"	"508"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"3"	"5"	"4"	"582"	"0"	"582"	"0"
"14"	"13"	"315"	"18"	"283"	"8"	"0"	"15"	"2"	"1"	"3"	"5"	"2"	"5"	"11"	"10"	"4"	"682"	"0"	"682"	"0"
"15"	"14"	"296"	"16"	"183"	"7"	"1"	"10"	"1"	"0"	"0"	"2"	"3"	"0"	"3"	"8"	"8"	"538"	"0"	"538"	"0"
"16"	"Round Total"	"3124"	"208"	"2570"	"167"	"41"	"304"	"87"	"36"	"50"	"38"	"57"	"63"	"98"	"74"	"146"	"7063"	"0"	"7063"	"0"
"17"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendere d votes"
"18"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"19"	"15"	"167"	"78"	"297"	"23"	"2"	"62"	"4"	"2"	"7"	"9"	"16"	"6"	"21"	"10"	"5"	"709"	"0"	"709"	"0"
"20"	"16"	"105"	"16"	"80"	"4"	"1"	"200"	"2"	"2"	"6"	"8"	"7"	"11"	"1"	"16"	"7"	"466"	"0"	"466"	"0"
"21"	"17"	"206"	"20"	"238"	"10"	"4"	"6"	"1"	"5"	"29"	"1"	"5"	"14"	"8"	"5"	"9"	"561"	"0"	"561"	"0"
"22"	"18"	"107"	"11"	"230"	"6"	"2"	"54"	"1"	"5"	"7"	"11"	"10"	"11"	"6"	"10"	"4"	"475"	"0"	"475"	"0"
"23"	"19"	"205"	"6"	"223"	"3"	"1"	"10"	"1"	"1"	"2"	"0"	"1"	"2"	"7"	"21"	"17"	"500"	"0"	"500"	"0"
"24"	"20"	"173"	"10"	"263"	"9"	"0"	"15"	"2"	"0"	"3"	"0"	"4"	"2"	"6"	"10"	"16"	"513"	"0"	"513"	"0"
"25"	"21"	"274"	"11"	"179"	"8"	"2"	"40"	"2"	"0"	"1"	"4"	"4"	"2"	"5"	"32"	"6"	"570"	"0"	"570"	"0"
"26"	"22"	"180"	"14"	"132"	"15"	"3"	"21"	"4"	"3"	"4"	"2"	"3"	"5"	"6"	"21"	"7"	"420"	"0"	"420"	"0"
"27"	"23"	"52"	"4"	"316"	"1"	"0"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"18"	"2"	"399"	"0"	"399"	"0"
"28"	"24"	"182"	"5"	"65"	"3"	"3"	"14"	"0"	"0"	"4"	"1"	"0"	"2"	"2"	"4"	"20"	"305"	"0"	"305"	"0"
"29"	"25"	"56"	"15"	"202"	"5"	"3"	"4"	"3"	"1"	"4"	"1"	"1"	"4"	"8"	"7"	"3"	"317"	"0"	"317"	"0"
"30"	"26"	"39"	"2"	"8"	"1"	"2"	"137"	"8"	"3"	"8"	"18"	"14"	"13"	"5"	"13"	"4"	"275"	"0"	"275"	"0"
"31"	"27"	"292"	"19"	"74"	"15"	"3"	"16"	"1"	"1"	"3"	"7"	"6"	"5"	"1"	"7"	"21"	"471"	"0"	"471"	"0"
"32"	"28"	"120"	"4"	"244"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"3"	"381"	"0"	"381"	"0"
"33"	"Round Total"	"2158"	"215"	"2551"	"104"	"26"	"585"	"31"	"24"	"78"	"62"	"71"	"78"	"76"	"179"	"124"	"6362"	"0"	"6362"	"0"
"34"	"No.of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No of rejected votes"	"Total"	"No of tendere d votes"
"35"	"Booth No."	"INDRADEO PRASAD"	"NEYAZUDDIN KHAN"	"BHUMENDRA NARAYAN SINGH"	"CHATURGUN PRSAD CHAUHAN"	"MUNIMANGAL DEO SHASHTRI"	"MD.RAFI"	"RAM AVTAR YADAV"	"RIZWAN AHMAD"	"ABIDUL FATAH"	"TARKESHWAR SINGH"	"DHARMA DEO CHAUBEY"	"MD.NAIM"	"NAGENDRA YADAV"	"NIRANJAN TIWARI"	"HRIDAYA   NAND SINGH"	""	""	""	""
"36"	"29"	"215"	"8"	"169"	"3"	"11"	"20"	"0"	"1"	"0"	"2"	"6"	"4"	"5"	"5"	"13"	"462"	"0"	"462"	"0"
"37"	"30"	"187"	"11"	"132"	"11"	"4"	"22"	"1"	"2"	"5"	"5"	"3"	"4"	"9"	"11"	"7"	"414"	"0"	"414"	"0"
"38"	"31"	"438"	"19"	"180"	"6"	"6"	"5"	"2"	"0"	"14"	"0"	"4"	"3"	"7"	"17"	"32"	"733"	"0"	"733"	"0"
