"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(SEE RULE 56 (7) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station  other than notified polling stations) Election to the Bihar Legislative assembly from the 171-SIKANDRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency-2,35,746"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Station."	"DEONATH DAS"	"PRAYAG CHOUDHAR Y"	"BRAHAMDE O ANAND PASWAN"	"RAJNI KUMARI CHOUDHARY"	"KRISHNA RAJAK"	""	"RAMESHW AR PASWAN"	"SADHU SHARAN SHAIL"	"SUBHAS PASWAN"	"KARU CHOUDHARY"	"PRAPHULL KUMAR MANJHI"	"RAM JEE CHOUDHARY"	"RAM LAGAN PASWAN"	"SHIVBALAK PASWAN"	"Total of valid votes"	""	"No. of rejected votes"	"Total"	"No. of tendered votes"
"6"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"15"	""	"16"	"17"	"18"
"7"	"1"	"4"	"442"	"12"	"0"	"1"	""	"18"	"0"	"0"	"2"	"7"	"1"	"0"	"2"	"489"	""	"&"	"489"	"&"
"8"	"2"	"5"	"130"	"43"	"19"	"9"	""	"85"	"3"	"5"	"11"	"38"	"15"	"5"	"4"	"372"	""	"&"	"372"	"&"
"9"	"3"	"0"	"314"	"4"	"2"	"0"	""	"77"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"400"	""	"&"	"400"	"&"
"10"	"4"	"1"	"14"	"6"	"2"	"2"	""	"400"	"7"	"3"	"10"	"4"	"0"	"0"	"6"	"455"	""	"&"	"455"	"&"
"11"	"5"	"0"	"25"	"54"	"6"	"1"	""	"80"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"172"	""	"&"	"172"	"&"
"12"	"6"	"8"	"70"	"16"	"3"	"5"	""	"204"	"3"	"5"	"7"	"3"	"0"	"3"	"4"	"331"	""	"&"	"331"	"&"
"13"	"7"	"55"	"112"	"17"	"5"	"1"	""	"415"	"4"	"4"	"6"	"2"	"1"	"2"	"5"	"629"	""	"&"	"629"	"&"
"14"	"8"	"11"	"143"	"4"	"3"	"2"	""	"194"	"5"	"2"	"10"	"2"	"0"	"2"	"2"	"380"	""	"&"	"380"	"&"
"15"	"9"	"1"	"67"	"1"	"0"	"0"	""	"105"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"177"	""	"&"	"177"	"&"
"16"	"10"	"14"	"115"	"24"	"3"	"4"	""	"121"	"6"	"3"	"20"	"3"	"8"	"7"	"14"	"342"	""	"&"	"342"	"&"
"17"	"11"	"30"	"254"	"124"	"13"	"10"	""	"186"	"10"	"1"	"13"	"4"	"5"	"7"	"16"	"673"	""	"&"	"673"	"&"
"18"	"12"	"27"	"169"	"163"	"23"	"10"	""	"184"	"30"	"3"	"7"	"4"	"3"	"1"	"18"	"642"	""	"&"	"642"	"&"
"19"	"13"	"5"	"35"	"7"	"8"	"0"	""	"111"	"7"	"5"	"17"	"5"	"4"	"7"	"21"	"232"	""	"&"	"232"	"&"
"20"	"14"	"6"	"52"	"7"	"3"	"5"	""	"219"	"10"	"7"	"25"	"2"	"1"	"3"	"12"	"352"	""	"&"	"352"	"&"
"21"	"15"	"18"	"203"	"48"	"8"	"3"	""	"133"	"5"	"6"	"18"	"5"	"7"	"15"	"11"	"480"	""	"&"	"480"	"&"
"22"	"16"	"12"	"105"	"13"	"1"	"3"	""	"185"	"2"	"2"	"7"	"0"	"2"	"4"	"10"	"346"	""	"&"	"346"	"&"
"23"	"17"	"6"	"325"	"24"	"3"	"4"	""	"234"	"5"	"0"	"17"	"5"	"1"	"1"	"9"	"634"	""	"&"	"634"	"&"
"24"	"18"	"13"	"171"	"7"	"3"	"6"	""	"166"	"9"	"5"	"11"	"8"	"7"	"5"	"27"	"438"	""	"&"	"438"	"&"
"25"	"19"	"13"	"313"	"9"	"5"	"2"	""	"120"	"7"	"0"	"12"	"7"	"2"	"1"	"1"	"492"	""	"&"	"492"	"&"
"26"	"20"	"10"	"153"	"12"	"4"	"4"	""	"99"	"3"	"3"	"9"	"4"	"11"	"16"	"27"	"355"	""	"&"	"355"	"&"
"27"	"21"	"15"	"176"	"27"	"1"	"4"	""	"141"	"4"	"3"	"8"	"2"	"2"	"1"	"2"	"386"	""	"&"	"386"	"&"
"28"	"22"	"19"	"119"	"8"	"0"	"0"	""	"20"	"3"	"3"	"4"	"4"	"2"	"3"	"5"	"190"	""	"&"	"190"	"&"
"29"	"23"	"4"	"110"	"10"	"1"	"4"	""	"247"	"3"	"1"	"17"	"17"	"7"	"3"	"1"	"425"	""	"&"	"425"	"&"
"30"	"24"	"2"	"283"	"9"	"0"	"1"	""	"173"	"2"	"1"	"5"	"51"	"2"	"1"	"1"	"531"	""	"&"	"531"	"&"
"31"	"25"	"2"	"53"	"14"	"5"	"0"	""	"210"	"4"	"1"	"9"	"3"	"0"	"2"	"5"	"308"	""	"&"	"308"	"&"
"32"	"26"	"3"	"142"	"20"	"5"	"1"	""	"294"	"3"	"0"	"10"	"17"	"11"	"2"	"2"	"510"	""	"&"	"510"	"&"
"33"	"Sl. No. of Polling Station."	"DEONATH DAS"	"PRAYAG CHOUDHAR Y"	"BRAHAMDE O ANAND PASWAN"	"RAJNI KUMARI CHOUDHARY"	"KRISHNA RAJAK"	""	"RAMESHW AR PASWAN"	"SADHU SHARAN SHAIL"	"SUBHAS PASWAN"	"KARU CHOUDHARY"	"PRAPHULL KUMAR MANJHI"	"RAM JEE CHOUDHARY"	"RAM LAGAN PASWAN"	"SHIVBALAK PASWAN"	"Total of valid votes"	""	"No. of rejected votes"	"Total"	"No. of tendered votes"
"34"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"15"	""	"16"	"17"	"18"
"35"	"27"	"24"	"235"	"57"	"8"	"7"	""	"203"	"66"	"12"	"19"	"32"	"24"	"18"	"51"	"756"	""	"&"	"756"	"&"
"36"	"28"	"21"	"145"	"12"	"1"	"5"	""	"41"	"1"	"0"	"1"	"1"	"1"	"4"	"7"	"240"	""	"&"	"240"	"&"
"37"	"29"	"0"	"410"	"4"	"0"	"1"	""	"293"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"710"	""	"&"	"710"	"&"
"38"	"30"	"4"	"264"	"2"	"2"	"6"	""	"284"	"8"	"0"	"9"	"2"	"3"	"1"	"7"	"592"	""	"&"	"592"	"&"
"39"	"31"	"5"	"333"	"8"	"14"	"1"	""	"244"	"8"	"4"	"8"	"0"	"0"	"0"	"5"	"630"	""	"&"	"630"	"&"
"40"	"32"	"0"	"66"	"1"	"1"	"1"	""	"285"	"0"	"0"	"3"	"1"	"2"	"0"	"1"	"361"	""	"&"	"361"	"&"
"41"	"33"	"5"	"99"	"103"	"3"	"7"	""	"140"	"3"	"6"	"16"	"1"	"6"	"0"	"6"	"395"	""	"&"	"395"	"&"
"42"	"34"	"5"	"21"	"14"	"11"	"5"	""	"19"	"9"	"3"	"4"	"33"	"3"	"2"	"10"	"139"	""	"&"	"139"	"&"
"43"	"35"	"5"	"81"	"60"	"4"	"1"	""	"199"	"10"	"2"	"9"	"2"	"2"	"3"	"5"	"383"	""	"&"	"383"	"&"
"44"	"36"	"9"	"53"	"179"	"15"	"8"	""	"156"	"11"	"4"	"15"	"1"	"8"	"1"	"7"	"467"	""	"&"	"467"	"&"
"45"	"37"	"31"	"17"	"1"	"1"	"1"	""	"458"	"1"	"1"	"4"	"1"	"0"	"0"	"4"	"520"	""	"&"	"520"	"&"
"46"	"38"	"23"	"38"	"3"	"0"	"3"	""	"520"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"591"	""	"&"	"591"	"&"
"47"	"39"	"5"	"222"	"11"	"1"	"4"	""	"351"	"2"	"1"	"2"	"1"	"0"	"4"	"1"	"605"	""	"&"	"605"	"&"
"48"	"40"	"5"	"10"	"11"	"5"	"5"	""	"255"	"3"	"5"	"13"	"0"	"2"	"1"	"0"	"315"	""	"&"	"315"	"&"
"49"	"41"	"0"	"8"	"24"	"0"	"0"	""	"517"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"551"	""	"&"	"551"	"&"
"50"	"42"	"8"	"55"	"48"	"9"	"4"	""	"188"	"14"	"5"	"26"	"5"	"3"	"4"	"12"	"381"	""	"&"	"381"	"&"
"51"	"43"	"16"	"150"	"20"	"2"	"2"	""	"174"	"26"	"2"	"10"	"1"	"2"	"3"	"12"	"420"	""	"&"	"420"	"&"
"52"	"44"	"15"	"71"	"18"	"2"	"4"	""	"288"	"3"	"3"	"6"	"10"	"4"	"0"	"7"	"431"	""	"&"	"431"	"&"
"53"	"45"	"3"	"40"	"14"	"4"	"3"	""	"281"	"1"	"1"	"9"	"26"	"5"	"2"	"5"	"394"	""	"&"	"394"	"&"
"54"	"46"	"17"	"172"	"5"	"6"	"4"	""	"169"	"3"	"0"	"13"	"24"	"3"	"5"	"6"	"427"	""	"&"	"427"	"&"
