"PS.NO"	"ASHOK.KUMAR.SINGH"	"MAHESHWAR.PRASAD.YADAV"	"RAM.BABU.SINGH"	"AJAY.SINGH"	"CHANDAN.KUMAR.SINGH"	"JITENDRA.YADAV"	"BAKHTIYAR.AHMAD"	"MEERA.DEVI"	"SATYANARAYAN.MANDAL"	"RAMBHA.SINHA"	"VAKIL.SAHANI"	"VIJYA.SINGH"	"MD..SOHAIL"	"SANJEEV.KUMAR"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"1"	1	147	295	16	4	4	7	7	11	6	6	35	17	34	9	-598	""	""
"2"	2	10	102	3	1	2	1	361	10	12	0	2	2	21	2	-529	""	""
"3"	3	0	31	4	2	0	0	198	3	3	1	1	1	7	0	-251	""	""
"4"	4	94	246	16	14	5	14	19	3	18	11	45	7	35	12	-539	""	""
"5"	5	26	131	5	2	1	4	99	3	4	2	83	2	1	3	-366	""	""
"6"	6	42	102	13	22	3	8	76	9	8	10	115	4	14	10	-436	""	""
"7"	7	42	157	19	7	3	4	16	7	31	2	104	12	12	2	-418	""	""
"8"	8	24	292	10	6	3	3	2	6	2	6	132	1	11	6	-504	""	""
"9"	9	1	74	1	2	0	0	512	4	4	1	3	0	3	0	-605	""	""
"10"	10	2	63	2	1	0	0	492	3	4	1	0	6	4	2	-580	""	""
"11"	11	35	30	78	2	4	2	171	17	8	3	110	2	10	1	-473	""	""
"12"	12	99	128	9	12	1	8	13	7	14	7	145	4	16	11	-474	""	""
"13"	13	188	71	6	7	0	0	4	1	7	0	9	3	7	1	-304	""	""
"14"	14	201	222	10	5	2	2	49	5	7	6	45	9	28	4	-595	""	""
"15"	15	128	253	21	6	8	8	10	3	5	12	128	13	27	13	-635	""	""
"16"	16	165	49	13	7	3	2	53	10	11	10	138	22	36	9	-528	""	""
"17"	17	113	171	18	10	8	4	16	7	9	10	44	63	42	14	-529	""	""
"18"	18	355	125	15	12	10	4	23	16	13	17	120	15	47	9	-781	""	""
"19"	19	148	172	6	5	3	2	4	4	9	3	57	4	25	1	-443	""	""
"20"	20	148	96	5	9	6	7	4	6	7	4	95	5	20	6	-418	""	""
"21"	21	75	248	30	9	4	13	35	9	7	3	53	6	35	11	-538	""	""
"22"	22	15	725	1	0	0	12	17	1	2	0	44	1	0	1	-819	""	""
"23"	23	255	31	1	3	1	5	9	6	2	3	153	7	6	2	-484	""	""
"24"	24	147	237	68	14	10	16	16	14	17	17	138	5	11	6	-716	""	""
"25"	25	93	13	234	4	2	1	0	1	0	10	0	0	1	0	-359	""	""
"26"	26	23	45	155	6	2	1	3	1	2	9	1	4	16	6	-274	""	""
"27"	27	81	79	112	11	9	5	12	14	13	66	82	27	19	4	-534	""	""
"28"	28	134	67	267	9	3	6	13	4	6	6	10	9	13	3	-550	""	""
"29"	29	63	54	81	9	2	4	5	4	6	41	30	23	17	10	-349	""	""
"30"	30	69	213	12	3	1	1	149	14	4	1	6	4	14	8	-499	""	""
"31"	31	91	185	17	14	3	8	224	23	13	10	208	8	17	8	-829	""	""
"32"	32	235	232	25	10	6	5	50	2	10	5	79	12	26	8	-705	""	""
"33"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"34"	33	106	314	9	12	1	6	65	6	6	12	98	9	17	6	-667	""	""
"35"	34	26	169	10	4	2	2	283	10	6	4	11	1	13	5	-546	""	""
"36"	35	112	249	11	6	3	3	116	4	10	4	41	6	21	3	-589	""	""
"37"	36	124	253	18	2	2	1	8	3	2	2	158	4	9	3	-589	""	""
"38"	37	124	10	7	1	0	2	229	28	12	6	2	1	15	1	-438	""	""
"39"	38	69	67	9	3	1	2	16	1	0	1	9	3	9	0	-190	""	""
"40"	39	84	293	18	8	6	8	23	11	6	6	94	6	17	10	-590	""	""
"41"	40	23	194	5	2	2	2	196	8	4	0	1	4	8	1	-450	""	""
"42"	41	7	532	2	1	0	0	3	0	0	1	4	0	0	1	-551	""	""
"43"	42	137	222	16	4	0	4	44	2	7	4	90	5	29	12	-576	""	""
"44"	43	321	138	21	5	0	5	93	5	14	7	12	5	9	4	-639	""	""
"45"	44	129	177	18	8	3	3	7	1	11	7	85	6	12	9	-476	""	""
"46"	45	83	159	8	10	2	1	156	7	10	8	62	4	18	13	-541	""	""
"47"	46	19	163	14	9	1	5	209	3	5	4	23	17	7	4	-483	""	""
"48"	47	26	101	4	11	2	4	183	16	10	6	88	9	25	7	-492	""	""
"49"	48	8	44	4	7	0	1	379	7	2	1	15	49	2	0	-519	""	""
"50"	49	11	225	4	5	0	1	253	6	5	1	2	13	2	2	-530	""	""
"51"	50	36	57	2	3	3	6	9	4	6	0	38	178	4	4	-350	""	""
"52"	51	9	144	5	0	5	4	215	3	2	0	1	77	9	6	-480	""	""
"53"	52	149	210	12	5	2	1	30	1	8	3	10	16	0	0	-447	""	""
"54"	53	26	238	12	6	3	5	16	11	7	1	44	8	15	3	-395	""	""
"55"	54	22	128	7	4	0	2	169	8	5	1	2	18	19	9	-394	""	""
"56"	55	89	40	0	0	4	4	2	1	2	1	4	407	3	4	-561	""	""
"57"	56	17	208	7	12	0	2	12	0	1	1	5	329	1	2	-597	""	""
"58"	57	206	77	4	9	4	7	8	3	6	7	49	62	29	6	-477	""	""
"59"	58	16	143	7	4	5	1	2	2	0	2	8	1	4	8	-203	""	""
"60"	59	392	2	0	0	0	0	5	1	0	0	1	0	0	0	-401	""	""
