"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"Total.of.valid.Votes"	"No..of.rejected.votes"	"X..21"	"TOTAL"	"X..22"	"No..of.tendered.Votes"	"X..23"	"X..24"
"1"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"2"	"1"	"97"	"171"	"44"	"12"	"347"	"6"	"3"	"3"	"1"	"5"	"5"	"5"	"5"	"134"	"9"	"21"	"10"	"6"	"2"	"2"	"3"	"1"	"892"	"0"	""	"892"	""	"0"	""	""
"3"	"2"	"42"	"62"	"7"	"16"	"153"	"4"	"0"	"1"	"2"	"2"	"0"	"1"	"4"	"173"	"3"	"4"	"9"	"1"	"1"	"2"	"6"	"2"	"495"	"0"	""	"495"	""	"0"	""	""
"4"	"3"	"45"	"78"	"8"	"14"	"124"	"3"	"1"	"3"	"1"	"1"	"2"	"2"	"6"	"238"	"2"	"3"	"3"	"3"	"4"	"0"	"0"	"2"	"543"	"0"	""	"543"	""	"0"	""	""
"5"	"4"	"70"	"161"	"6"	"9"	"108"	"8"	"6"	"1"	"4"	"3"	"2"	"4"	"7"	"76"	"9"	"14"	"2"	"8"	"19"	"2"	"2"	"4"	"525"	"0"	""	"525"	""	"0"	""	""
"6"	"5"	"31"	"79"	"6"	"7"	"176"	"6"	"3"	"4"	"1"	"2"	"4"	"5"	"2"	"132"	"4"	"3"	"4"	"1"	"2"	"0"	"8"	"1"	"481"	"0"	""	"481"	""	"0"	""	""
"7"	"6"	"90"	"257"	"16"	"3"	"3"	"3"	"2"	"1"	"0"	"4"	"0"	"0"	"0"	"104"	"1"	"3"	"2"	"4"	"2"	"0"	"0"	"4"	"499"	"0"	""	"499"	""	"0"	""	""
"8"	"7"	"78"	"274"	"12"	"5"	"57"	"15"	"2"	"1"	"0"	"2"	"3"	"3"	"2"	"95"	"8"	"9"	"12"	"4"	"4"	"3"	"4"	"2"	"595"	"0"	""	"595"	""	"0"	""	""
"9"	"8"	"96"	"314"	"13"	"14"	"70"	"2"	"3"	"3"	"1"	"4"	"3"	"1"	"2"	"19"	"6"	"7"	"10"	"14"	"6"	"5"	"9"	"8"	"610"	"0"	""	"610"	""	"0"	""	""
"10"	"9"	"39"	"440"	"7"	"7"	"95"	"3"	"2"	"8"	"1"	"8"	"4"	"2"	"2"	"30"	"3"	"5"	"5"	"4"	"3"	"0"	"1"	"0"	"669"	"0"	""	"669"	""	"0"	""	""
"11"	"10"	"45"	"289"	"8"	"3"	"153"	"1"	"1"	"5"	"6"	"37"	"2"	"1"	"0"	"38"	"5"	"7"	"15"	"6"	"8"	"2"	"5"	"4"	"641"	"0"	""	"641"	""	"0"	""	""
"12"	"11"	"86"	"171"	"18"	"1"	"3"	"10"	"0"	"1"	"5"	"10"	"0"	"4"	"3"	"7"	"8"	"3"	"5"	"109"	"3"	"0"	"1"	"3"	"451"	"0"	""	"451"	""	"0"	""	""
"13"	"12"	"86"	"454"	"33"	"5"	"45"	"3"	"4"	"0"	"1"	"7"	"1"	"1"	"1"	"53"	"5"	"3"	"2"	"7"	"51"	"3"	"1"	"1"	"767"	"0"	""	"767"	""	"0"	""	""
"14"	"13"	"10"	"356"	"2"	"0"	"21"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"13"	"0"	"1"	"0"	"0"	"15"	"1"	"0"	"0"	"424"	"0"	""	"424"	""	"0"	""	""
"15"	"14"	"64"	"265"	"5"	"0"	"3"	"2"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"26"	"4"	"2"	"2"	"5"	"1"	"0"	"0"	"3"	"387"	"0"	""	"387"	""	"0"	""	""
"16"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected votes"	""	"TOTAL"	""	"No. of tendered Votes"	""	""
"17"	""	"GULAM SHAHID"	"MAHENDRA NARAYAN YADAV"	"RAJ KUMAR MANDAL"	"RAJIV NAYAN"	"VINOD KUMAR SINGH"	"ABDUL RAHMAN"	"ASRAFUL HAQUE CHAUDHARY"	"RABI PRAKASH PASWAN"	"KRISHNA NAND RAI"	"GULAM MURTUZA"	"GOPAL CHANDRA RAI"	"MD. GOLAM RABBANI"	"GHANSHYAM SINGH"	"JAILAL PRASAD SINGH KUSHWAHA"	"MD. ZIYAUDDIN"	"DAROGA PRASAD SINGH"	"PHANILAL SAH"	"MUVARAK ALI"	"VIBHUTI NATH SINGH"	"SHIVNANDAN MANDAL"	"SHYAM KUMAR SINGH"	"SUDARSHAN CHADRA PAL"	""	""	""	""	""	""	""	""
"18"	"15"	"58"	"170"	"21"	"1"	"64"	"3"	"0"	"2"	"4"	"9"	"6"	"3"	"7"	"395"	"16"	"10"	"0"	"1"	"0"	"1"	"0"	"0"	"771"	"0"	""	"771"	""	"0"	""	""
"19"	"16"	"39"	"202"	"4"	"5"	"184"	"6"	"2"	"2"	"0"	"0"	"0"	"1"	"5"	"80"	"9"	"10"	"4"	"2"	"2"	"1"	"3"	"2"	"563"	"0"	""	"563"	""	"0"	""	""
"20"	"17"	"45"	"354"	"10"	"9"	"159"	"142"	"8"	"5"	"10"	"9"	"4"	"10"	"4"	"62"	"10"	"11"	"4"	"4"	"42"	"0"	"0"	"0"	"902"	"0"	""	"902"	""	"0"	""	""
"21"	"18"	"22"	"446"	"21"	"3"	"31"	"3"	"0"	"0"	"4"	"1"	"0"	"2"	"1"	"35"	"4"	"1"	"1"	"4"	"4"	"0"	"1"	"0"	"584"	"0"	""	"584"	""	"0"	""	""
"22"	"19"	"15"	"291"	"3"	"1"	"44"	"3"	"2"	"6"	"2"	"5"	"7"	"4"	"31"	"26"	"4"	"3"	"4"	"5"	"7"	"0"	"3"	"3"	"469"	"0"	""	"469"	""	"0"	""	""
"23"	"20"	"17"	"229"	"21"	"4"	"21"	"71"	"1"	"4"	"5"	"3"	"4"	"6"	"2"	"2"	"10"	"9"	"2"	"9"	"50"	"0"	"1"	"2"	"473"	"0"	""	"473"	""	"0"	""	""
"24"	"21"	"119"	"242"	"42"	"28"	"39"	"6"	"8"	"4"	"5"	"25"	"9"	"8"	"5"	"175"	"21"	"45"	"4"	"1"	"2"	"0"	"1"	"4"	"793"	"0"	""	"793"	""	"0"	""	""
"25"	"22"	"42"	"315"	"19"	"4"	"65"	"5"	"2"	"0"	"3"	"2"	"0"	"1"	"2"	"41"	"9"	"4"	"5"	"3"	"1"	"0"	"2"	"1"	"526"	"0"	""	"526"	""	"0"	""	""
"26"	"23"	"13"	"340"	"20"	"6"	"7"	"2"	"1"	"4"	"1"	"3"	"5"	"4"	"8"	"64"	"38"	"20"	"4"	"21"	"3"	"1"	"3"	"6"	"574"	"0"	""	"574"	""	"0"	""	""
"27"	"24"	"141"	"26"	"8"	"2"	"7"	"3"	"0"	"3"	"2"	"1"	"1"	"5"	"4"	"362"	"4"	"5"	"2"	"0"	"1"	"0"	"1"	"1"	"579"	"0"	""	"579"	""	"0"	""	""
"28"	"25"	"158"	"106"	"5"	"6"	"15"	"1"	"3"	"6"	"3"	"4"	"4"	"5"	"10"	"323"	"4"	"15"	"10"	"3"	"8"	"0"	"0"	"3"	"692"	"0"	""	"692"	""	"0"	""	""
"29"	"26"	"130"	"110"	"4"	"2"	"12"	"5"	"2"	"3"	"3"	"3"	"3"	"7"	"3"	"139"	"0"	"4"	"10"	"4"	"3"	"1"	"2"	"0"	"450"	"0"	""	"450"	""	"0"	""	""
"30"	"27"	"43"	"270"	"12"	"14"	"125"	"7"	"1"	"4"	"2"	"5"	"5"	"9"	"10"	"176"	"6"	"20"	"3"	"6"	"53"	"0"	"4"	"1"	"776"	"0"	""	"776"	""	"0"	""	""
