"X.Statutory.Rules.and.Order.........................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"6"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"8"	"1"	"294"	"119"	"42"	"7"	"6"	"468"	"0"	"468"	"0"
"9"	"2"	"331"	"232"	"64"	"23"	"24"	"674"	"0"	"674"	"0"
"10"	"3"	"82"	"258"	"66"	"6"	"6"	"418"	"0"	"418"	"0"
"11"	"4"	"86"	"214"	"111"	"18"	"21"	"450"	"0"	"450"	"0"
"12"	"5"	"166"	"262"	"71"	"9"	"11"	"519"	"0"	"519"	"0"
"13"	"6"	"457"	"156"	"39"	"23"	"19"	"694"	"0"	"694"	"0"
"14"	"7"	"395"	"117"	"8"	"12"	"8"	"540"	"0"	"540"	"0"
"15"	"8"	"540"	"80"	"12"	"16"	"21"	"669"	"0"	"669"	"0"
"16"	"9"	"622"	"195"	"21"	"29"	"21"	"888"	"0"	"888"	"0"
"17"	"10"	"450"	"158"	"24"	"13"	"8"	"653"	"0"	"653"	"0"
"18"	"11"	"466"	"119"	"9"	"12"	"3"	"609"	"0"	"609"	"0"
"19"	"12"	"579"	"97"	"19"	"11"	"12"	"718"	"0"	"718"	"0"
"20"	"13"	"440"	"79"	"18"	"24"	"10"	"571"	"0"	"571"	""
"21"	"14"	"528"	"251"	"28"	"25"	"25"	"857"	"0"	"857"	"0"
"22"	"Current Round Total"	"5436"	"2337"	"532"	"228"	"195"	"8728"	"0"	"8728"	"0"
"23"	"Returning Officer"	""	""	""	""	""	""	""	""	""
"24"	"132-JOKIHAT"	""	""	""	""	""	""	""	""	""
"25"	"(Statutory Rules and Order)                                                        ROUND : SECOND"	""	""	""	""	""	""	""	""	""
"26"	"FORM 20"	""	""	""	""	""	""	""	""	""
"27"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"28"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"29"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"30"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"31"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"32"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"33"	"15"	"604"	"153"	"19"	"41"	"17"	"834"	"0"	"834"	"0"
"34"	"16"	"478"	"51"	"8"	"15"	"11"	"563"	"0"	"563"	"0"
"35"	"17"	"384"	"87"	"8"	"13"	"2"	"494"	"0"	"494"	"0"
"36"	"18"	"406"	"60"	"5"	"9"	"6"	"486"	"0"	"486"	"0"
"37"	"19"	"429"	"86"	"11"	"10"	"13"	"549"	"0"	"549"	"0"
"38"	"20"	"534"	"63"	"11"	"7"	"4"	"619"	"0"	"619"	"0"
"39"	"21"	"636"	"161"	"22"	"29"	"42"	"890"	"0"	"890"	"0"
"40"	"22"	"223"	"595"	"24"	"22"	"14"	"878"	"0"	"878"	"0"
"41"	"23"	"588"	"87"	"8"	"11"	"4"	"698"	"0"	"698"	"0"
"42"	"24"	"365"	"336"	"21"	"19"	"9"	"750"	"0"	"750"	"0"
"43"	"25"	"480"	"96"	"6"	"15"	"4"	"601"	"0"	"601"	"0"
"44"	"26"	"428"	"122"	"22"	"18"	"5"	"595"	"0"	"595"	"0"
"45"	"27"	"466"	"193"	"8"	"7"	"12"	"686"	"0"	"686"	"0"
"46"	"28"	"275"	"110"	"7"	"21"	"5"	"418"	"0"	"418"	"0"
"47"	"Current Round Total"	"6296"	"2200"	"180"	"237"	"148"	"9061"	"0"	"9061"	"0"
"48"	"Previous Round Total"	"5436"	"2337"	"532"	"228"	"195"	"8728"	"0"	"8728"	"0"
"49"	"TOTAL"	"11732"	"4537"	"712"	"465"	"343"	"17789"	"0"	"17789"	"0"
"50"	"(Statutory Rules and Order)                                                        ROUND : THIRD"	""	""	""	""	""	""	""	""	""
"51"	"FORM 20"	""	""	""	""	""	""	""	""	""
"52"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"53"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""
"54"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""
"55"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"56"	""	"MANZAR ALAM"	"SARFRAZ ALAM"	"NASIMUR RAHMAN"	"MOVINUL HAQUE"	"BHUMA NAND RISI"	""	""	""	""
"57"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"58"	"29"	"550"	"128"	"19"	"23"	"13"	"733"	"0"	"733"	"0"
"59"	"30"	"465"	"192"	"25"	"26"	"9"	"717"	"0"	"717"	"0"
"60"	"31"	"470"	"257"	"13"	"17"	"7"	"764"	"0"	"764"	"0"
"61"	"32"	"350"	"238"	"19"	"24"	"9"	"640"	"0"	"640"	"0"
"62"	"33"	"292"	"158"	"3"	"10"	"3"	"466"	"0"	"466"	"0"
"63"	"34"	"582"	"200"	"12"	"18"	"7"	"819"	"0"	"819"	"0"
"64"	"35"	"427"	"127"	"5"	"20"	"10"	"589"	"0"	"589"	"0"
"65"	"36"	"312"	"62"	"6"	"24"	"6"	"410"	"0"	"410"	"0"
"66"	"37"	"643"	"95"	"10"	"40"	"7"	"795"	"0"	"795"	"0"
"67"	"38"	"526"	"95"	"13"	"33"	"19"	"686"	"0"	"686"	"0"
"68"	"39"	"401"	"77"	"3"	"23"	"8"	"512"	"0"	"512"	"0"
"69"	"40"	"529"	"144"	"9"	"21"	"15"	"718"	"0"	"718"	"0"
