"izi......20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"vafre ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"8&csfr;k fo/kku lHkk fuokZpu {ks= ds fy, fuokZpu "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k & 264754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"vH;fFkZ;ksa ds i{k  esa  Mkys x;s oS| erksa  dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsUnz la0"	"d`\".k dqekj fcUn"	"uosUnq prqosZnh"	"js.kq nsoh"	"MkW0 laat;
tk;loky"	"vkfnR; jatu
flag"	"fcjcy ;kno"	"jkenso egrks"	"vQlkj vkye"	"vCnqy dS'k"	"n;kuUn dqekj
oekZ"	"jktdqekj Bkdqj"	"'kehe v[rj"	"'kgkcmíhu
egEen"	"e0 lks,sc"	"oS| erksa dk
;ksx"	"vLohd`r erksa
dk ;ksx"	";ksx"	"fufonr eri=ksa
dh la[;k"	""
"6"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	""
"7"	"1"	"2"	"4"	"411"	"35"	"3"	"2"	"2"	"1"	"2"	"1"	"1"	"35"	"3"	"6"	"508"	"0"	"508"	"0"	""
"8"	"2"	"6"	"8"	"314"	"14"	"3"	"17"	"2"	"0"	"3"	"0"	"0"	"112"	"0"	"1"	"480"	"0"	"480"	"0"	""
"9"	"3"	"5"	"2"	"415"	"48"	"6"	"11"	"2"	"1"	"2"	"3"	"4"	"149"	"3"	"4"	"655"	"0"	"655"	"0"	""
"10"	"4"	"1"	"3"	"223"	"26"	"1"	"1"	"1"	"2"	"1"	"1"	"0"	"131"	"3"	"1"	"395"	"0"	"395"	"0"	""
"11"	"5"	"4"	"2"	"411"	"34"	"7"	"9"	"1"	"3"	"1"	"2"	"1"	"134"	"4"	"4"	"617"	"0"	"617"	"0"	""
"12"	"6"	"0"	"2"	"137"	"9"	"2"	"9"	"0"	"0"	"0"	"1"	"1"	"205"	"1"	"1"	"368"	"0"	"368"	"0"	""
"13"	"7"	"8"	"2"	"231"	"36"	"3"	"3"	"2"	"2"	"1"	"1"	"4"	"195"	"17"	"2"	"507"	"0"	"507"	"0"	""
"14"	"8"	"8"	"1"	"189"	"25"	"0"	"3"	"1"	"1"	"0"	"0"	"1"	"153"	"2"	"2"	"386"	"0"	"386"	"0"	""
"15"	"8v"	"2"	"1"	"244"	"42"	"2"	"1"	"0"	"4"	"1"	"1"	"2"	"52"	"3"	"4"	"359"	"0"	"359"	"0"	""
