"Serial.No.of.Polling.Station"	"No..of.Valid.Votes.cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.of.Valid.votes"	"No..of.rejected.votes"	"Total"	"No.of.total.voter"	"X..16"
"1"	""	"Rajesh Kumar Singh (Raju Yadav)"	"Ramcharitra Prasad Singh"	"Vijay Kumar Yadav"	"Anil Kumar"	"Kumar Suman Singh"	"Manoj Kumar"	"Mithilesh Yadav"	"Shailendr a Kumar"	"Harendra Prasad"	"Anjani Kumar"	"Kamla Prasad"	"Kumar Raj Manoranjan Sinha"	"Kaushal Kumar Kaushalendra Sinha"	"Pravindra Kumar"	"Ranjeet Kumar"	"Vijay Sinha"	"Vijendra Ravidas"	""	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"3"	"1"	"44"	"45"	"8"	"3"	"134"	"1"	"44"	"7"	"4"	"4"	"2"	"5"	"1"	"2"	"2"	"2"	"0"	"308"	"0"	"308"	""	""
"4"	"2"	"74"	"31"	"8"	"1"	"37"	"0"	"35"	"3"	"1"	"0"	"3"	"5"	"2"	"3"	"7"	"40"	"3"	"253"	"0"	"253"	""	""
"5"	"4"	"75"	"42"	"1"	"2"	"40"	"1"	"31"	"2"	"1"	"0"	"3"	"2"	"2"	"0"	"1"	"1"	"1"	"205"	"0"	"205"	""	""
"6"	"6"	"90"	"133"	"1"	"1"	"9"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"238"	"0"	"238"	""	""
"7"	"7"	"91"	"90"	"4"	"2"	"69"	"4"	"86"	"6"	"1"	"2"	"1"	"2"	"1"	"3"	"3"	"5"	"0"	"370"	"0"	"370"	""	""
"8"	"8"	"5"	"107"	"2"	"2"	"44"	"2"	"85"	"4"	"0"	"1"	"3"	"2"	"1"	"0"	"1"	"1"	"0"	"260"	"0"	"260"	""	""
"9"	"9"	"205"	"28"	"2"	"3"	"12"	"0"	"18"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	"278"	"0"	"278"	""	""
"10"	"10"	"15"	"53"	"10"	"0"	"107"	"6"	"19"	"3"	"0"	"0"	"0"	"3"	"0"	"0"	"2"	"3"	"0"	"221"	"0"	"221"	""	""
"11"	"11"	"79"	"222"	"9"	"11"	"43"	"7"	"84"	"9"	"4"	"5"	"2"	"3"	"1"	"2"	"8"	"1"	"21"	"511"	"0"	"511"	""	""
"12"	"12"	"216"	"75"	"9"	"9"	"103"	"9"	"27"	"2"	"3"	"2"	"8"	"9"	"5"	"8"	"8"	"21"	"0"	"514"	"0"	"514"	""	""
"13"	"13"	"249"	"142"	"1"	"4"	"26"	"0"	"4"	"1"	"0"	"0"	"2"	"3"	"4"	"4"	"4"	"14"	"2"	"460"	"0"	"460"	""	""
"14"	"Round- 1"	"-1143"	"-968"	"-55"	"-38"	"-624"	"-30"	"-433"	"-37"	"-18"	"-15"	"-24"	"-34"	"-18"	"-22"	"-38"	"-92"	"-29"	"-3618"	"0"	"-3618"	""	""
"15"	"-15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"16"	"16"	"78"	"8"	"1"	"1"	"31"	"2"	"73"	"3"	"0"	"1"	"0"	"2"	"1"	"3"	"0"	"5"	"3"	"212"	"0"	"212"	""	""
"17"	"17"	"42"	"43"	"5"	"3"	"46"	"3"	"2"	"3"	"1"	"1"	"1"	"2"	"0"	"3"	"5"	"10"	"3"	"173"	"0"	"173"	""	""
"18"	"18"	"244"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"252"	"0"	"252"	""	""
"19"	"19"	"3"	"135"	"1"	"3"	"56"	"3"	"2"	"0"	"0"	"2"	"1"	"3"	"1"	"2"	"5"	"4"	"0"	"221"	"0"	"221"	""	""
"20"	"20"	"128"	"42"	"72"	"4"	"58"	"3"	"4"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"0"	"319"	"0"	"319"	""	""
"21"	"21"	"79"	"237"	"35"	"11"	"24"	"3"	"38"	"0"	"2"	"1"	"1"	"1"	"4"	"3"	"5"	"12"	"3"	"459"	"0"	"459"	""	""
"22"	"22"	"30"	"238"	"6"	"9"	"51"	"2"	"58"	"4"	"3"	"6"	"2"	"10"	"1"	"3"	"17"	"8"	"5"	"453"	"0"	"453"	""	""
"23"	"23"	"22"	"243"	"4"	"5"	"70"	"1"	"122"	"6"	"3"	"7"	"0"	"5"	"2"	"2"	"8"	"5"	"2"	"507"	"0"	"507"	""	""
"24"	"24"	"1"	"55"	"0"	"2"	"11"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"72"	"0"	"72"	""	""
"25"	"25"	"9"	"58"	"8"	"2"	"27"	"3"	"91"	"4"	"2"	"3"	"1"	"3"	"2"	"0"	"1"	"3"	"4"	"221"	"0"	"221"	""	""
"26"	"26"	"10"	"100"	"5"	"7"	"174"	"7"	"5"	"7"	"0"	"3"	"0"	"10"	"2"	"2"	"5"	"8"	"1"	"346"	"0"	"346"	""	""
"27"	"27"	"70"	"94"	"11"	"7"	"108"	"7"	"28"	"4"	"2"	"4"	"6"	"22"	"5"	"15"	"12"	"45"	"2"	"442"	"0"	"442"	""	""
"28"	"28"	"244"	"99"	"2"	"4"	"69"	"2"	"7"	"2"	"0"	"0"	"3"	"4"	"3"	"4"	"3"	"6"	"8"	"460"	"0"	"460"	""	""
"29"	"Round- 2"	"-2103"	"-2324"	"-207"	"-97"	"-1349"	"-66"	"-864"	"-72"	"-32"	"-43"	"-39"	"-96"	"-40"	"-59"	"-103"	"-201"	"-60"	"-7755"	"0"	"-7755"	""	""
"30"	"29"	"52"	"151"	"4"	"3"	"80"	"3"	"7"	"4"	"1"	"3"	"2"	"12"	"3"	"1"	"11"	"9"	"10"	"356"	"0"	"356"	""	""
"31"	"30"	"320"	"24"	"3"	"2"	"19"	"1"	"1"	"2"	"2"	"1"	"0"	"1"	"0"	"0"	"2"	"5"	"8"	"391"	"0"	"391"	""	""
"32"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""
"33"	"32"	"148"	"4"	"0"	"0"	"7"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"16"	"4"	"185"	"0"	"185"	""	""
"34"	"Serial No.of Polling Station"	"No. of Valid Votes cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid votes"	"No. of rejected votes"	"Total"	"No.of total voter"	"%"
