"Polling.Station.No."	"Ashok.Prasad.Verma"	"Aswamedh.Devi"	"Chandrabali.Thakur"	"Lalan.Kumar"	"Nilam.Sinha"	"Baiju.Sah"	"Vinay.Ranjan"	"Sunil.Kumar.Suman"	"Rambali.Singh"	"Shivchand.Ram"	"Sita.Sinha"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"1"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"3"	"2"	"107"	"245"	"13"	"7"	"4"	"4"	"2"	"2"	"2"	"8"	"4"	"398"	""	"398"	""
"4"	"3"	"123"	"236"	"89"	"5"	"1"	"1"	"3"	"6"	"11"	"11"	"13"	"499"	""	"499"	""
"5"	"4"	"192"	"138"	"44"	"8"	"1"	"2"	"6"	"5"	"10"	"7"	"21"	"434"	""	"434"	""
"6"	"5"	"91"	"181"	"96"	"9"	"10"	"10"	"7"	"3"	"11"	"2"	"3"	"423"	""	"423"	""
"7"	"6"	"104"	"24"	"94"	"13"	"7"	"46"	"7"	"1"	"2"	"5"	"14"	"317"	""	"317"	""
"8"	"7"	"102"	"32"	"99"	"11"	"10"	"5"	"10"	"39"	"12"	"3"	"1"	"324"	""	"324"	""
"9"	"8"	"245"	"63"	"261"	"26"	"6"	"6"	"11"	"4"	"11"	"5"	"25"	"663"	""	"663"	""
"10"	"9"	"194"	"16"	"78"	"4"	"4"	"4"	"18"	"4"	"6"	"6"	"24"	"358"	""	"358"	""
"11"	"10"	"171"	"24"	"127"	"10"	"3"	"7"	"6"	"3"	"1"	"3"	"7"	"362"	""	"362"	""
"12"	"11"	"85"	"37"	"88"	"4"	"1"	"0"	"3"	"1"	"5"	"1"	"3"	"228"	""	"228"	""
"13"	"12"	"389"	"74"	"200"	"18"	"6"	"23"	"5"	"6"	"10"	"12"	"27"	"770"	""	"770"	""
"14"	"13"	"240"	"156"	"129"	"2"	"2"	"1"	"4"	"10"	"11"	"8"	"15"	"578"	""	"578"	""
"15"	"14"	"274"	"94"	"64"	"14"	"8"	"8"	"4"	"7"	"9"	"2"	"11"	"495"	""	"495"	""
"16"	"Page Total"	"2317"	"1320"	"1382"	"131"	"63"	"117"	"86"	"91"	"101"	"73"	"168"	"5849"	"0"	"5849"	"0"
"17"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"18"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
"19"	"B.F."	"2317"	"1320"	"1382"	"131"	"63"	"117"	"86"	"91"	"101"	"73"	"168"	"5849"	"0"	"5849"	"0"
"20"	"15"	"163"	"31"	"56"	"5"	"5"	"1"	"2"	"5"	"3"	"2"	"7"	"280"	""	"280"	""
"21"	"16"	"128"	"57"	"137"	"3"	"4"	"6"	"6"	"1"	"2"	"2"	"2"	"348"	""	"348"	""
"22"	"17"	"172"	"46"	"162"	"4"	"0"	"2"	"2"	"1"	"2"	"0"	"2"	"393"	""	"393"	""
"23"	"18"	"247"	"66"	"144"	"8"	"5"	"21"	"1"	"7"	"13"	"5"	"28"	"545"	""	"545"	""
"24"	"19"	"159"	"257"	"44"	"9"	"7"	"13"	"3"	"17"	"40"	"15"	"20"	"584"	""	"584"	""
"25"	"20"	"228"	"262"	"65"	"8"	"8"	"5"	"3"	"3"	"15"	"10"	"23"	"630"	""	"630"	""
"26"	"21"	"186"	"264"	"30"	"9"	"6"	"9"	"4"	"13"	"11"	"15"	"0"	"547"	""	"547"	""
"27"	"22"	"307"	"77"	"136"	"4"	"2"	"5"	"3"	"4"	"11"	"9"	"13"	"571"	""	"571"	""
"28"	"23"	"208"	"167"	"48"	"2"	"1"	"3"	"4"	"4"	"11"	"7"	"13"	"468"	""	"468"	""
"29"	"24"	"106"	"225"	"173"	"19"	"4"	"18"	"5"	"7"	"14"	"10"	"9"	"590"	""	"590"	""
"30"	"25"	"98"	"152"	"24"	"8"	"4"	"15"	"5"	"7"	"12"	"12"	"27"	"364"	""	"364"	""
"31"	"26"	"180"	"30"	"69"	"4"	"10"	"79"	"9"	"9"	"14"	"9"	"21"	"434"	""	"434"	""
"32"	"27"	"294"	"28"	"114"	"7"	"4"	"6"	"4"	"7"	"5"	"7"	"27"	"503"	""	"503"	""
"33"	"28"	"175"	"94"	"95"	"6"	"2"	"2"	"1"	"2"	"3"	"2"	"3"	"385"	""	"385"	""
"34"	"Page Total"	"4968"	"3076"	"2679"	"227"	"125"	"302"	"138"	"178"	"257"	"178"	"363"	"12491"	"0"	"12491"	"0"
"35"	"Polling
Station No."	"Ashok
Prasad Verma"	"Aswamedh
Devi"	"Chandrabali
Thakur"	"Lalan
Kumar"	"Nilam
Sinha"	"Baiju
Sah"	"Vinay
Ranjan"	"Sunil
Kumar Suman"	"Rambali
Singh"	"Shivchand
Ram"	"Sita
Sinha"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"36"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	"J"	"K"	""	""	""	""
