"Serial.No..of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"Digvijay
Pratap Singh"	"Ram Swarth Rai"	"Vrij
Nandan Prasad"	"Nagendra Kumar"	"Lal Babu Yadav"	"Sunita Singh"	"Jai
Prakash Jha"	"Munna Kumar Rai"	"Ramsheela Devi"	"Ram
Sogarath Rai"	"Lal Babu Sah"	"Md. Saukat Ali"	""	""	""	""
"2"	"1"	"44"	"135"	"116"	"6"	"9"	"137"	"6"	"16"	"22"	"9"	"13"	"26"	"539"	""	"539"	""
"3"	"2"	"32"	"38"	"24"	"6"	"0"	"347"	"12"	"14"	"13"	"9"	"13"	"37"	"545"	""	"545"	""
"4"	"3"	"14"	"68"	"60"	"7"	"10"	"202"	"16"	"20"	"23"	"8"	"16"	"41"	"485"	""	"485"	""
"5"	"4"	"68"	"25"	"38"	"3"	"4"	"280"	"13"	"23"	"30"	"13"	"13"	"25"	"535"	""	"535"	""
"6"	"5"	"26"	"132"	"71"	"4"	"4"	"199"	"8"	"9"	"20"	"9"	"7"	"14"	"503"	""	"503"	""
"7"	"6"	"32"	"150"	"24"	"7"	"7"	"273"	"16"	"14"	"28"	"8"	"16"	"28"	"603"	""	"603"	""
"8"	"7"	"82"	"57"	"26"	"1"	"1"	"358"	"5"	"10"	"21"	"12"	"13"	"31"	"617"	""	"617"	""
"9"	"8"	"81"	"217"	"22"	"3"	"8"	"240"	"5"	"5"	"21"	"8"	"8"	"21"	"639"	""	"639"	""
"10"	"9"	"13"	"23"	"4"	"4"	"11"	"374"	"17"	"13"	"24"	"7"	"4"	"26"	"520"	""	"520"	""
"11"	"10"	"2"	"25"	"3"	"2"	"3"	"273"	"2"	"5"	"16"	"1"	"0"	"8"	"340"	""	"340"	""
"12"	"11"	"13"	"29"	"13"	"4"	"4"	"71"	"1"	"3"	"12"	"2"	"2"	"9"	"163"	""	"163"	""
"13"	"12"	"25"	"173"	"15"	"8"	"6"	"231"	"23"	"16"	"25"	"8"	"11"	"59"	"600"	""	"600"	""
"14"	"13"	"27"	"104"	"19"	"0"	"1"	"236"	"17"	"11"	"14"	"3"	"3"	"10"	"445"	""	"445"	""
"15"	"14"	"34"	"78"	"91"	"7"	"0"	"210"	"6"	"8"	"55"	"9"	"10"	"29"	"537"	""	"537"	""
"16"	"Grand
Total"	"493"	"1254"	"526"	"62"	"68"	"3431"	"147"	"167"	"324"	"106"	"129"	"364"	"7071"	"0"	"7071"	"0"
"17"	"Serial No. of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
