"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE LEGISLATIVE ASSEMBLY FROM 166-ALLAULI (S.C.) ASSEMBLY CONSTITUENCY PART-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used both for parliamentary and assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Elector in Assembly Constituency/Segment: 196551"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of the Assembly/segment- 166-ALLAULI (S.C.) ASSEMBLY CONSTITUENCY                                                      Round No.- 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the Case of Election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No. of Polling Station"	"No. of Valid voter casts in favour of"	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"8"	""	"MIRA DEVI"	"RAMBRICHK SADA"	"BINOD RAM"	"ANITA DEVI"	"NANDAN SADA"	"PASHUPATI KUMAR PARAS"	"BALESHWAR PASWAN"	"BUDHAN SADA"	"RAJESH KUMAR SADA"	"SADHNA DEVI"	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"10"	"1"	"451"	"12"	"4"	"6"	"1"	"181"	"7"	"1"	"2"	"7"	"672"	""	"672"	""
"11"	"2"	"323"	"14"	"19"	"24"	"2"	"335"	"9"	"2"	"2"	"15"	"745"	""	"745"	""
"12"	"3"	"7"	"3"	"4"	"18"	"4"	"580"	"10"	"5"	"1"	"5"	"637"	""	"637"	""
"13"	"4"	"11"	"3"	"5"	"14"	"6"	"395"	"9"	"1"	"3"	"6"	"453"	""	"453"	""
"14"	"5"	"83"	"2"	"8"	"9"	"4"	"150"	"14"	"3"	"6"	"8"	"287"	""	"287"	""
"15"	"6"	"21"	"3"	"4"	"13"	"6"	"357"	"3"	"4"	"2"	"14"	"427"	""	"427"	""
"16"	"7"	"156"	"60"	"16"	"25"	"12"	"321"	"27"	"10"	"11"	"14"	"652"	""	"652"	""
"17"	"8"	"101"	"20"	"10"	"38"	"6"	"414"	"25"	"4"	"3"	"13"	"634"	""	"634"	""
"18"	"9"	"69"	"351"	"8"	"15"	"6"	"164"	"17"	"19"	"20"	"35"	"704"	""	"704"	""
"19"	"10"	"11"	"1"	"6"	"11"	"9"	"377"	"15"	"2"	"3"	"7"	"442"	""	"442"	""
"20"	"11"	"84"	"1"	"6"	"11"	"4"	"573"	"9"	"1"	""	"4"	"693"	""	"693"	""
"21"	"12"	"88"	"101"	"13"	"11"	"17"	"188"	"28"	"14"	"11"	"20"	"491"	""	"491"	""
