"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Final  Result Sheet [See Rule 56c(2)c]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Total No Electors in Assembly Constituency                                                  255901"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly Constituency                                                           172-Lakhisarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Booth No"	"ASHWINI KUMAR SHARMA"	"FULENA SINGH"	"VIJAYA KUMAR SINHA"	"MAHESH PRASAD SINGH"	"RAMANUJ PRASAD SINGH"	"SADANAND YADAV"	"AMARENDR A KUMAR"	"NAVIN KUMAR SINGH"	"PINKI DEVI"	"MANOJ KUMAR"	"MUNNI DEVI"	"RAMESH SINGH"	"RAMANAND AN MAHTO"	"VINAY SINGH"	"VIPIN SINGH"	"VIRENDRA SINGH"	"TOTAL VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"6"	"1"	"5"	"32"	"49"	"0"	"14"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"443"	"4"	"551"	"0"	"551"	"0"
"7"	"2"	"4"	"22"	"104"	"0"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"429"	"2"	"571"	"0"	"571"	"0"
"8"	"3"	"8"	"5"	"47"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"4"	"389"	"6"	"465"	"0"	"465"	"0"
"9"	"4"	"8"	"4"	"21"	"0"	"58"	"0"	"5"	"0"	"2"	"1"	"1"	"5"	"3"	"3"	"725"	"14"	"850"	"0"	"850"	"0"
"10"	"5"	"12"	"3"	"35"	"0"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"580"	"3"	"646"	"0"	"646"	"0"
"11"	"6"	"11"	"1"	"51"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"353"	"0"	"424"	"0"	"424"	"0"
"12"	"7"	"11"	"13"	"49"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"457"	"3"	"540"	"0"	"540"	"0"
"13"	"8"	"13"	"3"	"83"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"1"	"370"	"0"	"370"	"0"
"14"	"9"	"17"	"8"	"30"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"574"	"9"	"641"	"0"	"641"	"0"
"15"	"10"	"19"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"460"	"6"	"502"	"0"	"502"	"0"
"16"	"11"	"11"	"10"	"60"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"573"	"5"	"663"	"0"	"663"	"0"
"17"	"12"	"16"	"1"	"74"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"522"	"1"	"621"	"0"	"621"	"0"
"18"	"13"	"11"	"11"	"53"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"962"	"1"	"1041"	"0"	"1041"	"0"
"19"	"14"	"5"	"9"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"312"	"2"	"343"	"0"	"343"	"0"
"20"	"15"	"9"	"1"	"26"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"911"	"1"	"950"	"0"	"950"	"0"
"21"	"16"	"12"	"13"	"25"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"573"	"3"	"630"	"0"	"630"	"0"
"22"	"17"	"2"	"9"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"544"	"3"	"581"	"0"	"581"	"0"
"23"	"18"	"4"	"5"	"17"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"699"	"1"	"730"	"0"	"730"	"0"
"24"	"19"	"17"	"15"	"19"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"558"	"3"	"617"	"0"	"617"	"0"
"25"	"20"	"7"	"21"	"29"	"0"	"3"	"0"	"6"	"3"	"5"	"2"	"7"	"0"	"1"	"3"	"375"	"11"	"473"	"0"	"473"	"0"
"26"	"21"	"12"	"11"	"132"	"0"	"3"	"1"	"7"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"344"	"4"	"520"	"0"	"520"	"0"
"27"	"22"	"22"	"19"	"159"	"1"	"6"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"367"	"1"	"581"	"0"	"581"	"0"
"28"	"23"	"10"	"12"	"65"	"0"	"3"	"0"	"7"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"335"	"3"	"438"	"0"	"438"	"0"
"29"	"24"	"5"	"24"	"62"	"1"	"4"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"108"	"2"	"214"	"0"	"214"	"0"
"30"	"25"	"5"	"7"	"69"	"1"	"2"	"1"	"2"	"1"	"3"	"0"	"2"	"1"	"5"	"8"	"196"	"7"	"310"	"0"	"310"	"0"
"31"	"Booth No"	"ASHWINI KUMAR SHARMA"	"FULENA SINGH"	"VIJAYA KUMAR SINHA"	"MAHESH PRASAD SINGH"	"RAMANUJ PRASAD SINGH"	"SADANAND YADAV"	"AMARENDR A KUMAR"	"NAVIN KUMAR SINGH"	"PINKI DEVI"	"MANOJ KUMAR"	"MUNNI DEVI"	"RAMESH SINGH"	"RAMANAND AN MAHTO"	"VINAY SINGH"	"VIPIN SINGH"	"VIRENDRA SINGH"	"TOTAL VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"32"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"33"	"26"	"21"	"24"	"140"	"1"	"9"	"3"	"10"	"3"	"6"	"0"	"4"	"1"	"1"	"5"	"162"	"9"	"399"	"0"	"399"	"0"
"34"	"27"	"13"	"27"	"13"	"1"	"0"	"1"	"6"	"1"	"9"	"1"	"1"	"1"	"3"	"3"	"160"	"7"	"247"	"0"	"247"	"0"
"35"	"28"	"11"	"104"	"43"	"2"	"5"	"2"	"5"	"0"	"2"	"1"	"1"	"1"	"5"	"2"	"79"	"6"	"269"	"0"	"269"	"0"
"36"	"29"	"10"	"84"	"49"	"2"	"3"	"0"	"2"	"2"	"4"	"0"	"2"	"2"	"2"	"9"	"187"	"7"	"365"	"0"	"365"	"0"
"37"	"30"	"27"	"198"	"32"	"1"	"3"	"0"	"7"	"1"	"5"	"0"	"0"	"1"	"2"	"0"	"110"	"3"	"390"	"0"	"390"	"0"
"38"	"31"	"12"	"97"	"22"	"2"	"2"	"0"	"4"	"0"	"0"	"0"	"3"	"0"	"1"	"1"	"65"	"8"	"217"	"0"	"217"	"0"
"39"	"32"	"46"	"116"	"118"	"4"	"5"	"0"	"10"	"4"	"5"	"2"	"3"	"0"	"6"	"4"	"130"	"9"	"462"	"0"	"462"	"0"
"40"	"33"	"35"	"255"	"9"	"0"	"1"	"1"	"0"	"1"	"8"	"0"	"1"	"1"	"2"	"2"	"25"	"10"	"351"	"0"	"351"	"0"
"41"	"34"	"6"	"228"	"16"	"1"	"0"	"0"	"0"	"2"	"11"	"0"	"0"	"0"	"1"	"0"	"45"	"9"	"319"	"0"	"319"	"0"
"42"	"35"	"48"	"266"	"17"	"3"	"3"	"0"	"7"	"3"	"0"	"1"	"0"	"2"	"8"	"1"	"40"	"11"	"410"	"0"	"410"	"0"
"43"	"36"	"28"	"79"	"75"	"2"	"0"	"1"	"1"	"3"	"37"	"1"	"2"	"1"	"3"	"0"	"16"	"5"	"254"	"0"	"254"	"0"
"44"	"37"	"6"	"144"	"43"	"3"	"2"	"0"	"3"	"1"	"3"	"0"	"1"	"0"	"2"	"1"	"16"	"4"	"229"	"0"	"229"	"0"
"45"	"38"	"11"	"70"	"61"	"1"	"1"	"0"	"3"	"0"	"14"	"0"	"0"	"0"	"0"	"2"	"66"	"3"	"232"	"0"	"232"	"0"
"46"	"39"	"39"	"30"	"113"	"0"	"2"	"2"	"2"	"4"	"132"	"2"	"0"	"0"	"0"	"0"	"9"	"1"	"336"	"0"	"336"	"0"
"47"	"40"	"48"	"49"	"109"	"3"	"3"	"2"	"1"	"1"	"48"	"2"	"0"	"0"	"2"	"2"	"10"	"3"	"283"	"0"	"283"	"0"
"48"	"41"	"23"	"73"	"165"	"3"	"1"	"0"	"0"	"0"	"6"	"0"	"0"	"1"	"0"	"4"	"11"	"2"	"289"	"0"	"289"	"0"
"49"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"50"	"43"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"51"	"44"	"10"	"15"	"233"	"4"	"9"	"2"	"7"	"3"	"52"	"2"	"2"	"0"	"0"	"3"	"51"	"3"	"396"	"0"	"396"	"0"
"52"	"45"	"36"	"64"	"126"	"2"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"45"	"0"	"280"	"0"	"280"	"0"
"53"	"46"	"125"	"98"	"188"	"1"	"2"	"1"	"1"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"11"	"1"	"439"	"0"	"439"	"0"
"54"	"47"	"37"	"52"	"217"	"5"	"12"	"1"	"1"	"2"	"6"	"0"	"1"	"2"	"0"	"1"	"48"	"7"	"392"	"0"	"392"	"0"
"55"	"48"	"45"	"80"	"322"	"3"	"9"	"1"	"0"	"0"	"31"	"2"	"1"	"1"	"1"	"2"	"39"	"4"	"541"	"0"	"541"	"0"
"56"	"49"	"19"	"265"	"212"	"6"	"4"	"0"	"1"	"3"	"9"	"0"	"1"	"0"	"2"	"4"	"18"	"7"	"551"	"0"	"551"	"0"
"57"	"50"	"5"	"72"	"78"	"0"	"1"	"0"	"0"	"0"	"7"	"1"	"0"	"0"	"0"	"1"	"5"	"1"	"171"	"0"	"171"	"0"
"58"	"51"	"55"	"134"	"180"	"4"	"5"	"1"	"1"	"1"	"3"	"1"	"1"	"0"	"0"	"4"	"7"	"12"	"409"	"0"	"409"	"0"
"59"	"52"	"27"	"169"	"68"	"3"	"7"	"1"	"3"	"3"	"17"	"0"	"1"	"2"	"1"	"3"	"9"	"14"	"328"	"0"	"328"	"0"
"60"	"53"	"16"	"67"	"47"	"0"	"5"	"1"	"3"	"3"	"3"	"1"	"0"	"0"	"0"	"2"	"7"	"5"	"160"	"0"	"160"	"0"
"61"	"54"	"39"	"218"	"99"	"0"	"4"	"0"	"4"	"1"	"2"	"2"	"6"	"3"	"7"	"8"	"24"	"24"	"441"	"0"	"441"	"0"
"62"	"55"	"32"	"158"	"115"	"0"	"3"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"2"	"8"	"2"	"324"	"0"	"324"	"0"
"63"	"56"	"22"	"196"	"99"	"2"	"2"	"0"	"2"	"0"	"0"	"2"	"3"	"0"	"3"	"3"	"51"	"16"	"401"	"0"	"401"	"0"
"64"	"57"	"21"	"163"	"254"	"2"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"6"	"2"	"455"	"0"	"455"	"0"
"65"	"Booth No"	"ASHWINI KUMAR SHARMA"	"FULENA SINGH"	"VIJAYA KUMAR SINHA"	"MAHESH PRASAD SINGH"	"RAMANUJ PRASAD SINGH"	"SADANAND YADAV"	"AMARENDR A KUMAR"	"NAVIN KUMAR SINGH"	"PINKI DEVI"	"MANOJ KUMAR"	"MUNNI DEVI"	"RAMESH SINGH"	"RAMANAND AN MAHTO"	"VINAY SINGH"	"VIPIN SINGH"	"VIRENDRA SINGH"	"TOTAL VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"NO OF TENDERED VOTES"
"66"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"67"	"58"	"8"	"152"	"149"	"1"	"5"	"0"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"5"	"0"	"326"	"0"	"326"	"0"
"68"	"59"	"19"	"242"	"203"	"0"	"4"	"1"	"2"	"2"	"2"	"0"	"1"	"1"	"1"	"3"	"7"	"3"	"491"	"0"	"491"	"0"
"69"	"60"	"17"	"5"	"3"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"591"	"2"	"623"	"0"	"623"	"0"
"70"	"61"	"3"	"12"	"9"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"438"	"8"	"479"	"0"	"479"	"0"
"71"	"62"	"36"	"95"	"235"	"1"	"7"	"0"	"1"	"0"	"5"	"1"	"0"	"0"	"1"	"0"	"23"	"0"	"405"	"0"	"405"	"0"
"72"	"63"	"4"	"38"	"179"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"3"	"27"	"1"	"258"	"0"	"258"	"0"
"73"	"64"	"19"	"91"	"212"	"1"	"4"	"1"	"3"	"0"	"11"	"0"	"0"	"0"	"1"	"6"	"42"	"3"	"394"	"0"	"394"	"0"
"74"	"65"	"28"	"141"	"168"	"4"	"10"	"2"	"2"	"2"	"44"	"3"	"0"	"0"	"1"	"5"	"15"	"2"	"427"	"0"	"427"	"0"
"75"	"66"	"4"	"4"	"540"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"552"	"0"	"552"	"0"
"76"	"67"	"26"	"107"	"193"	"4"	"6"	"0"	"0"	"2"	"37"	"0"	"1"	"2"	"2"	"0"	"5"	"5"	"390"	"0"	"390"	"0"
"77"	"68"	"22"	"45"	"150"	"3"	"6"	"1"	"0"	"2"	"9"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"245"	"0"	"245"	"0"
"78"	"69"	"19"	"409"	"23"	"0"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"1"	"2"	"4"	"5"	"468"	"0"	"468"	"0"
"79"	"70"	"2"	"184"	"19"	"0"	"0"	"0"	"0"	"0"	"28"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"236"	"0"	"236"	"0"
"80"	"71"	"7"	"192"	"15"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"223"	"0"	"223"	"0"
"81"	"72"	"11"	"304"	"18"	"0"	"2"	"0"	"1"	"1"	"6"	"0"	"0"	"1"	"0"	"0"	"19"	"0"	"363"	"0"	"363"	"0"
"82"	"73"	"23"	"282"	"27"	"0"	"2"	"1"	"2"	"0"	"8"	"1"	"1"	"0"	"1"	"1"	"5"	"5"	"359"	"0"	"359"	"0"
"83"	"74"	"9"	"397"	"17"	"2"	"1"	"1"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"435"	"0"	"435"	"0"
"84"	"75"	"11"	"232"	"13"	"2"	"0"	"0"	"1"	"2"	"26"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"288"	"0"	"288"	"0"
"85"	"76"	"8"	"363"	"37"	"0"	"2"	"0"	"2"	"2"	"22"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"440"	"0"	"440"	"0"
"86"	"77"	"1"	"13"	"24"	"0"	"0"	"0"	"2"	"5"	"207"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"254"	"0"	"254"	"0"
"87"	"78"	"1"	"26"	"36"	"0"	"3"	"0"	"0"	"4"	"392"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"465"	"0"	"465"	"0"
