"inamnailaiKt.AByaiqa.yaaoM.ko.pxa.maoM.ide.gae.ivaiQamaanya.mataoM.kI.saM.yaa"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"eeeerrrrnnnnkkkkuuuu ddddssUUssUUnnnnzzzz ddddhhhh ÿÿÿÿeeee llllaa[[aa[[;;;;kkkk"	"eeeeggggssUUssUUnnnnzzzz uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	";;;;kkkkssxxssxx////kkkkjjjj jjjjkkkkeeee"	"ffffoooo''''oooo eeeekkkkssggssgguuuu HHHHkkkkkkkkjjjjrrrrhhhh"	"ddddqqeeqqeekkkkjjjjhhhh ''''kkkkkkkkssHHssHHkkkkkkkk"	"ddddqqEEqqEEHHHHkkkk uuuukkkkjjjjkkkk;;;;....kkkk lllljjjjnnnnkkkkjjjj"	"ttttxxxxnnnnoossooss   jjjjkkkkeeee"	"vvvvuuuuaarraarr yyyykkkkyyyy llllkkkknnnnkkkk"	"vvvv''''kkkkkkkkssddssdd ppppkkkkSSiiSSiikkkkyyyy"	"ppppÿÿÿÿ////kkkkjjjj ____ffff\"\"\"\"kkkknnnnossoosso"	"uuuukkkkFFFFkkkkkkkkssss jjjjkkkkeeee"	"llllnnnnkkkkuuuuaannaann llllkkkknnnnkkkk"	"ddddqqyyqqyy ffffooooffff////kkkk eeeekkkkUUUU;;;; eeeerrrr"	"iiiizzffzzffrrrr{{{{kkkkssffssffiiiirrrr eeeerrrrkkkksassaasa ddddhhhh llllaa[[aa[[;;;;kkkk"	";;;;kkkkssxxssxx"	"ffffuuuuffffoooonnnnŸŸŸŸkkkk eeeerrrrkkkkassaassa ddddhhhh llllaa[[aa[[;;;;kkkk"
"2"	"1"	"19"	"5"	"457"	"7"	"117"	"22"	"25"	"15"	"7"	"12"	"10"	"696"	""	"696"	""
"3"	"2"	"34"	"5"	"195"	"11"	"88"	"11"	"21"	"4"	"3"	"7"	"3"	"382"	""	"382"	""
"4"	"3"	"11"	"3"	"114"	"5"	"170"	"23"	"53"	"29"	"7"	"11"	"20"	"446"	""	"446"	""
"5"	"4"	"23"	"14"	"352"	"5"	"37"	"16"	"13"	"11"	"3"	"4"	"7"	"485"	""	"485"	""
"6"	"5"	"74"	"31"	"161"	"1"	"32"	"10"	"14"	"4"	"1"	"7"	"3"	"338"	""	"338"	""
"7"	"6"	"12"	"2"	"208"	"3"	"50"	"17"	"19"	"18"	"21"	"17"	"3"	"370"	""	"370"	""
"8"	"7"	"19"	"4"	"293"	"6"	"36"	"19"	"15"	"18"	"12"	"11"	"8"	"441"	""	"441"	""
"9"	"8"	"89"	"45"	"185"	"4"	"25"	"16"	"25"	"17"	"8"	"14"	"12"	"440"	""	"440"	""
"10"	"9"	"122"	"14"	"355"	"13"	"40"	"23"	"22"	"17"	"1"	"19"	"5"	"631"	""	"631"	""
"11"	"10"	"127"	"21"	"309"	"4"	"15"	"10"	"11"	"6"	"5"	"4"	"14"	"526"	""	"526"	""
"12"	"11"	"92"	"16"	"201"	"5"	"22"	"7"	"7"	"5"	"7"	"8"	"8"	"378"	""	"378"	""
"13"	"12"	"177"	"92"	"189"	"16"	"18"	"8"	"9"	"9"	"3"	"3"	"4"	"528"	""	"528"	""
"14"	"13"	"83"	"36"	"409"	"8"	"11"	"14"	"6"	"10"	"11"	"10"	"7"	"605"	""	"605"	""
"15"	"14"	"179"	"11"	"60"	"2"	"34"	"5"	"7"	"3"	"5"	"5"	"9"	"320"	""	"320"	""
"16"	"TOTAL-I"	"1061"	"299"	"3488"	"90"	"695"	"201"	"247"	"166"	"94"	"132"	"113"	"6586"	""	"6586"	""
"17"	"inamnailaiKt AByaiqa-yaaoM ko pxa maoM ide gae ivaiQamaanya mataoM kI saM#yaa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
