"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"2"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"3"	"1"	"193"	"427"	"13"	"18"	"19"	"13"	"17"	"700"	""	"700"	""
"4"	"2"	"266"	"127"	"12"	"58"	"11"	"13"	"18"	"505"	""	"505"	""
"5"	"3"	"184"	"267"	"11"	"17"	"10"	"8"	"25"	"522"	""	"522"	""
"6"	"4"	"232"	"267"	"12"	"10"	"18"	"9"	"23"	"571"	""	"571"	""
"7"	"5"	"40"	"366"	"7"	"6"	"11"	"6"	"0"	"436"	""	"436"	""
"8"	"6"	"228"	"368"	"10"	"11"	"18"	"11"	"9"	"655"	""	"655"	""
"9"	"7"	"391"	"202"	"11"	"35"	"15"	"10"	"23"	"687"	""	"687"	""
"10"	"8"	"157"	"134"	"5"	"67"	"11"	"14"	"20"	"408"	""	"408"	""
"11"	"9"	"140"	"200"	"10"	"77"	"23"	"14"	"36"	"500"	""	"500"	""
"12"	"10"	"263"	"45"	"7"	"29"	"9"	"7"	"9"	"369"	""	"369"	""
"13"	"11"	"136"	"393"	"4"	"14"	"11"	"4"	"9"	"571"	""	"571"	""
"14"	"12"	"244"	"305"	"17"	"51"	"14"	"13"	"18"	"662"	""	"662"	""
"15"	"13"	"7"	"716"	"4"	"2"	"1"	"0"	"19"	"749"	""	"749"	""
"16"	"14"	"348"	"159"	"7"	"9"	"8"	"2"	"15"	"548"	""	"548"	""
"17"	"Total Round 1"	"2829"	"3976"	"130"	"404"	"179"	"124"	"241"	"7883"	"0"	"7883"	"0"
"18"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"19"	""	"UMAKANT YADAV"	"KAPILDEV KAMAT"	"MD. MURTUJA"	"MAHADEV SAHNI"	"ESHWAR CHANDRA MEHTA"	"SURENDRA PRASAD SUMAN"	"HAMIDA KHATUN"	""	""	""	""
"20"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"21"	"15"	"11"	"486"	"8"	"4"	"6"	"4"	"4"	"523"	""	"523"	""
"22"	"16"	"3"	"474"	"1"	"0"	"0"	"0"	"0"	"478"	""	"478"	""
"23"	"17"	"176"	"283"	"8"	"16"	"21"	"20"	"28"	"552"	""	"552"	""
"24"	"18"	"90"	"132"	"4"	"13"	"7"	"10"	"13"	"269"	""	"269"	""
"25"	"19"	"227"	"304"	"14"	"19"	"13"	"9"	"22"	"608"	""	"608"	""
"26"	"20"	"151"	"397"	"6"	"9"	"11"	"7"	"7"	"588"	""	"588"	""
"27"	"21"	"69"	"300"	"9"	"7"	"15"	"16"	"19"	"435"	""	"435"	""
"28"	"22"	"50"	"297"	"16"	"89"	"21"	"15"	"24"	"512"	""	"512"	""
"29"	"23"	"69"	"309"	"9"	"17"	"19"	"13"	"24"	"460"	""	"460"	""
"30"	"24"	"158"	"271"	"9"	"15"	"10"	"7"	"8"	"478"	""	"478"	""
"31"	"25"	"138"	"283"	"9"	"16"	"8"	"4"	"2"	"460"	""	"460"	""
"32"	"26"	"150"	"291"	"13"	"56"	"19"	"14"	"15"	"558"	""	"558"	""
"33"	"27"	"270"	"303"	"10"	"31"	"21"	"7"	"20"	"662"	""	"662"	""
"34"	"28"	"438"	"12"	"0"	"1"	"2"	"0"	"3"	"456"	""	"456"	""
"35"	"Total Round 2"	"2000"	"4142"	"116"	"293"	"173"	"126"	"189"	"7039"	"0"	"7039"	"0"
"36"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
