"Booths"	"X."	"Candidates"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Booth No"	"Booth Name"	1	2	3	4	5	6	""	7	8	9	""	10	11	12	13	14	15	16	17	18
"2"	""	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	"P.S. MUSHARWA (E.PART)"	21	16	8	5	122	7	""	1	2	9	""	3	308	1	15	15	88	5	-626	0
"4"	"2"	"P.S. MUSHARWA (W.PART)"	29	1	4	2	79	9	""	5	1	8	""	5	269	3	12	106	153	14	-700	0
"5"	"3"	"M.S. BHELAHI (N.PART)"	62	4	19	4	56	7	""	2	4	101	""	4	359	6	22	88	130	14	-882	0
"6"	"4"	"M.S. BHELAHI (S.PART)"	22	8	11	3	50	5	""	2	2	7	""	7	247	4	13	85	342	10	-818	0
"7"	"5"	"M.S. PARSHURAM PUR"	70	208	13	2	19	7	""	5	1	10	""	1	113	3	5	94	2	4	-557	0
"8"	"6"	"P.S. PURANDRA (S.PART)"	13	31	66	22	155	5	""	2	4	5	""	7	45	2	6	168	10	11	-552	0
"9"	"7"	"P.S. PURANDARA (N.PART)"	60	58	15	4	113	5	""	2	7	38	""	13	106	6	18	130	24	23	-622	0
"10"	"8"	"P.S. BHARWALIA"	32	42	11	6	24	9	""	6	6	135	""	4	72	1	10	222	73	6	-659	0
"11"	"9"	"M.S. BELWA"	25	3	8	1	108	13	""	5	7	185	""	11	82	6	16	45	190	13	-718	0
"12"	"10"	"P.S. PIPARIYA"	86	13	34	6	91	11	""	24	4	93	""	8	68	8	10	195	32	2	-685	0
"13"	"11"	"P.S. GAMHARIYA ANAND SAGAR"	30	21	159	7	52	4	""	17	3	6	""	7	7	1	0	72	7	1	-394	0
"14"	"12"	"PANCHAYAT BHAWAN SIRISIYA
NIJAMAT"	161	99	13	5	42	7	""	73	9	10	""	11	15	14	16	49	13	21	-558	0
"15"	"13"	"P.S. DHARHWA TOLA LAUKARIYA"	30	29	5	10	146	5	""	1	78	4	""	10	23	2	4	25	7	2	-381	0
"16"	"14"	"M.S. LAUKARIYA"	220	96	2	1	56	0	""	1	23	8	""	2	3	2	3	100	19	6	-542	0
"17"	"15"	"P.S. MISHRA TOLA LAUKARIYA"	129	135	9	1	20	0	""	3	10	16	""	5	13	3	1	67	5	11	-428	0
"18"	"16"	"P.S. LACHHNAUTA"	26	72	2	2	64	0	""	0	2	7	""	3	19	4	5	137	1	2	-346	0
"19"	"17"	"M.S. PARSAUNA TAPSI (N.PART)"	60	62	29	5	95	5	""	98	11	5	""	8	40	9	7	195	11	19	-659	0
"20"	"18"	"M.S. PARSAUNA TAPSI (S.PART)"	141	161	61	5	48	5	""	10	3	14	""	0	26	7	7	70	8	8	-574	0
"21"	"19"	"P.S. BABUIYA NAYA TOLA"	36	126	140	1	39	1	""	9	0	4	""	2	12	1	2	186	1	2	-562	0
"22"	"20"	"P.S. GAD BAHUARI"	0	3	53	2	438	2	""	1	0	0	""	0	0	0	1	24	1	0	-525	0
"23"	"21"	"PANCHAYAT GAD BAHUARI"	0	0	6	0	697	1	""	0	0	0	""	0	0	0	0	12	0	0	-716	0
"24"	"22"	"P.S. SISWANIYA"	0	34	43	8	204	1	""	1	0	0	""	1	2	1	4	160	2	7	-468	0
"25"	"23"	"P.S. BHAIRO BHAGAT TOLA
SISWA"	0	0	2	0	0	1	""	4	1	0	""	2	0	1	0	516	1	3	-531	0
"26"	"Booths"	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"27"	"Booth No"	"Booth Name"	1	2	3	4	5	6	""	7	8	9	""	10	11	12	13	14	15	16	17	18
"28"	""	""	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA
"29"	"24"	"PANCHAYAT BHAWAN SISWA"	0	0	1	0	0	0	""	0	0	5	""	0	0	0	0	811	0	0	-817	0
"30"	"25"	"P.S. KAUWA DHANGAR"	9	0	0	0	2	1	""	0	0	9	""	0	0	0	0	576	1	0	-598	0
"31"	"26"	"P.S. CHUNDALI"	2	1	14	0	7	1	""	0	0	15	""	0	3	0	0	205	1	1	-250	0
"32"	"27"	"M.S. SEMRAI"	270	12	16	2	18	1	""	0	1	1	""	0	2	2	3	264	5	4	-601	0
"33"	"28"	"P.S. LAXMIPUR"	44	5	6	9	4	2	""	4	2	109	""	0	3	1	3	344	152	10	-698	0
"34"	"29"	"P.S. SAUNAHA"	4	0	0	0	1	0	""	0	0	4	""	0	0	0	0	607	0	0	-616	0
"35"	"30"	"P.S. SAUNAHA JAI MANGALAPUR"	9	0	0	0	1	0	""	1	0	0	""	0	1	0	0	279	0	0	-291	0
"36"	"31"	"P.S. LACHHUMANWA (E.PART)"	2	0	0	0	4	0	""	0	0	1	""	0	0	0	0	444	0	0	-451	0
