"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total no. of Electors in Assembly constituency/Segment :- 234418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No. of Polling station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. Tender Votes"
"7"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	""	""	""	""
"8"	""	"BJP"	"RJD"	"BSP"	"AD"	"CPI
(ML)(L)"	"RLD"	"SP"	"LJP"	"LPSP"	"SAP"	"SJP®"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"9"	""	"NITYANAND ROY"	"PANCHHILAL RAY"	"RAJESH THAKUR"	"KRISHNA KUMAR AZAD"	"DINBANDHU PRASAD"	"DEVENDRA YADAV BHARTI"	"PANKAJ KUMAR"	"RAJENDRA ROY"	"VASUDEO PRASAD"	"SUSHILA DEVI"	"HARENDRA SINGH"	"AJEET KUMAR RAKESH"	"UMESH KUMAR ROY"	"BANGALI BAITHA"	"MANOJ KUMAR PASWAN"	"LALITESHWAR KUMAR"	"SRIMATI RADHA KUMAR"	"SANJAY CHAUDHARY"	"SUNIL KUMAR"	"SURENDRA RAI"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"11"	"1"	"284"	"198"	"29"	"4"	"2"	"2"	"2"	"58"	"0"	"2"	"13"	"1"	"2"	"0"	"3"	"4"	"16"	"7"	"2"	"0"	"629"	"0"	"629"	"0"
"12"	"2"	"182"	"73"	"2"	"1"	"3"	"3"	"3"	"213"	"4"	"4"	"14"	"6"	"18"	"0"	"14"	"8"	"15"	"1"	"2"	"2"	"568"	"0"	"568"	"0"
"13"	"3"	"139"	"37"	"0"	"3"	"0"	"0"	"8"	"263"	"11"	"7"	"2"	"4"	"13"	"3"	"10"	"14"	"5"	"1"	"0"	"3"	"523"	"0"	"523"	"0"
"14"	"4"	"329"	"50"	"2"	"4"	"0"	"0"	"4"	"144"	"4"	"1"	"9"	"0"	"6"	"2"	"5"	"10"	"8"	"1"	"0"	"1"	"580"	"0"	"580"	"0"
"15"	"5"	"235"	"78"	"7"	"4"	"2"	"1"	"9"	"192"	"4"	"3"	"3"	"0"	"8"	"4"	"8"	"10"	"4"	"1"	"3"	"5"	"581"	"0"	"581"	"0"
"16"	"6"	"167"	"90"	"3"	"2"	"3"	"2"	"4"	"338"	"3"	"7"	"7"	"2"	"5"	"4"	"7"	"0"	"6"	"0"	"2"	"1"	"653"	"0"	"653"	"0"
"17"	"7"	"98"	"82"	"1"	"0"	"2"	"0"	"2"	"286"	"5"	"4"	"6"	"2"	"11"	"1"	"4"	"1"	"28"	"1"	"1"	"2"	"537"	"0"	"537"	"0"
"18"	"8"	"147"	"56"	"1"	"4"	"5"	"1"	"2"	"191"	"3"	"4"	"8"	"0"	"2"	"7"	"9"	"7"	"14"	"2"	"2"	"3"	"468"	"0"	"468"	"0"
"19"	"9"	"223"	"129"	"11"	"3"	"3"	"1"	"2"	"261"	"7"	"4"	"17"	"1"	"5"	"2"	"5"	"11"	"8"	"1"	"0"	"2"	"696"	"0"	"696"	"0"
"20"	"10"	"108"	"41"	"2"	"2"	"2"	"1"	"1"	"184"	"6"	"3"	"6"	"3"	"6"	"2"	"4"	"4"	"5"	"1"	"0"	"3"	"384"	"0"	"384"	"0"
"21"	"11"	"180"	"30"	"3"	"0"	"7"	"1"	"2"	"73"	"0"	"1"	"0"	"2"	"1"	"0"	"4"	"2"	"8"	"0"	"1"	"0"	"315"	"0"	"315"	"0"
"22"	"12"	"427"	"55"	"3"	"1"	"7"	"1"	"2"	"147"	"2"	"4"	"15"	"0"	"8"	"3"	"3"	"5"	"8"	"0"	"1"	"1"	"693"	"0"	"693"	"0"
"23"	"13"	"235"	"14"	"4"	"1"	"1"	"0"	"2"	"120"	"1"	"0"	"6"	"2"	"8"	"0"	"1"	"1"	"2"	"0"	"1"	"0"	"399"	"0"	"399"	"0"
"24"	"14"	"304"	"86"	"1"	"0"	"1"	"0"	"0"	"111"	"2"	"3"	"3"	"0"	"2"	"1"	"1"	"2"	"2"	"0"	"0"	"3"	"522"	"0"	"522"	"0"
"25"	"15"	"178"	"54"	"2"	"29"	"3"	"0"	"0"	"79"	"0"	"3"	"7"	"0"	"1"	"2"	"6"	"5"	"0"	"2"	"2"	"2"	"375"	"0"	"375"	"0"
"26"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"BIHAR LEGESLATIVE ASSEMBLY GENERAL ELECTION - 2005 PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"No. and Name of Assembly segment  :-      45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
